"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:04:01::"	"charge"	"of"	"the"	"deserve"	"DT"	"VB"	"DT"	"election"	"NN"
"1:04:01::"	"in"	"which"	"the"	"was"	"DT"	"VBD"	"VB"	"election"	"NN"
"1:04:01::"	"interest"	"in"	"the"	"the"	"DT"	"DT"	"NN"	"election"	"NN"
"1:04:01::"	"'s"	"registration"	"and"	"law"	"CC"	"NN"	"VB"	"election"	"NN"
"1:04:01::"	"in"	"the"	"cool"	"i"	"JJ"	"PRP"	"RB"	"election"	"NN"
"1:04:01::"	"in"	"saturday"	"'s"	"and"	"POS"	"CC"	"NNP"	"election"	"NN"
"1:04:01::"	"the"	"cool"	"calm"	"i"	"JJ"	"PRP"	"RB"	"election"	"NN"
"1:04:01::"	"lead_up"	"to"	"the"	"be"	"DT"	"VB"	"RB"	"election"	"NN"
"1:04:01::"	"X"	"during"	"the"	"campaign"	"DT"	"NN"	"DT"	"election"	"NN"
"1:04:01::"	"promise"	"an"	"orderly"	"X"	"JJ"	"X"	"X"	"election"	"NN"
