"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:32:00::"	"X"	"the"	"group"	"friday"	"NNP"	"NN"	"DT"	"said"	"VB"
"2:32:00::"	"the"	"jury"	"far"	"in"	"RB"	"IN"	"NN"	"said"	"VB"
"2:32:00::"	"receive"	"the"	"jury"	"consider"	"NN"	"VB"	"DT"	"said"	"VB"
"2:32:01::"	"X"	"the"	"jury"	"it"	"NN"	"PRP"	"VBD"	"said"	"VB"
"2:32:01::"	"purchasing_department"	"which"	"it"	"be"	"PRP"	"VB"	"RB"	"said"	"VB"
"2:32:01::"	"however"	"the"	"jury"	"it"	"NN"	"PRP"	"VB"	"said"	"VB"
"2:32:01::"	"group"	"the"	"jury"	"be"	"NN"	"VB"	"JJ"	"said"	"VB"
"2:32:01::"	"program"	"the"	"jury"	"but"	"NN"	"CC"	"DT"	"said"	"VB"
"2:32:00::"	"X"	"the"	"juror"	"they"	"NN"	"PRP"	"VB"	"said"	"VB"
"2:32:01::"	"fund"	"the"	"juror"	"X"	"NN"	"X"	"X"	"said"	"VB"
"2:32:01::"	"X"	"the"	"jury"	"it"	"NN"	"PRP"	"VB"	"said"	"VB"
"2:32:01::"	"criticism"	"the"	"jury"	"X"	"NN"	"X"	"X"	"said"	"VB"
"2:32:01::"	"for"	"the"	"mayor"	"that"	"NN"	"IN"	"DT"	"said"	"VB"
"2:32:01::"	"X"	"the"	"petition"	"that"	"NN"	"IN"	"DT"	"said"	"VB"
"2:32:00::"	"a"	"top"	"official"	"wednesday"	"NN"	"NN"	"X"	"said"	"VB"
"2:32:00::"	"state"	"gop"	"chairman"	"a"	"NN"	"DT"	"NN"	"said"	"VB"
"2:32:01::"	"state"	"law"	"which"	"that"	"WDT"	"IN"	"IN"	"says"	"VB"
"2:32:01::"	"a"	"group"	"source"	"there"	"NN"	"EX"	"RB"	"said"	"VB"
"2:32:00::"	"X"	"X"	"person"	"sunday"	"NNP"	"NN"	"NN"	"said"	"VB"
"2:32:00::"	"fully"	"work_out"	"person"	"his"	"NNP"	"PRP$"	"NN"	"said"	"VB"
"2:32:00::"	"as"	"a"	"legislator"	"there"	"NN"	"EX"	"VB"	"said"	"VB"
"2:32:00::"	"ever"	"see"	"person"	"X"	"NNP"	"X"	"X"	"said"	"VB"
"2:32:00::"	"X"	"X"	"person"	"the"	"NNP"	"DT"	"NN"	"said"	"VB"
"2:32:00::"	"smooth"	"the"	"sheriff"	"X"	"NN"	"X"	"X"	"said"	"VB"
"2:32:00::"	"a"	"white_house"	"spokesman"	"the"	"NN"	"DT"	"NN"	"said"	"VB"
"2:32:00::"	"reply"	"i"	"would"	"it"	"MD"	"PRP"	"VBZ"	"say"	"VB"
"2:32:00::"	"X"	"X"	"salinger"	"the"	"NNP"	"DT"	"NN"	"said"	"VB"
"2:32:00::"	"X"	"X"	"karns"	"that"	"NNP"	"IN"	"DT"	"said"	"VB"
