"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:38:10::"	"force"	"it"	"to"	"petition"	"TO"	"NN"	"RB"	"take"	"VB"
"2:40:15::"	"course"	"must"	"be"	"X"	"VB"	"X"	"X"	"taken"	"VB"
"2:40:05::"	"paris"	"sympathique"	"which"	"young"	"WDT"	"JJ"	"NN"	"took"	"VB"
"2:35:00::"	"would"	"do_well"	"to"	"these"	"TO"	"DT"	"JJ"	"take"	"VB"
"2:38:09::"	"but"	"did"	"not"	"them"	"RB"	"PRP"	"IN"	"take"	"VB"
"2:40:05::"	"for"	"wexler"	"to"	"statements"	"TO"	"NNS"	"RB"	"take"	"VB"
"2:31:03::"	"hear"	"previously"	"and"	"under"	"CC"	"IN"	"NN"	"taken"	"VB"
"2:31:07::"	"it"	"does"	"not"	"a"	"RB"	"DT"	"NNP"	"take"	"VB"
"2:41:04::"	"the"	"white_house"	"is"	"extraordinary"	"VBZ"	"JJ"	"NNS"	"taking"	"VB"
"2:41:00::"	"be"	"willing"	"to"	"the"	"TO"	"DT"	"JJ"	"take"	"VB"
"2:41:04::"	"police_station"	"may"	"be"	"at"	"VB"	"IN"	"NNP"	"taken"	"VB"
"2:38:10::"	"offenses"	"must"	"be"	"to"	"VB"	"VB"	"NNP"	"taken"	"VB"
