"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"1:14:00::"	"world"	"."	"of"	"∅"	"of_world"	"world_."	"._∅"	"defeat_of_world"	"of_world_."	"world_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"these"	"condition"	"be"	"unobtainable"	"be"	"not"	"even"	"approachable"	"in"	"the"	"qualified"	"sense"	"i"	"have"	"indicate"	"without"	"the"	"defeat"	"of"	"world"	"communism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"over"	"be"	"victory"	"the"	"victory_over"	"over_be"	"be_the"	"that_victory_over"	"victory_over_be"	"over_be_the"	"be_the_dominant"	"IN"	"NN"	"IN"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"follow"	"victory"	"over"	"communism"	"be"	"the"	"dominant"	"proximate"	"goal"	"of"	"american"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"defeat"	"-"	"-"	"and"	"-_defeat"	"defeat_-"	"-_and"	"do_-_defeat"	"-_defeat_-"	"defeat_-_and"	"-_and_,"	"VB"	"ε"	"VB"	"NN"	"ε"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"much"	"having"	"been"	"say"	"the"	"question"	"remain"	"whether"	"we"	"have"	"resource"	"for"	"the"	"job"	"we"	"to"	"do"	"defeat"	"communism"	"and"	"if"	"so"	"how"	"those"	"resource"	"ought"	"to"	"be"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"toward"	"be"	"country"	"to"	"country_toward"	"toward_be"	"be_to"	"a_country_toward"	"country_toward_be"	"toward_be_to"	"be_to_turn"	"DT"	"NN"	"IN"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"soviets"	"understand"	"moreover"	"that"	"the"	"in"	"turn"	"a"	"country"	"toward"	"communism"	"be"	"to"	"turn"	"it"	"against"	"the"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"of"	"be"	"idea"	"very"	"idea_of"	"of_be"	"be_very"	"the_idea_of"	"idea_of_be"	"of_be_very"	"be_very_old"	"DT"	"NN"	"IN"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"although"	"idea"	"of"	"communism"	"be"	"very"	"old"	"even"	"in"	"person"	"day"	"and"	"did"	"not"	"spring"	"full-clad"	"from"	"his"	"imagination"	"in"	"it"	"be"	"not"	"communism"	"as_such"	"that"	"we"	"are"	"concern"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"not"	"as_such"	"be"	"that"	"be_not"	"not_as_such"	"as_such_that"	"it_be_not"	"be_not_as_such"	"not_as_such_that"	"as_such_that_we"	"PRP"	"VB"	"RB"	"NN"	"RB"	"IN"	"PRP"	"the"	"idea"	"of"	"communism"	"be"	"very"	"old"	"even"	"in"	"person"	"day"	"and"	"did"	"not"	"spring"	"full-clad"	"from"	"his"	"imagination"	"in"	"be"	"not"	"as_such"	"that"	"we"	"are"	"concern"	"with"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"republic"	"be"	"'s"	"-"	"'s_republic"	"republic_be"	"be_-"	"plato_'s_republic"	"'s_republic_be"	"republic_be_-"	"be_-_to"	"NN"	"POS"	"NNP"	"NN"	"VB"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"republic"	"communism"	"be"	"to"	"speak"	"anachronistically"	"a"	"communism"	"of"	"janissary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"of"	"-"	"janissary"	"-_a"	"a_of"	"of_janissary"	"anachronistically_-_a"	"-_a_of"	"a_of_janissary"	"of_janissary_."	"RB"	"ε"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"plato"	"republic"	"communism"	"be"	"speak"	"anachronistically"	"a"	"communism"	"of"	"janissary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"utopian"	"from"	"derive"	"the"	"derive_utopian"	"utopian_from"	"from_the"	"to_derive_utopian"	"derive_utopian_from"	"utopian_from_the"	"from_the_jerusalem"	"TO"	"VB"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"utopian"	"communism"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	
"1:14:00::"	"utopian"	"differ"	"indicate"	"from"	"indicate_utopian"	"utopian_differ"	"differ_from"	"just_indicate_utopian"	"indicate_utopian_differ"	"utopian_differ_from"	"differ_from_previous"	"RB"	"VB"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"the"	"just"	"indicate"	"utopian"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"utopian"	"be"	"although"	"both"	"although_utopian"	"utopian_be"	"be_both"	"∅_although_utopian"	"although_utopian_be"	"utopian_be_both"	"be_both_new"	"ε"	"IN"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"utopian"	"communism"	"be"	"both"	"new"	"in"	"and"	"also"	"modern"	"it"	"be"	"not"	"modern"	"communism"	"or"	"even"	"modern"	"socialism"	"as"	"they"	"exist"	"or"	"have"	"ever"	"exist"	"in_theory"	"or"	"in_practice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"modern"	"or"	"not"	"even"	"not_modern"	"modern_or"	"or_even"	"be_not_modern"	"not_modern_or"	"modern_or_even"	"or_even_modern"	"VB"	"RB"	"JJ"	"NN"	"CC"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"utopian"	"communism"	"be"	"both"	"new"	"in"	"also"	"modern"	"it"	"be"	"not"	"modern"	"communism"	"or"	"even"	"modern"	"socialism"	"as"	"they"	"exist"	"or"	"have"	"ever"	"exist"	"in_theory"	"or"	"in_practice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
