"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:40:03::"	"he"	"us"	","	"an"	",_he"	"he_us"	"us_an"	"forgiveness_,_he"	",_he_us"	"he_us_an"	"us_an_example"	"NN"	"ε"	"PRP"	"VB"	"PRP"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jesus"	"not_only"	"forgiveness"	"he"	"give"	"us"	"an"	"example"	"of_it"	"on"	"the"	"cross"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"ever"	"to"	"i"	"you"	"i_ever"	"ever_to"	"to_you"	"more_than_i_ever"	"i_ever_to"	"ever_to_you"	"to_you_''"	"RB"	"PRP"	"RB"	"VB"	"TO"	"PRP"	"ε"	"the"	"young"	"minister"	"resign"	"to"	"go"	"and"	"study"	"and"	"pray"	"having"	"never"	"pass"	"a"	"day"	"he"	"tell"	"his"	"parishioners"	"when"	"i"	"did"	"not"	"gain"	"from"	"far"	"more_than"	"i"	"ever"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:07::"	"can"	"a"	"i"	"message"	"i_can"	"can_a"	"a_message"	"when_i_can"	"i_can_a"	"can_a_message"	"a_message_of"	"WRB"	"PRP"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"his"	"very"	"honest"	"act"	"call_up"	"the"	"recent"	"talk"	"i"	"have"	"with"	"another"	"minister"	"a"	"modest"	"methodist"	"who"	"say"	"i"	"feel"	"so"	"deeply"	"blessed"	"by"	"when"	"i"	"can"	"give"	"a"	"message"	"of"	"love"	"and"	"comfort"	"to"	"men"	"and"	"i"	"would"	"have"	"it"	"no"	"way"	"and"	"it"	"be"	"unworthy"	"to"	"think_of"	"self"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"who"	"himself"	"man"	"to"	"man_who"	"who_himself"	"himself_to"	"a_man_who"	"man_who_himself"	"who_himself_to"	"himself_to_god"	"DT"	"NN"	"WP"	"VB"	"PRP"	"TO"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"who"	"give"	"himself"	"to"	"god"	"and"	"to"	"the"	"believers"	"of"	"his"	"church"	"take"	"upon"	"himself"	"a"	"life"	"of"	"giving"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:07::"	"to"	"than"	"answer"	"``"	"answer_to"	"to_than"	"than_``"	"better_answer_to"	"answer_to_than"	"to_than_``"	"than_``_spirit"	"JJ"	"NN"	"TO"	"VB"	"IN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"one"	"ask"	"about"	"this"	"play"	"what"	"it"	"be"	"that"	"come_upon"	"community"	"and"	"work"	"within"	"it"	"with"	"such"	"terrible"	"there"	"be"	"no"	"better"	"answer"	"to"	"give"	"than"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"attention"	"to_it"	"respectful"	"in"	"respectful_attention"	"attention_to_it"	"to_it_in"	"the_respectful_attention"	"respectful_attention_to_it"	"attention_to_it_in"	"to_it_in_the"	"DT"	"JJ"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"evidence"	"that"	"roman_catholicism"	"enjoy"	"a"	"more"	"today"	"than"	"in"	"be"	"the"	"respectful"	"attention"	"give"	"to_it"	"in"	"the"	"mass_media"	"of"	"england"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"to"	"his"	"-"	"foe"	"-_to"	"to_his"	"his_foe"	"publicly_-_to"	"-_to_his"	"to_his_foe"	"his_foe_the"	"RB"	"ε"	"TO"	"VB"	"PRP$"	"NN"	"DT"	"0"	"0"	"0"	"to"	"my"	"knowledge"	"lincoln"	"remain"	"the"	"only"	"head_of_state"	"and"	"commander-in-chief"	"who"	"while"	"fight"	"a"	"fearful"	"war"	"whose"	"issue"	"be"	"in"	"doubt"	"prove"	"man"	"enough"	"to"	"say"	"publicly"	"to"	"give"	"his"	"foe"	"the"	"benefit"	"of"	"the"	"fact"	"that"	"in_all"	"human"	"truth"	"there"	"be"	"some"	"error"	"and"	"in_all"	"our"	"error"	"some"	"truth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:10::"	"had"	"their"	"americans"	"lives"	"americans_had"	"had_their"	"their_lives"	"sovereign_americans_had"	"americans_had_their"	"had_their_lives"	"their_lives_in"	"JJ"	"NNPS"	"VBD"	"VB"	"PRP$"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"much"	"less"	"difficult"	"now"	"than"	"in"	"lincoln"	"to"	"see"	"that"	"on"	"both"	"sides"	"sovereign"	"americans"	"had"	"give"	"their"	"lives"	"in"	"the"	"civil_war"	"to"	"maintain"	"the"	"balance"	"between"	"the"	"powers"	"they"	"had"	"delegate"	"to"	"the"	"states"	"and"	"to"	"their"	"union"	"0"	"0"	"0"	"0"	
"2:40:05::"	"to"	"people"	"say"	"a"	"say_to"	"to_people"	"people_a"	"be_say_to"	"say_to_people"	"to_people_a"	"people_a_sense_of_purpose"	"VB"	"VB"	"TO"	"VB"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"literature"	"may"	"say"	"to"	"give"	"people"	"a"	"sense_of_purpose"	"dedication"	"mission"	"significance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:05::"	"to"	"a"	"tend"	"person"	"tend_to"	"to_a"	"a_person"	"literature_tend_to"	"tend_to_a"	"to_a_person"	"a_person_what"	"NN"	"VB"	"VB"	"VB"	"DT"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"say"	"too"	"that"	"the"	"of"	"literature"	"tend"	"to"	"give"	"a"	"person"	"what"	"i"	"shall"	"call"	"depth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
