"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"1:07:01::"	"the"	"that"	"be"	"the"	"be_the"	"the_that"	"that_the"	"what_be_the"	"be_the_that"	"the_that_the"	"that_the_number"	"WP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"three"	"dice"	"are"	"repeatedly"	"what"	"be"	"the"	"probability"	"that"	"the"	"number"	"of"	"ace"	"be"	"or"	"or"	"or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"of"	"that"	"success"	"that_the"	"the_of"	"of_success"	"and_that_the"	"that_the_of"	"the_of_success"	"of_success_remain"	"CC"	"IN"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"generally"	"suppose"	"that"	"an"	"experiment"	"consist_of"	"a"	"number"	"of"	"independent"	"trial"	"that"	"each"	"trial"	"result"	"in"	"either"	"a"	"or"	"a"	"non"	"success"	"failure"	"and"	"that"	"the"	"probability"	"of"	"success"	"remain"	"constant"	"from"	"trial"	"to"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"of"	"be"	"exactly"	"be_the"	"the_of"	"of_exactly"	"what_be_the"	"be_the_of"	"the_of_exactly"	"of_exactly_x"	"WP"	"VB"	"DT"	"NN"	"IN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"major"	"question"	"in"	"this"	"be"	"what"	"be"	"the"	"probability"	"of"	"exactly"	"x"	"success"	"in"	"n"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"identical"	"of"	"have"	"success"	"have_identical"	"identical_of"	"of_success"	"must_have_identical"	"have_identical_of"	"identical_of_success"	"of_success_,"	"MD"	"VB"	"JJ"	"NN"	"IN"	"NN"	"ε"	"experiment"	"to"	"qualify"	"as"	"a"	"binomial"	"experiment"	"it"	"must"	"have"	"four"	"property"	"there"	"must"	"be"	"a"	"fixed"	"number"	"of"	"trial"	"each"	"trial"	"must"	"result"	"in"	"a"	"success"	"or"	"a"	"failure"	"a"	"binomial"	"trial"	"all"	"trial"	"must"	"have"	"identical"	"probability"	"of"	"success"	"the"	"trial"	"be"	"independent"	"of"	"each"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"have"	"*"	"die"	"*"	"die_have"	"have_*"	"*_*"	"each_die_have"	"die_have_*"	"have_*_*"	"*_*_f"	"JJ"	"NN"	"VB"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"have"	"probability"	"f"	"of"	"produce"	"an"	"ace"	"the"	"marksman"	"have"	"some"	"probability"	"p"	"perhaps"	"of"	"make"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"some"	"p"	"have"	","	"have_some"	"some_p"	"p_,"	"marksman_have_some"	"have_some_p"	"some_p_,"	"p_,_perhaps"	"NN"	"VB"	"JJ"	"NN"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"die"	"have"	"probability"	"f"	"of"	"produce"	"ace"	"the"	"marksman"	"have"	"some"	"probability"	"p"	"perhaps"	"of"	"make"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"for"	"that"	"each"	"that_the"	"the_for"	"for_each"	"mean_that_the"	"that_the_for"	"the_for_each"	"for_each_outcome"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strictly_speaking"	"this"	"that"	"the"	"probability"	"for"	"each"	"outcome"	"of"	"the"	"experiment"	"can"	"be"	"compute"	"by"	"multiply"	"together"	"the"	"probability"	"of"	"the"	"outcome"	"of"	"the"	"single"	"binomial"	"trial"	
"1:07:01::"	"the"	"of"	"together"	"the"	"together_the"	"the_of"	"of_the"	"multiply_together_the"	"together_the_of"	"the_of_the"	"of_the_outcome"	"VB"	"RB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strictly_speaking"	"this"	"mean"	"that"	"the"	"probability"	"for"	"each"	"outcome"	"the"	"experiment"	"can"	"be"	"compute"	"by"	"multiply"	"together"	"the"	"probability"	"of"	"the"	"outcome"	"of"	"the"	"single"	"binomial"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"same"	"*"	"the"	"*"	"the_same"	"same_*"	"*_*"	"with_the_same"	"the_same_*"	"same_*_*"	"*_*_f"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"binomial"	"experiment"	"consist_of"	"f"	"independent"	"binomial"	"all"	"with"	"the"	"same"	"probability"	"f"	"of"	"yield"	"a"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"the"	"of"	"for"	"exactly"	"for_the"	"the_of"	"of_exactly"	"formula_for_the"	"for_the_of"	"the_of_exactly"	"of_exactly_x"	"NN"	"IN"	"DT"	"NN"	"IN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"shall"	"find"	"formula"	"for"	"the"	"probability"	"of"	"exactly"	"x"	"success"	"for"	"given"	"value"	"of"	"p"	"and"	"n"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
