"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:32:00::"	"may"	","	"we"	"first"	"we_may"	"may_,"	",_first"	"∅_we_may"	"we_may_,"	"may_,_first"	",_first_,"	"ε"	"PRP"	"MD"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"may"	"show"	"first"	"that"	"there"	"cannot"	"be"	"an"	"alternative"	"other_than"	"three"	"typically"	"represent"	"by"	"person"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"by_way_of"	"we"	"counter"	"we_to"	"to_by_way_of"	"by_way_of_counter"	"have_we_to"	"we_to_by_way_of"	"to_by_way_of_counter"	"by_way_of_counter_success"	"VB"	"PRP"	"TO"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"to"	"show"	"by_way_of"	"counter"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"that"	"will"	"the"	"will_be"	"be_that"	"that_the"	"it_will_be"	"will_be_that"	"be_that_the"	"that_the_objective"	"PRP"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"show"	"that"	"the"	"objective"	"of"	"the"	"cooperative"	"people"	"in"	"an"	"organization"	"determine"	"the"	"type"	"of"	"network"	"require"	"because"	"the"	"type"	"of"	"network"	"function"	"according"	"to"	"the"	"characteristic"	"of"	"the"	"message"	"enumerate"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::;2:39:02::"	"that"	"in"	"to"	"figure"	"to_that"	"that_in"	"in_figure"	"similar_to_that"	"to_that_in"	"that_in_figure"	"in_figure_3"	"JJ"	"RB"	"RB"	"VB"	"IN"	"NN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"parade_ground"	"the"	"may"	"be"	"similar"	"to"	"that"	"show"	"in"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"example"	"in"	"the"	"figure"	"the_example"	"example_in"	"in_figure"	"which_the_example"	"the_example_in"	"example_in_figure"	"in_figure_3"	"RB"	"DT"	"NN"	"VB"	"IN"	"NN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"assumption"	"which"	"the"	"example"	"show"	"in"	"figure"	"is"	"base"	"be"	"a"	"one"	"man"	"can"	"direct"	"about"	"six"	"subordinate"	"if"	"the"	"subordinate"	"are"	"choose"	"carefully"	"so"	"that"	"they"	"do"	"not"	"need"	"too_much"	"personal"	"coach"	"indoctrinate"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"person"	"forty"	"as"	"year"	"as_person"	"person_forty"	"forty_year"	",_as_person"	"as_person_forty"	"person_forty_year"	"forty_year_ago"	"ε"	"IN"	"NNP"	"VB"	"JJ"	"NN"	"RB"	"of"	"the"	"southern"	"plantation"	"has"	"have"	"only"	"a"	"tangential"	"relation"	"with"	"actuality"	"as"	"person"	"forty"	"year"	"ago"	"and"	"i"	"suspect"	"it"	"has"	"have"	"a"	"far"	"narrow"	"acceptance"	"as"	"something"	"real"	"than"	"has"	"generally"	"been"	"suppose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"analysis"	"a"	"thermal"	"very"	"thermal_analysis"	"analysis_a"	"a_very"	"differential_thermal_analysis"	"thermal_analysis_a"	"analysis_a_very"	"a_very_small"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"differential"	"analysis"	"show"	"a"	"very"	"small"	"endothermic_reaction"	"at"	"c"	"and"	"a"	"large"	"endothermic_reaction"	"at"	"c"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"sample"	"it"	"**f"	"to"	"**f_sample"	"sample_it"	"it_to"	"the_**f_sample"	"**f_sample_it"	"sample_it_to"	"it_to_be"	"DT"	"NN"	"NN"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"electron_microscopic"	"examination"	"the"	"sample"	"show"	"it"	"to"	"be"	"composed"	"of"	"nearly"	"isotropic"	"particle"	"about"	"lm"	"in"	"diameter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	"that"	"further"	":"	"further_been"	"been_that"	"that_:"	"has_further_been"	"further_been_that"	"been_that_:"	"that_:_("	"VBZ"	"RB"	"VB"	"VB"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"further"	"been"	"show"	"that"	"an"	"experimental"	"neurosis"	"in"	"its"	"initial"	"stage"	"is"	"associate"	"with"	"a"	"reversible"	"shift"	"in"	"the"	"central"	"autonomic"	"balance"	"drug"	"alter"	"the"	"hypothalamic"	"balance"	"alter"	"conditioned_reaction"	"in"	"a"	"state"	"of"	"depression"	"the"	"conditioned_stimulus"	"may"	"fail"	"to"	"elicit"	"a"	"conditioned_reaction"	"but"	"cause"	"an"	"increased"	"synchrony"	"instead"	"of"	"the"	"excitatory"	"desynchronizing"	"alerting"	"effect"	"on"	"the"	"eeg"	
"2:32:00::"	"first"	"that"	"must"	"every"	"must_first"	"first_that"	"that_every"	"we_must_first"	"must_first_that"	"first_that_every"	"that_every_line"	"PRP"	"MD"	"JJ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"do"	"we"	"must"	"first"	"show"	"that"	"every"	"line"	"which"	"meet"	"g"	"in"	"a"	"point"	"p"	"meet"	"its"	"image"	"at"	"p"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:03::"	"sometimes"	"construction"	"stress"	"unambiguously"	"stress_sometimes"	"sometimes_construction"	"construction_unambiguously"	"of_stress_sometimes"	"stress_sometimes_construction"	"sometimes_construction_unambiguously"	"construction_unambiguously_in"	"IN"	"NN"	"RB"	"NN"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"clear"	"pattern"	"of"	"stress"	"sometimes"	"show"	"construction"	"unambiguously"	"in"	"the"	"spoken_language"	"where"	"without"	"the"	"help"	"of"	"context"	"it"	"would"	"be"	"ambiguous"	"in"	"the"	"written"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
