"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:31:01::"	"manufacturers"	"these"	"heavy-electrical-goods"	"facts"	"heavy-electrical-goods_manufacturers"	"manufacturers_these"	"these_facts"	"the_heavy-electrical-goods_manufacturers"	"heavy-electrical-goods_manufacturers_these"	"manufacturers_these_facts"	"these_facts_?"	"DT"	"JJ"	"NNS"	"VB"	"DT"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"question"	"might"	"be"	"ask"	"do"	"n't"	"managements"	"of"	"the"	"heavy-electrical-goods"	"manufacturers"	"know"	"these"	"facts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"n't"	"what"	"did"	"to"	"did_n't"	"n't_what"	"what_to"	",_did_n't"	"did_n't_what"	"n't_what_to"	"what_to_say"	"ε"	"VBD"	"RB"	"VB"	"WP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"o._n._moss"	"tall"	"grey"	"as"	"a"	"canning"	"plant"	"chief"	"did"	"n't"	"know"	"what"	"to"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"who"	"how"	"man"	"much"	"man_who"	"who_how"	"how_much"	"a_man_who"	"man_who_how"	"who_how_much"	"how_much_the"	"DT"	"NN"	"WP"	"VB"	"WRB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moss"	"a"	"who"	"know"	"how"	"much"	"the"	"cannery"	"help"	"the"	"county"	"does"	"n't"	"believe"	"it"	"will"	"close"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"you"	"do"	"love"	"do_you"	"you_you"	"you_love"	"how_do_you"	"do_you_you"	"you_you_love"	"you_love_somebody"	"WRB"	"VBP"	"PRP"	"VB"	"PRP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"you"	"know"	"you"	"love"	"somebody"	"enough"	"to"	"get_married"	"she"	"ask"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"not"	"dr._wilson_sneed"	"do"	"well"	"do_not"	"not_dr._wilson_sneed"	"dr._wilson_sneed_well"	"i_do_not"	"do_not_dr._wilson_sneed"	"not_dr._wilson_sneed_well"	"dr._wilson_sneed_well_."	"PRP"	"VBP"	"RB"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"not"	"know"	"dr._wilson_sneed"	"well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"widely"	"and"	"more"	"universally"	"more_widely"	"widely_and"	"and_universally"	"experience_more_widely"	"more_widely_and"	"widely_and_universally"	"and_universally_feel"	"NN"	"RB"	"RB"	"VB"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"nothing"	"in"	"the"	"range"	"of"	"human"	"experience"	"more"	"widely"	"know"	"and"	"universally"	"feel"	"than"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"and"	"that"	"catholicism"	"they"	"catholicism_and"	"and_that"	"that_they"	"their_catholicism_and"	"catholicism_and_that"	"and_that_they"	"that_they_be"	"PRP$"	"NN"	"CC"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"english"	"catholic"	"be"	"of"	"their"	"catholicism"	"and"	"know"	"that"	"they"	"be"	"in"	"a"	"new"	"ascendancy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:03::"	"must"	"either"	"therapist"	"intuitively"	"therapist_must"	"must_either"	"either_intuitively"	"the_therapist_must"	"therapist_must_either"	"must_either_intuitively"	"either_intuitively_or"	"DT"	"NN"	"MD"	"VB"	"DT"	"RB"	"CC"	"this"	"intensive"	"study"	"of"	"the"	"taped"	"interviews"	"by"	"teams"	"of"	"psychotherapists"	"and"	"linguists"	"laid_bare"	"the"	"surprising"	"fact"	"that"	"in"	"the"	"first"	"five"	"minutes"	"of"	"an"	"initial"	"interview"	"the"	"patient"	"often"	"reveal"	"as_many"	"as"	"a"	"dozen"	"times"	"just"	"what"	"wrong"	"with"	"him"	"to"	"spot"	"these"	"giveaways"	"the"	"therapist"	"must"	"either"	"intuitively"	"or"	"scientifically"	"how"	"to"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"already"	"everyone"	"everyone"	"else"	"everyone_already"	"already_everyone"	"everyone_else"	"which_everyone_already"	"everyone_already_everyone"	"already_everyone_else"	"everyone_else_and"	"RB"	"NN"	"RB"	"VB"	"NN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"occasion"	"which"	"everyone"	"already"	"know"	"everyone"	"else"	"and"	"the"	"host"	"wish"	"them"	"to"	"meet"	"one"	"or"	"a_few"	"honored"	"newcomer"	"then"	"the"	"open_house"	"system"	"be"	"advantageous"	"because"	"the"	"honored"	"guest"	"be"	"fixed"	"connective"	"point"	"and"	"the"	"drifting"	"guest"	"make"	"and"	"break"	"connection"	"at"	"the"	"door"	
"2:31:03::"	"pattern"	"from"	"the"	"the"	"the_pattern"	"pattern_from"	"from_the"	"follow_the_pattern"	"the_pattern_from"	"pattern_from_the"	"from_the_sleep"	"VB"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"assume"	"that"	"the"	"shift"	"in"	"autonomic"	"hypothalamic"	"balance"	"occur"	"spontaneously"	"neuropsychiatric"	"patient"	"from"	"the"	"application"	"of"	"certain"	"therapeutic"	"procedure"	"follow"	"the"	"pattern"	"know"	"from"	"the"	"sleep"	"wakefulness"	"cycle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
