"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"2:32:00::"	","	"today"	"national_audubon_society"	"."	"national_audubon_society_,"	",_today"	"today_."	"the_national_audubon_society_,"	"national_audubon_society_,_today"	",_today_."	"today_._∅"	"DT"	"NNP"	"ε"	"VB"	"NN"	"ε"	"ε"	"0"	"vast"	"spraying"	"programs"	"conduct"	"by"	"technicians"	"with"	"narrow"	"training"	"and"	"little"	"wisdom"	"are"	"endanger"	"crops"	"and"	"wildlife"	"carl_w._buchheister"	"president"	"of"	"the"	"national_audubon_society"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"but"	"it"	"did"	"destroy"	"the"	"natural"	"controls"	"of"	"a"	"borer"	"and"	"release"	"a"	"new"	"plague"	"that"	"wreck"	"a"	"sugar_cane"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"leader"	"mistakes"	"conservation"	"in"	"conservation_leader"	"leader_mistakes"	"mistakes_in"	"the_conservation_leader"	"conservation_leader_mistakes"	"leader_mistakes_in"	"mistakes_in_spraying"	"DT"	"NN"	"NN"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"leader"	"say"	"mistakes"	"in"	"spraying"	"had"	"cause"	"serious"	"damage"	"in"	"ohio"	"and"	"wyoming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"two"	"pilots"	"crash"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	","	","	"``"	",_he"	"he_,"	",_``"	"''_,_he"	",_he_,"	"he_,_``"	",_``_so"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"so"	"he"	"say"	"so"	"slow"	"serene"	"and"	"so"	"challenging"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	","	","	"be"	",_he"	"he_,"	",_be"	"buddies_,_he"	",_he_,"	"he_,_be"	",_be_joseph"	"NNS"	"ε"	"PRP"	"VB"	"ε"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"his"	"buddies"	"he"	"say"	"be"	"joseph"	"joey"	"glimco"	"a"	"mob"	"labor"	"racketeer"	"and"	"four"	"gang"	"gambling"	"chiefs"	"gus"	"slim"	"alex"	"ralph_pierce"	"joe"	"caesar"	"divarco"	"and"	"jimmy"	"monk"	"allegretti"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"stein"	"."	","	"∅"	",_stein"	"stein_."	"._∅"	"''_,_stein"	",_stein_."	"stein_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"put"	"arger"	"on"	"the"	"payroll"	"because"	"he"	"promise"	"to"	"get"	"firm"	"the"	"stevedore"	"account"	"at"	"pier"	"stein"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"lee"	"he"	"∅"	"had"	"∅_lee"	"lee_he"	"he_had"	"∅_∅_lee"	"∅_lee_he"	"lee_he_had"	"he_had_tell"	"ε"	"ε"	"NNP"	"VB"	"PRP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"say"	"he"	"had"	"tell"	"the"	"jury"	"that"	"he"	"make"	"an"	"agreement"	"in"	"april"	"with"	"stein"	"to"	"supply"	"and"	"supervise"	"janitors"	"in"	"mccormick_place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"he"	"room"	"be"	"room_,"	",_he"	"he_be"	"jury_room_,"	"room_,_he"	",_he_be"	"he_be_prepared"	"NN"	"NN"	"ε"	"VB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"leavitt"	"as"	"he"	"enter"	"jury"	"room"	"say"	"he"	"be"	"prepared"	"to"	"answer"	"questions"	"about"	"the"	"his"	"liquor"	"firm"	"pay"	"to"	"stein"	"for"	"labor"	"consultant"	"work"	"with"	"five"	"unions"	"which"	"organize"	"leavitt"	"workers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"leavitt"	","	","	"have"	",_leavitt"	"leavitt_,"	",_have"	"attorneys_,_leavitt"	",_leavitt_,"	"leavitt_,_have"	",_have_question"	"NNS"	"ε"	"NNP"	"VB"	"ε"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"government"	"leavitt"	"say"	"have"	"question"	"him"	"closely"	"about"	"five"	"or"	"six"	"loans"	"total"	"about"	"which"	"the"	"liquor"	"company"	"make"	"to"	"stein"	"in"	"the"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"as"	"that"	"client"	"part"	"client_as"	"as_that"	"that_part"	"his_client_as"	"client_as_that"	"as_that_part"	"that_part_of"	"PRP$"	"NN"	"IN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"huff"	"attorney"	"antone_f._gregorio"	"quote"	"client"	"as"	"say"	"that"	"part"	"of"	"the"	"embezzlement"	"represent"	"money"	"pay"	"to"	"huff"	"as"	"attorney"	"for"	"the"	"loan"	"association"	"in"	"satisfaction"	"of"	"mechanic"	"liens"	"on"	"property"	"on_which"	"the"	"association"	"hold"	"mortgages"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	","	"that"	"year"	"his"	"year_,"	",_that"	"that_his"	"of_this_year_,"	"year_,_that"	",_that_his"	"that_his_private"	"RB"	"NN"	"ε"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"huff"	"who"	"receive"	"a"	"salary"	"of"	"a"	"week"	"from"	"the"	"loan"	"association"	"from"	"october"	"of"	"until"	"september"	"year"	"say"	"that"	"his"	"private"	"practice"	"be"	"not"	"lucrative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
