"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:34:01::"	"∅"	"a"	"∅"	"steering_system"	"∅_∅"	"∅_a"	"a_steering_system"	"∅_∅_∅"	"∅_∅_a"	"∅_a_steering_system"	"a_steering_system_that"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"steering_system"	"that"	"control"	"the"	"modified"	"rocket"	"tail"	"surfaces"	"and"	"wings"	"equipped"	"with"	"ailerons"	"fiedler"	"was"	"to"	"land"	"the"	"missile"	"on"	"a"	"skid"	"especially"	"bolted"	"under"	"the"	"fuselage"	"0"	
"2:34:01::"	","	"a"	"sherman_house"	"credit_card"	"sherman_house_,"	",_a"	"a_credit_card"	"the_sherman_house_,"	"sherman_house_,_a"	",_a_credit_card"	"a_credit_card_."	"DT"	"NNP"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"later"	"huff"	"cash"	"three"	"checks"	"for"	"at"	"the"	"sherman_house"	"use"	"a"	"credit_card"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"unions"	"to"	"that"	"deny"	"that_unions"	"unions_to"	"to_deny"	"reasoning_that_unions"	"that_unions_to"	"unions_to_deny"	"to_deny_their"	"NN"	"IN"	"NNS"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"tortured"	"that"	"unions"	"use"	"to"	"deny"	"their"	"ambition"	"to"	"exercise"	"monopoly"	"power"	"over"	"the"	"supply"	"and"	"price"	"of"	"labor"	"be"	"one"	"of"	"the"	"things"	"that"	"create"	"a"	"legal_profession"	"0"	"0"	
"2:34:01::"	"who"	"the"	"those"	"facilities"	"those_who"	"who_the"	"the_facilities"	",_those_who"	"those_who_the"	"who_the_facilities"	"the_facilities_of"	"ε"	"DT"	"WP"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"dekalb"	"those"	"who"	"use"	"the"	"facilities"	"of"	"the"	"cannery"	"say"	"the"	"cannery"	"be"	"not"	"supposed"	"to"	"make"	"any"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"has"	"the"	"who"	"cannery"	"who_has"	"has_the"	"the_cannery"	"and_who_has"	"who_has_the"	"has_the_cannery"	"the_cannery_to"	"CC"	"WP"	"VBZ"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"driver"	"of"	"a"	"dairy"	"truck"	"who"	"begin"	"work"	"at"	"a."	"m."	"finish"	"before"	"breakfast"	"then"	"go_out"	"and"	"a"	"garden"	"and"	"who"	"has"	"use"	"the"	"cannery"	"to"	"save"	"and"	"feed"	"a"	"family"	"of"	"five"	"ask"	"what"	"in"	"the"	"world"	"will"	"we"	"do"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"make"	"of"	"still"	"this"	"still_make"	"make_of"	"of_this"	"we_still_make"	"still_make_of"	"make_of_this"	"of_this_distinction"	"PRP"	"RB"	"VB"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"result"	"we"	"still"	"make"	"use"	"of"	"this"	"distinction"	"there"	"be"	"much"	"confusion"	"as_to"	"the"	"meaning"	"of"	"the"	"basic"	"term"	"employ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"be"	"in"	"no_longer"	"theology"	"no_longer_be"	"be_in"	"in_theology"	"can_no_longer_be"	"no_longer_be_in"	"be_in_theology"	"in_theology_and"	"MD"	"RB"	"VB"	"VB"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"does"	"not"	"mean"	"that"	"language"	"as_such"	"can"	"no_longer"	"be"	"use"	"in"	"theology"	"and"	"preaching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"ought_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"MD"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"having"	"been"	"say"	"the"	"question"	"remain"	"whether"	"we"	"have"	"the"	"resource"	"for"	"the"	"job"	"we"	"have"	"to"	"do"	"defeat"	"communism"	"and"	"if"	"so"	"how"	"resource"	"ought"	"to"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"be"	"to"	"can"	"illustrate"	"can_be"	"be_to"	"to_illustrate"	",_can_be"	"can_be_to"	"be_to_illustrate"	"to_illustrate_another"	"ε"	"MD"	"VB"	"VB"	"JJ"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"mention"	"person"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:01::"	"we"	"here"	"which"	"."	"which_we"	"we_here"	"here_."	"**f_which_we"	"which_we_here"	"we_here_."	"here_._∅"	"NN"	"WDT"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"suggest"	"another"	"of"	"which"	"we"	"use"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
