"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"5:00:00:cardinal:00"	"up"	"%"	","	"."	",_up"	"up_%"	"%_."	"hour_,_up"	",_up_%"	"up_%_."	"%_._∅"	"NN"	"ε"	"IN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"factor"	"increase"	"operating_cost"	"include"	"the"	"higher"	"unit_cost"	"of"	"each"	"flying"	"hour"	"up"	"two"	"year"	"and"	"of"	"each"	"steam"	"hour"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"be"	"tsunami"	"have"	"in"	"have_be"	"be_tsunami"	"tsunami_in"	"there_have_be"	"have_be_tsunami"	"be_tsunami_in"	"tsunami_in_the"	"EX"	"VBP"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"disaster"	"have"	"be"	"tsunami"	"in"	"the"	"pacific"	"but"	"only"	"one"	"be"	"of"	"any"	"consequence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"range"	"to"	"the"	"20"	"the_range"	"range_to"	"to_20"	"in_the_range"	"the_range_to"	"range_to_20"	"to_20_*"	"IN"	"DT"	"NN"	"JJ"	"TO"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"is"	"pursue"	"an"	"active"	"program"	"to"	"provide"	"temperature"	"scale"	"and"	"thermometer"	"calibration"	"service"	"in"	"the"	"range"	"to"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	","	"term"	"16"	")"	"16_,"	",_term"	"term_)"	"(_16_,"	"16_,_term"	",_term_)"	"term_)_,"	"ε"	"NN"	"ε"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"have"	"left"	"as"	"reasonably"	"comparable"	"be"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"come_out"	"with"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"ratio"	"versus"	"verb"	"term"	"ratio"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"about"	"cm"	"and"	"long"	"and_about"	"about_cm"	"cm_long"	"i.d._and_about"	"and_about_cm"	"about_cm_long"	"cm_long_."	"NN"	"CC"	"IN"	"JJ"	"NN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sample"	"for"	"liquid"	"phase"	"thermal"	"reaction"	"study"	"prepare"	"in"	"pyrex"	"capillary_tubing"	"mm"	"i.d."	"and"	"about"	"cm"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"a"	"-"	"mount"	"hit"	"mount_a"	"a_-"	"-_hit"	"still_mount_a"	"mount_a_-"	"a_-_hit"	"-_hit_attack"	"RB"	"VB"	"DT"	"JJ"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"person"	"and"	"person"	"both"	"out_of_action"	"due_to"	"the"	"group"	"champ"	"still"	"mount"	"a"	"hit"	"attack"	"against"	"a"	"parade"	"of"	"eight"	"group"	"pitcher"	"the"	"most"	"ever"	"use"	"by"	"one"	"team"	"in"	"a"	"series"	"game"	
"5:00:00:cardinal:00"	","	"pound"	"pound"	"light"	"pound_,"	",_pound"	"pound_light"	"200_pound_,"	"pound_,_pound"	",_pound_light"	"pound_light_than"	"CD"	"NN"	"ε"	"JJ"	"NN"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"foot"	"inch"	"person"	"check_in"	"pound"	"pound"	"light"	"than"	"his"	"reporting_weight"	"last"	"spring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"which"	"blood_transfusion"	"for"	"were"	"for_which"	"which_blood_transfusion"	"blood_transfusion_were"	"anemia_for_which"	"for_which_blood_transfusion"	"which_blood_transfusion_were"	"blood_transfusion_were_give"	"NN"	"IN"	"WDT"	"JJ"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"patient"	"develop"	"unexplained"	"anemia"	"for"	"which"	"blood_transfusion"	"were"	"give"	"over"	"a"	"period"	"of"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"in"	"try"	"extra_points"	"."	"extra_points_in"	"in_try"	"try_."	"14_extra_points_in"	"extra_points_in_try"	"in_try_."	"try_._∅"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"because"	"he"	"already"	"kick"	"extra_points"	"in"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"about"	"meter"	"at"	"wavelength"	"at_about"	"about_meter"	"meter_wavelength"	"record_at_about"	"at_about_meter"	"about_meter_wavelength"	"meter_wavelength_as"	"NN"	"IN"	"RB"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"radio_emission"	"of"	"a"	"planet"	"was"	"first"	"detect"	"in"	"when"	"person"	"and"	"person"	"identify"	"origin"	"of"	"interference"	"like"	"radio_noise"	"on"	"their"	"record"	"at"	"about"	"meter"	"wavelength"	"as"	"emission"	"from"	"jupiter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
