"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"5:00:00:cardinal:00"	"at_least"	"inch"	"construct"	"apart"	"construct_at_least"	"at_least_inch"	"inch_apart"	"are_construct_at_least"	"construct_at_least_inch"	"at_least_inch_apart"	"inch_apart_."	"VB"	"VB"	"RB"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"wall"	"of"	"block"	"are"	"construct"	"at_least"	"inch"	"apart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"at_least"	"inch"	"with"	"of"	"with_at_least"	"at_least_inch"	"inch_of"	"cover_with_at_least"	"with_at_least_inch"	"at_least_inch_of"	"inch_of_pit_run"	"VB"	"IN"	"RB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"roof"	"show"	"here"	"fig"	"be"	"a"	"inch"	"slab"	"of"	"reinforced_concrete"	"with"	"at_least"	"inch"	"of"	"pit_run"	"gravel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"last"	"-"	"the"	"25"	"the_last"	"last_-"	"-_25"	"in_the_last"	"the_last_-"	"last_-_25"	"-_25_yr"	"IN"	"DT"	"JJ"	"JJ"	"ε"	"JJ"	"NN"	"in"	"the"	"new"	"decade"	"will"	"be"	"no"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"experience"	"in"	"last"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"early"	"th"	"and"	"century"	"and_early"	"early_th"	"th_century"	"th_and_early"	"and_early_th"	"early_th_century"	"th_century_,"	"DT"	"CC"	"JJ"	"JJ"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"carry_over"	"into"	"the"	"more"	"late"	"th"	"and"	"early"	"th"	"century"	"when"	"the"	"man"	"rule"	"the"	"roost"	"in"	"the"	"best"	"bull_roaring"	"life_with_father"	"manner"	
"5:00:00:cardinal:00"	"to"	"gram"	"10"	"per"	"10_to"	"to_gram"	"gram_per"	"feed_10_to"	"10_to_gram"	"to_gram_per"	"gram_per_ton"	"VB"	"JJ"	"TO"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"and"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"than"	"and"	"less"	"not"	"less_than"	"than_and"	"and_not"	"not_less_than"	"less_than_and"	"than_and_not"	"and_not_more"	"RB"	"RB"	"RB"	"JJ"	"CC"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"an"	"aid"	"in"	"reduce"	"loss"	"due_to"	"enterotoxemia"	"overeating"	"disease"	"feed"	"a"	"complete"	"contain"	"not"	"less"	"than"	"and"	"not"	"more"	"than"	"gram"	"of"	"aureomycin"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"to"	"*"	"15"	"*"	"15_to"	"to_*"	"*_*"	"range_15_to"	"15_to_*"	"to_*_*"	"*_*_f"	"NN"	"JJ"	"TO"	"JJ"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"is"	"pursue"	"an"	"active"	"program"	"to"	"provide"	"a"	"temperature"	"scale"	"and"	"calibration"	"service"	"in"	"the"	"range"	"to"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"a"	"%"	"under"	"aqueous"	"under_a"	"a_%"	"%_aqueous"	"open_under_a"	"under_a_%"	"a_%_aqueous"	"%_aqueous_sodium_iodide"	"VB"	"IN"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"reaction"	"the"	"cell"	"were"	"scratch"	"a"	"file"	"and"	"open"	"under"	"a"	"aqueous"	"sodium_iodide"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"average"	"inch"	"group"	"."	"group_average"	"average_inch"	"inch_."	"the_group_average"	"group_average_inch"	"average_inch_."	"inch_._∅"	"DT"	"NNP"	"VB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"colombian"	"female"	"brood"	"of"	"sixteen"	"bear"	"in"	"the"	"group"	"average"	"inch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	","	"unit"	")"	"daily"	")_,"	",_unit"	"unit_daily"	"acth_gel_)_,"	")_,_unit"	",_unit_daily"	"unit_daily_intramuscularly"	"NN"	"ε"	"ε"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"feb"	"purify"	"corticotropin"	"acth_gel"	"daily"	"intramuscularly"	"was"	"start"	"but"	"had_to"	"be"	"discontinue"	"week"	"later"	"because"	"of"	"excessive"	"fluid"	"retention"	"0"	"0"	"0"	
