"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"5:00:00:few:00"	"of"	"picture"	"record"	"and"	"record_of"	"of_picture"	"picture_and"	"this_record_of"	"record_of_picture"	"of_picture_and"	"picture_and_a_few"	"DT"	"NN"	"IN"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"potent"	"a"	"charm"	"to"	"bring"	"that"	"time_of_life"	"than"	"this"	"record"	"of"	"a_few"	"picture"	"and"	"a_few"	"remembered"	"fact"	"would"	"be"	"a"	"catalogue"	"of"	"the"	"minutia"	"which"	"be"	"of"	"the"	"very"	"stuff"	"of"	"the"	"mind"	"intrinsic"	"because"	"they"	"were"	"known"	"in_the_beginning"	"not"	"by"	"the"	"eye"	"alone"	"but"	"by"	"the"	"hand"	"that"	"hold"	"them"	
"5:00:00:few:00"	"and"	"remembered"	"picture"	"fact"	"picture_and"	"and_remembered"	"remembered_fact"	"a_few_picture_and"	"picture_and_remembered"	"and_remembered_fact"	"remembered_fact_would"	"JJ"	"NN"	"CC"	"JJ"	"JJ"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"potent"	"a"	"charm"	"to"	"bring"	"back"	"time_of_life"	"than"	"this"	"record"	"of"	"a_few"	"picture"	"and"	"a_few"	"remembered"	"fact"	"would"	"be"	"a"	"catalogue"	"of"	"the"	"minutia"	"which"	"be"	"of"	"the"	"very"	"stuff"	"of"	"the"	"mind"	"intrinsic"	"because"	"they"	"were"	"known"	"in_the_beginning"	"not"	"by"	"the"	"eye"	"alone"	"but"	"by"	"the"	"hand"	"that"	"hold"	"them"	"0"	
"5:00:00:few:00"	"only"	"hundred"	"be"	"yard"	"be_only"	"only_hundred"	"hundred_yard"	"valley_be_only"	"be_only_hundred"	"only_hundred_yard"	"hundred_yard_wide"	"NN"	"VB"	"RB"	"JJ"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"only"	"a_few"	"hundred"	"yard"	"wide"	"with"	"just_about"	"room"	"enough"	"for"	"a"	"properly"	"perform"	"hundred-and-eighty"	"degree"	"turn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"for"	"moment"	"silent"	"."	"silent_for"	"for_moment"	"moment_."	"be_silent_for"	"silent_for_moment"	"for_moment_."	"moment_._∅"	"VB"	"JJ"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"silent"	"for"	"a_few"	"moment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"in"	"commodity"	"trade"	"note"	"trade_in"	"in_commodity"	"commodity_note"	"the_trade_in"	"trade_in_commodity"	"in_commodity_note"	"commodity_note_above"	"DT"	"NN"	"VB"	"JJ"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"in"	"a_few"	"commodity"	"note"	"above"	"was"	"to"	"grow"	"in"	"volume"	"as"	"a"	"result"	"of"	"change"	"both"	"north"	"and"	"south"	"of"	"the"	"th"	"parallel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"only"	"employee"	"benefit"	"?"	"benefit_only"	"only_employee"	"employee_?"	"that_benefit_only"	"benefit_only_employee"	"only_employee_?"	"employee_?_∅"	"IN"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"spending"	"too"	"much"	"on"	"team"	"uniform"	"that"	"benefit"	"only"	"a_few"	"employee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"only"	"."	"mention"	"∅"	"mention_only"	"only_."	"._∅"	"to_mention_only"	"mention_only_."	"only_._∅"	"._∅_∅"	"TO"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"the"	"effort"	"of"	"group"	"shooting"	"development"	"program"	"these"	"shooting"	"activity"	"and"	"many"	"include"	"assist"	"in"	"the"	"development"	"of"	"public"	"and"	"privately"	"financed"	"shoot"	"park"	"trap"	"and"	"skeet"	"league"	"rifle"	"and"	"pistol"	"marksmanship"	"program"	"have"	"been"	"promote"	"to"	"mention"	"only"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"in"	"school"	"∅"	"district"	"∅_in"	"in_school"	"school_district"	"∅_∅_in"	"∅_in_school"	"in_school_district"	"school_district_one"	"ε"	"ε"	"IN"	"JJ"	"NN"	"NN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_few"	"school"	"district"	"one"	"find"	"a"	"link"	"between"	"school"	"and"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"write"	"year"	","	"ago"	",_write"	"write_year"	"year_ago"	"historian_,_write"	",_write_year"	"write_year_ago"	"year_ago_in"	"NN"	"ε"	"VB"	"JJ"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"yale"	"write"	"a_few"	"year"	"ago"	"in"	"the"	"yale_review"	"say"	"we"	"in"	"new_england"	"have"	"long_since"	"segregate"	"our"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:few:00"	"and"	"minute"	","	"later"	",_and"	"and_minute"	"minute_later"	"car_,_and"	",_and_minute"	"and_minute_later"	"minute_later_he"	"NN"	"ε"	"CC"	"JJ"	"NN"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"taxi"	"take"	"him"	"back"	"to"	"the"	"bar"	"grill"	"where"	"he"	"had"	"leave"	"his"	"car"	"and"	"a_few"	"minute"	"later"	"he"	"find"	"a"	"parking_space"	"across"	"the"	"street"	"from"	"his"	"apartment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
