"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:41:00::"	"to"	"it"	"how"	"''"	"how_to"	"to_it"	"it_''"	"us_how_to"	"how_to_it"	"to_it_''"	"it_''_."	"PRP"	"WRB"	"TO"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._reama"	"who"	"retire"	"as"	"vice_president"	"of"	"the"	"american_screw_co."	"in"	"say"	"both"	"parties"	"in"	"the"	"last"	"election"	"tell"	"that"	"we"	"need"	"a"	"five"	"per_cent"	"growth"	"in"	"the"	"gross_national_product"	"neither"	"tell"	"us"	"how"	"to"	"achieve"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"and"	"do"	"maintain"	"do_be"	"be_and"	"and_maintain"	"to_do_be"	"do_be_and"	"be_and_maintain"	"and_maintain_a"	"TO"	"VB"	"VB"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"are"	"to"	"do"	"be"	"achieve"	"and"	"maintain"	"a"	"balance"	"between"	"medium"	"density"	"and"	"low_density"	"residential"	"areas"	"and"	"industrial"	"and"	"commercial"	"development"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"."	"emancipation"	"∅"	"emancipation_was"	"was_."	"._∅"	",_emancipation_was"	"emancipation_was_."	"was_._∅"	"._∅_∅"	"ε"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"movement"	"to"	"end"	"negro"	"slavery"	"begin"	"before"	"and"	"mount"	"after_that"	"until"	"as"	"a"	"result"	"of"	"the"	"civil_war"	"emancipation"	"was"	"achieve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"were"	"in"	"gains"	"the"	"gains_were"	"were_in"	"in_the"	"the_gains_were"	"gains_were_in"	"were_in_the"	"in_the_face"	"DT"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"there"	"is"	"the"	"note"	"the"	"gains"	"were"	"achieve"	"in"	"the"	"face"	"of"	"temporary"	"traffic"	"lags"	"late"	"in"	"and"	"early"	"in"	"as"	"a"	"result"	"of"	"business"	"recession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"this"	"conference"	"."	"conference_to"	"to_this"	"this_."	"geneva_conference_to"	"conference_to_this"	"to_this_."	"this_._∅"	"NNP"	"NN"	"TO"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"count_on"	"the"	"aid"	"of"	"the"	"countries"	"attend"	"the"	"geneva"	"conference"	"to"	"achieve"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"this"	"program"	"use"	"program_to"	"to_this"	"this_use"	"entire_program_to"	"program_to_this"	"to_this_use"	"this_use_the"	"JJ"	"NN"	"TO"	"VB"	"DT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"denverite"	"has"	"an"	"entire"	"program"	"to"	"achieve"	"this"	"use"	"the"	"facilities"	"of"	"the"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"immortality"	"thomas_jefferson"	"through"	"thomas_jefferson_,"	",_immortality"	"immortality_through"	",_thomas_jefferson_,"	"thomas_jefferson_,_immortality"	",_immortality_through"	"immortality_through_his"	"ε"	"NNP"	"ε"	"VB"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"political"	"opponent"	"and"	"friend"	"thomas_jefferson"	"achieve"	"immortality"	"through"	"his"	"authorship"	"of"	"the"	"declaration_of_independence"	"but"	"equally"	"notable"	"be"	"the"	"legal"	"and"	"constitutional"	"reforms"	"he"	"institute"	"in"	"his"	"native"	"virginia"	"his"	"role"	"as"	"father"	"of"	"our"	"territorial"	"system"	"and"	"his"	"acquisition"	"of"	"the"	"louisiana_territory"	"during"	"his"	"first"	"term"	"as"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"for"	"his"	"method"	"aim"	"method_for"	"for_his"	"his_aim"	"different_method_for"	"method_for_his"	"for_his_aim"	"his_aim_."	"JJ"	"NN"	"IN"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"he"	"be"	"also"	"concerned"	"with"	"free"	"dance"	"from"	"pedestrian"	"of"	"activity"	"merce_cunningham"	"has"	"select"	"a"	"very"	"different"	"method"	"for"	"achieve"	"his"	"aim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"toward"	"this"	"energy"	"one"	"energy_toward"	"toward_this"	"this_one"	"physical_energy_toward"	"energy_toward_this"	"toward_this_one"	"this_one_goal"	"JJ"	"NN"	"IN"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"did"	"not"	"pause"	"to"	"consider"	"what"	"she"	"would"	"do"	"if"	"her"	"should"	"fail"	"she"	"direct"	"all_of"	"her"	"mental"	"and"	"physical"	"energy"	"toward"	"achieve"	"this"	"one"	"goal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"by"	"can"	"marinate"	"can_be"	"be_by"	"by_marinate"	"flavor_can_be"	"can_be_by"	"be_by_marinate"	"by_marinate_the"	"NN"	"MD"	"VB"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"unusual"	"can"	"be"	"achieve"	"by"	"marinate"	"the"	"franks"	"in"	"french_dressing"	"or"	"a"	"mixture"	"of"	"honey"	"lemon_juice"	"and"	"brown_sugar"	"prior"	"to"	"the"	"picnic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
