"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:30:01::"	"basically"	"the"	"would"	"international"	"would_basically"	"basically_the"	"the_international"	"which_would_basically"	"would_basically_the"	"basically_the_international"	"the_international_financial"	"WDT"	"MD"	"RB"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"alfred_hayes"	"president"	"of"	"the"	"federal_reserve_bank"	"of"	"new_york"	"say"	"tuesday"	"there"	"be"	"present"	"need"	"for"	"far-reaching"	"reforms"	"which"	"would"	"basically"	"alter"	"the"	"international"	"financial"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"the"	","	"basic"	",_to"	"to_the"	"the_basic"	"years_,_to"	",_to_the"	"to_the_basic"	"the_basic_social"	"NNS"	"ε"	"TO"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"whole"	"program"	"must"	"be"	"conceive_of"	"as"	"an"	"effort"	"over"	"a"	"considerable"	"number"	"of"	"years"	"to"	"alter"	"the"	"basic"	"social"	"and"	"economic_conditions"	"in"	"the"	"less"	"developed"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"or"	"people"	"abolish"	"people_to"	"to_or"	"or_abolish"	"the_people_to"	"people_to_or"	"to_or_abolish"	"or_abolish_it"	"DT"	"NNS"	"TO"	"VB"	"CC"	"VB"	"PRP"	"the"	"appropriate"	"date"	"as"	"a"	"symbolical"	"reminder"	"of"	"the"	"american"	"article"	"of"	"faith"	"that"	"governments"	"are"	"institute"	"among"	"men"	"to"	"secure"	"to"	"them"	"certain"	"inalienable"	"rights"	"the"	"first"	"of_which"	"be"	"life"	"and"	"when"	"any"	"government"	"become"	"subversive"	"of_that"	"end"	"it"	"be"	"the"	"right"	"of"	"people"	"to"	"or"	"abolish"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"certainly"	"it"	"would"	","	"would_certainly"	"certainly_it"	"it_,"	"which_would_certainly"	"would_certainly_it"	"certainly_it_,"	"it_,_and"	"WDT"	"MD"	"RB"	"VB"	"PRP"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hang"	"the"	"responsible"	"officials"	"would"	"not"	"abolish"	"the"	"government"	"but"	"would"	"emphasize"	"accountability"	"for"	"the"	"lives"	"of"	"its"	"individual"	"citizens"	"which"	"would"	"certainly"	"alter"	"it"	"and"	"definitely"	"for"	"the"	"better"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"severely"	"."	"be"	"∅"	"be_severely"	"severely_."	"._∅"	"may_be_severely"	"be_severely_."	"severely_._∅"	"._∅_∅"	"MD"	"VB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"evident"	"contradiction"	"between"	"the"	"rosy"	"picture"	"of"	"russia"	"progress"	"paint_a_picture"	"by"	"the"	"communist_party"	"program"	"the"	"enormous"	"dangers"	"for"	"all"	"humanity"	"pose"	"premier_khrushchev"	"berlin"	"policy"	"has"	"already"	"to"	"speculation"	"abroad"	"that"	"the"	"program"	"may"	"be"	"severely"	"alter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"have"	"history"	"may"	"in"	"may_have"	"have_history"	"history_in"	"who_may_have"	"may_have_history"	"have_history_in"	"history_in_the"	"WP"	"MD"	"VB"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fourteen"	"years"	"be"	"the"	"maximum"	"penalty"	"now"	"by"	"the"	"new"	"five"	"who"	"may"	"have"	"alter"	"history"	"in"	"the"	"s"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"correspondingly"	";"	"directions"	"but"	"directions_correspondingly"	"correspondingly_;"	";_but"	"the_directions_correspondingly"	"directions_correspondingly_;"	"correspondingly_;_but"	";_but_in_this"	"DT"	"NNS"	"RB"	"VB"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"note"	"that"	"by"	"western"	"standards"	"this"	"plan"	"be"	"upside_down"	"as"	"it"	"put"	"north"	"at"	"bottom"	"and"	"south"	"at"	"the"	"top"	"with"	"the"	"directions"	"correspondingly"	"alter"	"but"	"in_this"	"respect"	"it"	"was"	"merely"	"follow"	"the"	"accepted"	"chinese"	"convention"	"for"	"all"	"maps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	"existing"	"construe"	"law"	"construe_to"	"to_existing"	"existing_law"	"be_construe_to"	"construe_to_existing"	"to_existing_law"	"existing_law_with"	"VB"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"shall"	"be"	"construe"	"to"	"alter"	"existing"	"law"	"with"	"respect"	"to"	"the"	"ownership"	"and"	"control"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"circumstance"	"case"	"∅"	"."	"∅_circumstance"	"circumstance_case"	"case_."	"∅_∅_circumstance"	"∅_circumstance_case"	"circumstance_case_."	"case_._∅"	"ε"	"ε"	"NN"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"alter"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"was"	"somewhat"	"research"	"when"	"research_was"	"was_somewhat"	"somewhat_when"	"psychical_research_was"	"research_was_somewhat"	"was_somewhat_when"	"somewhat_when_he"	"JJ"	"NN"	"VBD"	"VB"	"RB"	"WRB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"scorn"	"for"	"the"	"jargon"	"psychical"	"research"	"was"	"alter"	"somewhat"	"when"	"he"	"wonder"	"how"	"or"	"why"	"had"	"i"	"been"	"show"	"an"	"unreleased"	"roll"	"of"	"my"	"life"	"film"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
