"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"
"4:02:00::"	"``"	"i"	"∅"	"have"	"∅_``"	"``_i"	"i_have"	"∅_∅_``"	"∅_``_i"	"``_i_have"	"i_have_another"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"another"	"place"	"far"	"downtown"	"i"	"use"	"as"	"a"	"studio"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"he"	"∅"	"think"	"∅_∅"	"∅_he"	"he_think"	"∅_∅_∅"	"∅_∅_he"	"∅_he_think"	"he_think_person"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"think"	"person"	"might"	"be"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"sight"	"add"	"circular"	"another"	"circular_sight"	"sight_add"	"add_another"	"his_circular_sight"	"circular_sight_add"	"sight_add_another"	"add_another_."	"PRP$"	"JJ"	"NN"	"RB"	"VB"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take"	"a"	"lead"	"on"	"the"	"enemy"	"use"	"a"	"distance"	"five"	"of"	"the"	"radius"	"in"	"his"	"circular"	"sight"	"and_then"	"add"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"he"	"locker"	"hear"	"locker_,"	",_he"	"he_hear"	"his_locker_,"	"locker_,_he"	",_he_hear"	"he_hear_person"	"PRP$"	"NN"	"ε"	"RB"	"PRP"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"turn_away"	"and"	"his"	"locker"	"and_then"	"he"	"hear"	"person"	"say"	"you"	"yellow"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"absently"	"dismiss"	"frown"	"the"	"frown_absently"	"absently_dismiss"	"dismiss_the"	"still_frown_absently"	"frown_absently_dismiss"	"absently_dismiss_the"	"dismiss_the_matter"	"RB"	"VB"	"RB"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"watch"	"them"	"still"	"frown"	"absently"	"and_then"	"dismiss"	"the"	"matter"	"as"	"he"	"call_for"	"his"	"check"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	","	"∅"	"unexpectedly"	"∅_∅"	"∅_,"	",_unexpectedly"	"∅_∅_∅"	"∅_∅_,"	"∅_,_unexpectedly"	",_unexpectedly_,"	"ε"	"ε"	"ε"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unexpectedly"	"person"	"made"	"his"	"announcement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"weekend"	"as"	"weekend_,"	",_,"	",_as"	"on_weekend_,"	"weekend_,_,"	",_,_as"	",_as_the"	"IN"	"NN"	"ε"	"RB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"all"	"this"	"time"	"person"	"continue"	"paint"	"first"	"only"	"on"	"weekend"	"and_then"	"as"	"the"	"family_business"	"permit"	"for"	"longer"	"period"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"location"	"location"	"to"	"and"	"to_location"	"location_location"	"location_and"	"us_to_location"	"to_location_location"	"location_location_and"	"location_and_``"	"PRP"	"TO"	"NNP"	"RB"	"NNP"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"very"	"kindly"	"let"	"me"	"drive"	"through"	"sante_fe"	"to"	"a"	"road"	"which"	"she"	"say"	"lead"	"us"	"to"	"location"	"and_then"	"location"	"and"	"eventually"	"out"	"of"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	";"	"i"	"there"	"come_to"	"there_;"	";_i"	"i_come_to"	"of_there_;"	"there_;_i"	";_i_come_to"	"i_come_to_some"	"IN"	"RB"	"ε"	"RB"	"PRP"	"VB"	"DT"	"have"	"stand"	"there"	"and"	"die"	"there"	"if"	"leave"	"to"	"myself"	"but"	"person"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"to"	"hall"	"take_charge"	"hall_,"	",_to"	"to_take_charge"	"residential_hall_,"	"hall_,_to"	",_to_take_charge"	"to_take_charge_of"	"JJ"	"NN"	"ε"	"RB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"find"	"person"	"in"	"the"	"parlor"	"and"	"ask"	"her"	"to"	"sure"	"everything"	"be"	"in_order"	"in"	"the"	"residential"	"hall"	"and_then"	"to"	"take_charge"	"of"	"the"	"office"	"while"	"the"	"party"	"be"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
