"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"2:30:00::"	"difference_of_opinion"	"between"	"a"	"mr._martinelli"	"a_difference_of_opinion"	"difference_of_opinion_between"	"between_mr._martinelli"	"∅_a_difference_of_opinion"	"a_difference_of_opinion_between"	"difference_of_opinion_between_mr._martinelli"	"between_mr._martinelli_and"	"ε"	"DT"	"NN"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"difference_of_opinion"	"arise"	"between"	"mr._martinelli"	"and"	"john_p._bourcier"	"town"	"solicitor"	"over"	"the"	"exact"	"manner"	"in_which"	"the"	"vote"	"is"	"handle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"from"	","	"problems"	"your"	"problems_from"	"from_,"	",_your"	"orthodontic_problems_from"	"problems_from_,"	"from_,_your"	",_your_dentist"	"JJ"	"NNS"	"IN"	"VB"	"ε"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"help"	"orthodontic"	"problems"	"from"	"arise"	"your"	"dentist"	"can"	"do"	"these"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"not"	"from"	"did"	"an"	"did_not"	"not_from"	"from_an"	"approval_did_not"	"did_not_from"	"not_from_an"	"from_an_expectation"	"NN"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"did"	"not"	"arise"	"from"	"an"	"expectation"	"of"	"far-reaching"	"agreements"	"at"	"vienna"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"dream"	","	"a"	"at_least"	"a_dream"	"dream_,"	",_at_least"	"such_a_dream"	"a_dream_,"	"dream_,_at_least"	",_at_least_in_part"	"JJ"	"DT"	"NN"	"VB"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"dream"	"arise"	"at_least"	"in_part"	"from"	"the"	"protestant"	"heritage"	"of"	"the"	"united_states"	"and"	"build"	"into"	"the"	"foundations"	"of"	"the"	"nation"	"it"	"be"	"not"	"surprising"	"that"	"many"	"efforts"	"were"	"make"	"to"	"give"	"it"	"concrete"	"expression"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"which"	"from"	"mankind"	"the"	"mankind_which"	"which_from"	"from_the"	"of_mankind_which"	"mankind_which_from"	"which_from_the"	"from_the_kindred"	"IN"	"NN"	"WDT"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"should"	"recall"	"the"	"number"	"of"	"for"	"the"	"service"	"of"	"mankind"	"which"	"arise"	"from"	"the"	"kindred"	"evangelicalism"	"of"	"the_british"	"isles"	"and"	"the"	"pietism"	"of"	"the"	"continent"	"of"	"europe"	"among"	"them"	"prison"	"reform"	"anti-slavery"	"measures"	"legislation"	"for"	"the"	"alleviation"	"of"	"conditions"	"of"	"labour"	"the"	"inner_mission"	"and"	"the"	"red_cross"	"0"	"0"	"0"	"0"	
"2:30:00::"	"question"	":"	"the"	"∅"	"the_question"	"question_:"	":_∅"	"-_the_question"	"the_question_:"	"question_:_∅"	":_∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"with"	"the"	"months"	"move_on"	"and"	"the"	"immediate"	"confrontations"	"with"	"communists"	"show"	"no"	"gain"	"for"	"the"	"free_world"	"the"	"question"	"arise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"often"	","	"would"	"the"	"would_often"	"often_,"	",_the"	"that_would_often"	"would_often_,"	"often_,_the"	",_the_film"	"WDT"	"MD"	"RB"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"an"	"objective"	"viewer"	"might"	"well"	"conclude"	"this"	"be"	"not"	"a"	"situation"	"that"	"would"	"often"	"arise"	"the"	"film"	"extensive"	"discussion"	"of"	"the"	"problem"	"seem"	"at_best"	"superfluous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"they"	"from_time_to_time"	"as"	"in"	"as_they"	"they_from_time_to_time"	"from_time_to_time_in"	"problems_as_they"	"as_they_from_time_to_time"	"they_from_time_to_time_in"	"from_time_to_time_in_the"	"NNS"	"IN"	"PRP"	"VB"	"RB"	"IN"	"DT"	"continue"	"to"	"feel"	"that"	"florida"	"has"	"progress"	"in"	"a"	"sound"	"and"	"equitable"	"program"	"at"	"both"	"the"	"state"	"and"	"local"	"levels"	"in"	"its"	"efforts"	"to"	"review"	"and"	"assess"	"transition"	"problems"	"as"	"from_time_to_time"	"in"	"the"	"entire"	"spectrum"	"of"	"civil_rights"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"have"	"in_this"	"problems"	"sensitive"	"problems_have"	"have_in_this"	"in_this_sensitive"	"∅_problems_have"	"problems_have_in_this"	"have_in_this_sensitive"	"in_this_sensitive_field"	"ε"	"NNS"	"VBP"	"VB"	"RB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"arise"	"in_this"	"sensitive"	"field"	"but"	"have"	"been"	"handle"	"in"	"most"	"cases"	"with_understanding"	"and"	"restraint"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"question"	","	"the"	"on"	"the_question"	"question_,"	",_on"	"that_the_question"	"the_question_,"	"question_,_on"	",_on_whose"	"IN"	"DT"	"NN"	"VB"	"ε"	"IN"	"WP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even_so"	"it"	"add_up"	"to"	"impossible"	"except"	"that"	"the"	"question"	"arise"	"on"	"whose"	"side"	"would"	"the"	"mainland"	"chinese"	"army"	"fight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
