"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:37:01::"	"in_order_to"	"additional"	"∅"	"industry"	"∅_in_order_to"	"in_order_to_additional"	"additional_industry"	"∅_∅_in_order_to"	"∅_in_order_to_additional"	"in_order_to_additional_industry"	"additional_industry_that"	"ε"	"ε"	"RB"	"VB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attract"	"additional"	"industry"	"that"	"be"	"compatible"	"with"	"this"	"community"	"it"	"be"	"all"	"the"	"more"	"important"	"to"	"present"	"to"	"the"	"industrial"	"prospect"	"an"	"orderly"	"balance"	"in"	"the"	"tax"	"structure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"have"	"11"	"board_of_directors"	"candidates"	"board_of_directors_have"	"have_11"	"11_candidates"	"district_board_of_directors_have"	"board_of_directors_have_11"	"have_11_candidates"	"11_candidates_."	"NN"	"NN"	"VBP"	"VB"	"CD"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"on"	"the"	"district"	"board_of_directors"	"have"	"attract"	"candidates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"help"	"fairgoers"	"skies"	"."	"skies_help"	"help_fairgoers"	"fairgoers_."	"clear_skies_help"	"skies_help_fairgoers"	"help_fairgoers_."	"fairgoers_._∅"	"JJ"	"NNS"	"VB"	"VB"	"NNS"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attendance"	"continue"	"to"	"run"	"ahead"	"of"	"last"	"year"	"the"	"five-day"	"show"	"with"	"clear"	"skies"	"help"	"attract"	"fairgoers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"the"	"way"	"angel"	"way_to"	"to_the"	"the_angel"	"a_way_to"	"way_to_the"	"to_the_angel"	"the_angel_'s"	"DT"	"NN"	"TO"	"VB"	"DT"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"clear"	"that"	"langer"	"at_last"	"find"	"a"	"way"	"to"	"attract"	"the"	"angel"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"have"	"attention"	"would"	"be"	"would_have"	"have_attention"	"attention_be"	"which_would_have"	"would_have_attention"	"have_attention_be"	"attention_be_that"	"WDT"	"MD"	"VB"	"VB"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"which"	"would"	"have"	"attract"	"attention"	"be"	"that"	"two"	"wear"	"the"	"uniform"	"of"	"prison_guards"	"three"	"the"	"striped"	"suits"	"of"	"convicts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"also"	"all"	"lights"	"the"	"lights_also"	"also_all"	"all_the"	"but_lights_also"	"lights_also_all"	"also_all_the"	"all_the_insect"	"CC"	"NNS"	"RB"	"VB"	"PDT"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"may"	"be"	"true"	"that"	"pool"	"lighting"	"an"	"evening"	"scene"	"but"	"lights"	"also"	"attract"	"all"	"the"	"insect"	"life"	"for"	"miles"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"to"	"the"	"aim"	"financial"	"aim_to"	"to_the"	"the_financial"	"policies_aim_to"	"aim_to_the"	"to_the_financial"	"the_financial_and"	"NNS"	"VB"	"TO"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"not_only"	"development"	"programing"	"but"	"also"	"establish"	"tax_policies"	"design"	"to"	"raise"	"equitably"	"resources"	"for"	"investment"	"and"	"monetary"	"policies"	"design"	"to"	"prevent"	"serious"	"inflation"	"and"	"regulatory"	"policies"	"aim"	"to"	"attract"	"the"	"financial"	"and"	"managerial"	"resources"	"of"	"foreign"	"investment"	"and"	"to"	"prevent"	"excessive"	"luxury"	"consumption"	"by"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"new"	"effort"	"industry"	"effort_to"	"to_new"	"new_industry"	"collective_effort_to"	"effort_to_new"	"to_new_industry"	"new_industry_."	"JJ"	"NN"	"TO"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gov._dalton"	"new"	"commerce"	"and"	"industry"	"commission"	"is"	"move"	"to"	"a"	"nine-state"	"regional"	"group"	"in"	"a"	"collective"	"effort"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"in_order_to"	"new"	"∅"	"industries"	"∅_in_order_to"	"in_order_to_new"	"new_industries"	"∅_∅_in_order_to"	"∅_in_order_to_new"	"in_order_to_new_industries"	"new_industries_,"	"ε"	"ε"	"RB"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attract"	"new"	"industries"	"states"	"or"	"more"	"are"	"issue"	"tax"	"free"	"bonds"	"to"	"build"	"government"	"owned"	"plants"	"which"	"are"	"lease"	"to"	"private"	"enterprise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:01::"	"to"	"new"	"desire"	"industry"	"desire_to"	"to_new"	"new_industry"	"their_desire_to"	"desire_to_new"	"to_new_industry"	"new_industry_."	"PRP$"	"NN"	"TO"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"this"	"trend"	"toward"	"area"	"vocational_school"	"has"	"be"	"related"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
