"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"1:15:00::"	"from"	","	"officer"	"sing"	"officer_from"	"from_,"	",_sing"	"jewish_officer_from"	"officer_from_,"	"from_,_sing"	",_sing_tearfully"	"JJ"	"NN"	"IN"	"NN"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"there"	"be"	"an"	"occasional"	"good-natured"	"about"	"person"	"the"	"jewish"	"officer"	"from"	"chicago"	"sing"	"tearfully"	"about"	"the"	"old"	"sod"	"no_one"	"really"	"think"	"it"	"be"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"."	"group"	"∅"	"group_in"	"in_."	"._∅"	"the_group_in"	"group_in_."	"in_._∅"	"._∅_∅"	"DT"	"NNP"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"excellent"	"example"	"of"	"a"	"successful"	"location"	"a"	"new"	"vocational"	"high_school"	"be"	"the"	"group"	"in"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	";"	"location"	"and_others"	"location_of"	"of_;"	";_and_others"	",_location_of"	"location_of_;"	"of_;_and_others"	";_and_others_in"	"ε"	"NNP"	"IN"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"year"	"begin"	"in"	"person"	"has"	"been"	"award"	"seventeen"	"major"	"prize"	"include"	"two"	"gold"	"medal"	"two"	"ranger_fund_purchase_awards"	"the"	"joseph_pennell_memorial_medal"	"two"	"american_watercolor_society_prizes"	"the"	"blair_purchase_prize"	"for"	"location"	"of"	"chicago"	"and_others"	"in"	"location"	"new_york"	"location"	"new_haven"	"location"	"location"	"and"	"most_recently"	"the"	"prize"	"for"	"a"	"watercolor"	"at"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"of"	"style"	"hour"	"jazz"	"hour_of"	"of_style"	"style_jazz"	"an_hour_of"	"hour_of_style"	"of_style_jazz"	"style_jazz_in"	"DT"	"NN"	"IN"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"an"	"assumption"	"that"	"an"	"hour"	"of"	"chicago"	"style"	"jazz"	"in"	"prime_time"	"evening"	"time"	"for_example"	"could"	"not"	"be"	"justify"	"without"	"the"	"trimming"	"of"	"a"	"portentous"	"documentary"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"``"	"and"	"∅"	"all_that_jazz"	"∅_``"	"``_and"	"and_all_that_jazz"	"∅_∅_``"	"∅_``_and"	"``_and_all_that_jazz"	"and_all_that_jazz_''"	"ε"	"ε"	"ε"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"all_that_jazz"	"could"	"not"	"be"	"fault"	"on"	"the"	"choice"	"of"	"artist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"style"	"of"	"."	"of_the"	"the_style"	"style_."	"sample_of_the"	"of_the_style"	"the_style_."	"style_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"and"	"cleverly"	"arrange"	"such"	"memorabilia"	"unfortunately"	"amount"	"to"	"more"	"of"	"an"	"interruption"	"than"	"an"	"auxiliary"	"to"	"the"	"evening"	"main"	"business"	"which"	"consider"	"the"	"talent"	"at_hand"	"should"	"probably"	"have"	"be"	"the"	"gathering"	"fresh"	"sample"	"of"	"the"	"style"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"``"	"and"	"∅"	"all"	"∅_``"	"``_and"	"and_all"	"∅_∅_``"	"∅_``_and"	"``_and_all"	"and_all_that"	"ε"	"ε"	"ε"	"NN"	"CC"	"DT"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"all"	"that"	"jazz"	"may"	"have"	"wind_up"	"satisfying"	"neither"	"the"	"confirmed"	"fan"	"nor"	"the"	"inquisitive"	"newcomer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"absurdity"	"miss"	"booking"	"see"	"booking_absurdity"	"absurdity_miss"	"miss_see"	"of_booking_absurdity"	"booking_absurdity_miss"	"absurdity_miss_see"	"miss_see_the"	"IN"	"NN"	"NN"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"how"	"by"	"series"	"of"	"booking"	"absurdity"	"chicago"	"miss"	"see"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"a"	"engagement"	"minus"	","	"minus_a"	"a_engagement"	"engagement_,"	",_minus_a"	"minus_a_engagement"	"a_engagement_,"	"engagement_,_a"	"ε"	"CC"	"DT"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"group"	"will"	"fly"	"to"	"russia"	"minus"	"a"	"chicago"	"engagement"	"a"	"serious"	"loss"	"for"	"dance"	"fan"	"and"	"for"	"the"	"frustrated"	"booker"	"cancellation"	"of"	"one"	"of"	"the"	"rich"	"booking"	"in"	"the"	"country"	"0"	"0"	"0"	
"1:15:00::"	";"	","	"massachuset"	"illinois"	"massachuset_;"	";_,"	",_illinois"	",_massachuset_;"	"massachuset_;_,"	";_,_illinois"	",_illinois_;"	"ε"	"NN"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"group"	"in"	"atlanta"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"washington"	"0"	
