"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"3:00:01::"	"in"	"climate"	"shelter"	"."	"shelter_in"	"in_climate"	"climate_."	"for_shelter_in"	"shelter_in_climate"	"in_climate_."	"climate_._∅"	"IN"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"portable"	"electric_heater"	"advisable"	"for"	"shelter"	"in"	"cold"	"climate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	","	"was"	"windy"	"was_a"	"a_,"	",_windy"	"it_was_a"	"was_a_,"	"a_,_windy"	",_windy_day"	"PRP"	"VB"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"cold"	"windy"	"day"	"the"	"day"	"after"	"person"	"death"	"but"	"person"	"pay"	"no"	"attention"	"to"	"the"	"blustery"	"october"	"wind"	
"3:00:02::"	"a"	"annoyance"	"only"	"with"	"only_a"	"a_annoyance"	"annoyance_with"	"feel_only_a"	"only_a_annoyance"	"a_annoyance_with"	"annoyance_with_her"	"VB"	"RB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"woman"	"often"	"become"	"submerge"	"in"	"what"	"feel"	"to"	"me"	"like"	"a"	"somehow"	"phony"	"experience"	"of"	"pseudo"	"emotion"	"during"	"which"	"despite"	"her"	"wracking"	"sob"	"and"	"streaming"	"cheek"	"i"	"feel"	"only"	"a"	"annoyance"	"with"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"feel"	"and"	"she"	"hot"	"she_feel"	"feel_and"	"and_hot"	"∅_she_feel"	"she_feel_and"	"feel_and_hot"	"and_hot_,"	"ε"	"PRP"	"VB"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feel"	"cold"	"and"	"hot"	"sticky"	"and"	"chilly"	"at_the_same_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"be"	"."	"eye"	"∅"	"eye_be"	"be_."	"._∅"	"his_eye_be"	"eye_be_."	"be_._∅"	"._∅_∅"	"PRP$"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"continue"	"to"	"smile"	"his"	"eye"	"be"	"cold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"nice"	"coca_cola"	"a"	","	"a_nice"	"nice_coca_cola"	"coca_cola_,"	"all_a_nice"	"a_nice_coca_cola"	"nice_coca_cola_,"	"coca_cola_,_ma'am"	"DT"	"NNP"	"JJ"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"ejaculate"	"howsabout"	"my"	"us"	"all"	"a"	"nice"	"cold"	"coca_cola"	"ma'am"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"quite"	"."	"be"	"∅"	"be_quite"	"quite_."	"._∅"	"he_be_quite"	"be_quite_."	"quite_._∅"	"._∅_∅"	"PRP"	"VB"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"tell"	"him"	"who"	"i"	"and"	"he"	"be"	"quite"	"cold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"all_right"	"he"	"."	"he_be"	"be_all_right"	"all_right_."	"∅_he_be"	"he_be_all_right"	"be_all_right_."	"all_right_._∅"	"ε"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"cold"	"all_right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	"all_right"	"he"	","	"he_be"	"be_all_right"	"all_right_,"	"∅_he_be"	"he_be_all_right"	"be_all_right_,"	"all_right_,_and"	"ε"	"PRP"	"VB"	"JJ"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"cold"	"all_right"	"and"	"wet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"and"	"compress"	"hot"	"to"	"hot_and"	"and_compress"	"compress_to"	":_hot_and"	"hot_and_compress"	"and_compress_to"	"compress_to_increase"	"ε"	"JJ"	"CC"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"prescription"	"and"	"cold"	"compress"	"to"	"increase"	"her"	"absorption"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
