"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"
"1:14:00::"	"improve"	"education"	"toward"	":"	"toward_improve"	"improve_education"	"education_:"	"attitude_toward_improve"	"toward_improve_education"	"improve_education_:"	"education_:_that_is"	"NN"	"IN"	"VB"	"NN"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"further"	"possibility"	"suggest"	"by"	"the"	"example"	"of"	"the"	"g._i."	"bill"	"and"	"also"	"some"	"recent"	"trend"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	"0"	"0"	"0"	
"1:14:00::"	","	"and"	"secondary_school"	"university"	"secondary_school_,"	",_and"	"and_university"	"of_secondary_school_,"	"secondary_school_,_and"	",_and_university"	"and_university_have"	"IN"	"NN"	"ε"	"NN"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"a"	"vigorous"	"campaign"	"of"	"interpretation"	"and"	"leadership"	"development"	"by"	"oep"	"director"	"person"	"thousand"	"of"	"secondary_school"	"college"	"and"	"university"	"have"	"shooting"	"and"	"hunting"	"education"	"in"	"their"	"physical_education"	"and"	"recreation"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"largely"	"oriented"	"be"	"."	"be_largely"	"largely_oriented"	"oriented_."	"it_be_largely"	"be_largely_oriented"	"largely_oriented_."	"oriented_._∅"	"PRP"	"VB"	"RB"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"significant"	"thing"	"about"	"jewish"	"culture"	"in"	"the"	"old"	"years"	"be"	"that"	"it"	"be"	"largely"	"college"	"oriented"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"attend"	"be"	"who"	"almost"	"who_attend"	"attend_be"	"be_almost"	"girl_who_attend"	"who_attend_be"	"attend_be_almost"	"be_almost_as"	"NN"	"WP"	"VB"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"percentage"	"of"	"girl"	"who"	"attend"	"college"	"be"	"almost"	"as"	"high"	"as"	"that"	"of"	"boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"non"	"group"	"the"	"tend"	"the_non"	"non_group"	"group_tend"	",_the_non"	"the_non_group"	"non_group_tend"	"group_tend_to"	"ε"	"DT"	"JJ"	"NN"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"upper"	"teen"	"life"	"the"	"non"	"college"	"group"	"tend"	"to"	"have"	"a"	"sense"	"of"	"marginality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"be"	"teenager"	"that"	"teenager_in"	"in_be"	"be_that"	"jewish_teenager_in"	"teenager_in_be"	"in_be_that"	"be_that_a"	"JJ"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"reason"	"for"	"high"	"percentage"	"of"	"jewish"	"teenager"	"in"	"college"	"be"	"that"	"a"	"great"	"many"	"urban"	"jew"	"are"	"enable"	"to"	"attend"	"local"	"college"	"at"	"modest"	"cost"	
"1:14:00::"	"local"	"at"	"attend"	"modest"	"attend_local"	"local_at"	"at_modest"	"to_attend_local"	"attend_local_at"	"local_at_modest"	"at_modest_cost"	"TO"	"VB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"the"	"reason"	"for"	"the"	"high"	"percentage"	"of"	"jewish"	"teenager"	"in"	"college"	"be"	"that"	"a"	"great"	"many"	"urban"	"jew"	"are"	"enable"	"to"	"attend"	"local"	"at"	"modest"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	","	"be"	"student"	"at_once"	"student_,"	",_be"	"be_at_once"	"group_student_,"	"student_,_be"	",_be_at_once"	"be_at_once_a"	"NNP"	"NN"	"ε"	"NN"	"VB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"most"	"student"	"college"	"be"	"at_once"	"a"	"perpetuation"	"of"	"their"	"ethnic"	"attachment"	"and"	"a"	"breaking_away"	"from"	"the"	"cage"	"of"	"neighborhood"	"and"	"family"	"0"	"0"	"0"	
"1:14:00::"	"∅"	"teacher"	"∅"	"in"	"∅_∅"	"∅_teacher"	"teacher_in"	"∅_∅_∅"	"∅_∅_teacher"	"∅_teacher_in"	"teacher_in_texas"	"ε"	"ε"	"ε"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"teacher"	"in"	"texas"	"are"	"not"	"require"	"to"	"have"	"the"	"education"	"course"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"his"	"career"	"during"	","	"during_his"	"his_career"	"career_,"	"∅_during_his"	"during_his_career"	"his_career_,"	"career_,_person"	"ε"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"college"	"career"	"person"	"be"	"captain"	"of"	"his"	"basketball_team"	"and"	"be"	"a"	"football"	"letterman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"midwestern"	"circulate"	"a"	"a"	"a_midwestern"	"midwestern_circulate"	"circulate_a"	"ago_a_midwestern"	"a_midwestern_circulate"	"midwestern_circulate_a"	"circulate_a_request"	"RB"	"DT"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"a_few"	"ago"	"a"	"midwestern"	"college"	"circulate"	"a"	"request"	"for"	"a"	"teacher"	"of"	"interior_design"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
