"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"1:15:00::"	"any"	"town"	"of"	"be"	"of_any"	"any_town"	"town_be"	"street_of_any"	"of_any_town"	"any_town_be"	"town_be_like"	"NN"	"IN"	"DT"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"any"	"county"	"town"	"be"	"like"	"this"	"on"	"any"	"sunshiny"	"afternoon"	"in"	"summer"	"they"	"be"	"like"	"this"	"fifty"	"odd"	"year"	"ago"	"and"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"coroner"	","	"estimate"	",_the"	"the_coroner"	"coroner_estimate"	"note_,_the"	",_the_coroner"	"the_coroner_estimate"	"coroner_estimate_that"	"NN"	"ε"	"DT"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"inquest"	"was"	"hold"	"and"	"after"	"a"	"good_deal"	"testimony"	"about"	"the"	"anonymous"	"note"	"the"	"county"	"coroner"	"estimate"	"that"	"the"	"shooting"	"had"	"been"	"do"	"from"	"a"	"distance"	"of"	"yard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"location"	","	"and"	"man"	"and_location"	"location_,"	",_man"	"location_and_location"	"and_location_,"	"location_,_man"	",_man_were"	"NNP"	"CC"	"NNP"	"NN"	"ε"	"NN"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"through"	"and"	"location"	"county"	"man"	"were"	"do"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"largest"	"."	"four"	"∅"	"four_largest"	"largest_."	"._∅"	"the_four_largest"	"four_largest_."	"largest_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"senator"	"unanimously"	"approve"	"thursday"	"the"	"bill"	"of"	"person"	"of"	"dallas"	"authorize"	"of"	"day_school"	"for"	"the"	"deaf"	"in"	"dallas"	"and"	"the"	"four"	"largest"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"of"	"deaf"	"300000"	"deaf_in"	"in_of"	"of_300000"	"the_deaf_in"	"deaf_in_of"	"in_of_300000"	"of_300000_or"	"DT"	"NN"	"IN"	"NN"	"IN"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"authorize"	"the"	"group"	"to"	"countywide"	"day_school"	"for"	"the"	"deaf"	"in"	"county"	"of"	"or"	"more"	"population"	"require"	"deaf"	"child"	"between"	"and"	"year"	"of_age"	"to"	"attend"	"the"	"day_school"	"permit"	"older"	"ones"	"to"	"attend"	"the"	"residential"	"location"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"five"	"of"	"the"	"dallas"	"the_five"	"five_of"	"of_dallas"	"in_the_five"	"the_five_of"	"five_of_dallas"	"of_dallas_,"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"operating_budget"	"for"	"the"	"in"	"the"	"five"	"county"	"of"	"dallas"	"location"	"location"	"location"	"and"	"location"	"would"	"be"	"which"	"would"	"be"	"a"	"saving"	"of"	"yearly"	"after"	"the"	"first"	"year"	"capital"	"outlay"	"of"	"was"	"absorb"	"person"	"tell"	"the"	"senate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"location"	"by"	"in"	"a"	"in_location"	"location_by"	"by_a"	"program_in_location"	"in_location_by"	"location_by_a"	"by_a_new_york_city"	"NN"	"IN"	"NNP"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"report"	"culminate"	"a"	"year"	"long"	"of"	"the"	"group"	"program"	"in"	"location"	"county"	"by"	"a"	"new_york_city"	"welfare"	"consulting_firm"	"list"	"long-range"	"recommendation"	"design"	"to"	"reduce"	"the"	"soaring"	"group"	"case_load"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"be"	"in"	"4.4"	"in_the"	"the_be"	"be_4.4"	"recipient_in_the"	"in_the_be"	"the_be_4.4"	"be_4.4_million"	"NN"	"IN"	"DT"	"NN"	"VB"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"monthly"	"cost"	"of"	"group"	"more"	"than"	"recipient"	"in"	"the"	"county"	"be"	"million"	"dollar"	"say"	"person"	"president"	"of"	"group"	"committee"	"chairman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"in"	"all"	"the"	"all_the"	"the_in"	"in_the"	"of_all_the"	"all_the_in"	"the_in_the"	"in_the_state"	"IN"	"JJ"	"DT"	"NN"	"IN"	"DT"	"NN"	"this"	"be"	"one"	"of"	"the"	"major"	"item"	"in"	"the"	"location"	"general"	"assistance"	"program"	"the"	"jury"	"say"	"but"	"the"	"group"	"has"	"seen_fit"	"to"	"distribute"	"these"	"fund"	"through"	"the"	"welfare"	"department"	"of"	"all"	"the"	"in"	"the"	"state"	"with"	"the"	"exception"	"of"	"location"	"which"	"receive"	"none"	"of_this"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"populous"	"''"	"less"	"."	"less_populous"	"populous_''"	"''_."	"our_less_populous"	"less_populous_''"	"populous_''_."	"''_._∅"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"juror"	"say"	"they"	"realize"	"a"	"proportionate"	"distribution"	"of"	"fund"	"might"	"disable"	"this"	"program"	"in"	"our"	"less"	"populous"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
