"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:41:00::"	"was"	"by"	"schools"	"district"	"schools_was"	"was_by"	"by_district"	"student_schools_was"	"schools_was_by"	"was_by_district"	"by_district_voters"	"NN"	"NNS"	"VBD"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"bond"	"issue"	"which"	"would"	"have"	"provide"	"some"	"million"	"for"	"of"	"the"	"two"	"student"	"schools"	"was"	"defeat"	"by"	"district"	"voters"	"in"	"january"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"was"	"''"	"he"	","	"he_was"	"was_''"	"''_,"	"in_which_he_was"	"he_was_''"	"was_''_,"	"''_,_he"	"RB"	"PRP"	"VBD"	"VB"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"first"	"time"	"in"	"years"	"that"	"a"	"candidate"	"for"	"presidency"	"announce"	"the"	"result"	"of"	"an"	"election"	"in_which"	"he"	"was"	"defeat"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"the"	"suited"	"red"	"suited_to"	"to_the"	"the_red"	"best_suited_to"	"suited_to_the"	"to_the_red"	"the_red_onslaught"	"JJS"	"JJ"	"TO"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"their"	"national_leader"	"robert_bolivar_depugh"	"of"	"norborne"	"mo."	"say"	"the"	"minutemen"	"that"	"guerrilla"	"tactics"	"be"	"best"	"suited"	"to"	"defeat"	"the"	"red"	"onslaught"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"were"	","	"we"	"34"	"we_were"	"were_,"	",_34"	"where_we_were"	"we_were_,"	"were_,_34"	",_34_to"	"WRB"	"PRP"	"VBD"	"VB"	"ε"	"CD"	"TO"	"mr._case"	"to"	"stop"	"by"	"to"	"say"	"hello"	"if"	"he"	"ever"	"visit"	"the"	"academy"	"and_then"	"add"	"that"	"he"	"be"	"on"	"the"	"managerial"	"staff"	"of"	"the"	"freshman"	"football_team"	"we"	"have"	"just"	"return"	"from"	"roswell"	"n._m."	"we"	"were"	"to"	"the"	"young_man"	"note"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"of"	"germany"	"obsession"	"."	"obsession_of"	"of_germany"	"germany_."	"the_obsession_of"	"obsession_of_germany"	"of_germany_."	"germany_._∅"	"DT"	"NN"	"IN"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"kennan"	"show"	"the"	"judgment"	"of"	"the"	"allied"	"governments"	"about"	"was"	"happen"	"in"	"russia"	"was"	"warp"	"by"	"the"	"obsession"	"of"	"defeat"	"germany"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"in"	"``"	"∅"	"louis_capet"	"∅_in"	"in_``"	"``_louis_capet"	"∅_∅_in"	"∅_in_``"	"in_``_louis_capet"	"``_louis_capet_''"	"ε"	"ε"	"IN"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"defeat"	"louis_capet"	"john_tower"	"victory"	"in"	"texas"	"signal"	"once_again"	"the"	"end"	"of"	"the"	"divine"	"right"	"of"	"liberalism"	"0"	"0"	"0"	"0"	"0"	
"1:12:00::"	"of"	"."	"despondency"	"∅"	"despondency_of"	"of_."	"._∅"	"the_despondency_of"	"despondency_of_."	"of_._∅"	"._∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"grip"	"the"	"wheel"	"to"	"fight"	"the"	"despondency"	"of"	"defeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"prior"	"of"	"the"	"world"	"the_prior"	"prior_of"	"of_world"	"without_the_prior"	"the_prior_of"	"prior_of_world"	"of_world_communism"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"condition"	"be"	"unobtainable"	"be"	"not"	"even"	"approachable"	"in"	"qualified"	"sense"	"i"	"have"	"indicate"	"without"	"the"	"prior"	"defeat"	"of"	"world"	"communism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"-"	"communism"	"do"	"-"	"do_-"	"-_communism"	"communism_-"	"to_do_-"	"do_-_communism"	"-_communism_-"	"communism_-_and"	"TO"	"VB"	"ε"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"much"	"having"	"been"	"say"	"the"	"question"	"remain"	"whether"	"we"	"the"	"resource"	"for"	"the"	"job"	"we"	"have"	"to"	"do"	"defeat"	"communism"	"and"	"if"	"so"	"how"	"those"	"resource"	"ought"	"to"	"be"	"use"	
"1:11:00::"	"nine"	"and"	"after"	"a"	"after_nine"	"nine_and"	"and_a"	"group_after_nine"	"after_nine_and"	"nine_and_a"	"and_a_tie"	"NNP"	"IN"	"JJ"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"victory"	"be"	"the"	"first"	"of"	"season"	"for"	"the"	"group"	"after"	"nine"	"defeat"	"and"	"a"	"tie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"who"	"person"	","	","	",_who"	"who_person"	"person_,"	"teacher_,_who"	",_who_person"	"who_person_,"	"person_,_a"	"NN"	"ε"	"WP"	"VB"	"NNP"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new"	"school_superintendent"	"be"	"person"	"veteran"	"agriculture"	"teacher"	"who"	"defeat"	"person"	"a"	"school_principal"	"and"	"chairman"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
