"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:15:00::"	"local"	"must"	"or"	"pay"	"or_local"	"local_must"	"must_pay"	"state_or_local"	"or_local_must"	"local_must_pay"	"must_pay_at_least"	"NN"	"CC"	"JJ"	"NN"	"MD"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"federal"	"assistance"	"is"	"limit"	"to"	"half"	"of"	"total"	"expenditure"	"and"	"the"	"state"	"or"	"local"	"district"	"must"	"pay"	"at_least"	"half"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"that"	"had"	"from"	"be"	"from_that"	"that_had"	"had_be"	"profits_from_that"	"from_that_had"	"that_had_be"	"had_be_$"	"NN"	"VB"	"IN"	"NN"	"VBD"	"VB"	"ε"	"a"	"diplomatic"	"gesture"	"of"	"amity"	"and"	"in"	"payment"	"for"	"the"	"loan"	"of"	"gunman"	"in"	"the"	"april"	"election"	"person"	"had"	"give"	"person"	"a"	"slice"	"of"	"location"	"the"	"profits"	"from"	"that"	"had"	"be"	"a"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	","	"at"	"region"	"at_the"	"the_,"	",_region"	"whether_at_the"	"at_the_,"	"the_,_region"	",_region_or"	"IN"	"IN"	"DT"	"NN"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"growing"	"complexity"	"of"	"market"	"and"	"intensity"	"competition"	"sale"	"management"	"whether"	"at"	"the"	"district"	"region"	"or"	"headquarters"	"level"	"be"	"a"	"tough"	"job"	"today"	"and"	"it"	"will"	"be"	"tough"	"in_the"	"future"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"17th"	"of"	"the"	"new_york"	"the_17th"	"17th_of"	"of_new_york"	"of_the_17th"	"the_17th_of"	"17th_of_new_york"	"of_new_york_,"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"people"	"the"	"district"	"of"	"new_york"	"and"	"i"	"as"	"their"	"representative"	"in"	"congress"	"take_pride"	"great"	"pride"	"in"	"the"	"group"	"as"	"one"	"of"	"the"	"great"	"and"	"authoritative"	"newspaper"	"of"	"the"	"world"	
"1:15:00::"	"school"	"one"	"a_few"	"find"	"a_few_school"	"school_one"	"one_find"	"in_a_few_school"	"a_few_school_one"	"school_one_find"	"one_find_a"	"IN"	"JJ"	"NN"	"NN"	"CD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"school"	"district"	"one"	"find"	"a"	"link"	"between"	"school"	"and"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"director"	"reach"	"on"	"reach_the"	"the_director"	"director_on"	"to_reach_the"	"reach_the_director"	"the_director_on"	"director_on_or"	"TO"	"VB"	"DT"	"NN"	"NN"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"mail"	"a"	"return"	"or"	"tax"	"payment"	"you"	"must"	"it"	"in"	"the"	"mail"	"in"	"ample"	"time"	"to"	"reach"	"the"	"district"	"director"	"on"	"or"	"before"	"the"	"due_date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"in"	"for"	"which"	"for_the"	"the_in"	"in_which"	"person_for_the"	"for_the_in"	"the_in_which"	"in_which_you"	"NNP"	"IN"	"DT"	"NN"	"RB"	"RB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"send"	"your"	"return"	"the"	"person"	"for"	"the"	"district"	"in"	"which"	"you"	"have"	"your"	"legal"	"residence"	"or"	"principal"	"place_of_business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	","	"in"	"sir"	"in_the"	"the_,"	",_sir"	"out_in_the"	"in_the_,"	"the_,_sir"	",_sir_''"	"RB"	"VB"	"DT"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"in"	"the"	"district"	"sir"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"southeastern"	"of"	"the"	"the"	"the_southeastern"	"southeastern_of"	"of_the"	"lie_in_the_southeastern"	"the_southeastern_of"	"southeastern_of_the"	"of_the_greek"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"focus"	"of"	"novelty"	"in"	"world"	"now"	"lie_in"	"the"	"southeastern"	"district"	"of"	"the"	"greek"	"mainland"	"and"	"by"	"virtually"	"the"	"entire"	"aegean"	"always"	"except"	"its"	"northern"	"shore"	"had"	"accept"	"the"	"geometric"	"style"	"of"	"pottery"	
"1:15:00::"	"location"	"."	"the"	"∅"	"the_location"	"location_."	"._∅"	"in_the_location"	"the_location_."	"location_._∅"	"._∅_∅"	"IN"	"DT"	"NNP"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"dissent"	"senator"	"pass"	"a"	"bill"	"by"	"person"	"of"	"location"	"authorize"	"establishment"	"in"	"the"	"future"	"a"	"school"	"for"	"the"	"mentally_retarded"	"in"	"the"	"location"	"district"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
