"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:30:00::"	"call_for"	"the"	"president"	"present"	"president_call_for"	"call_for_the"	"the_present"	"the_president_call_for"	"president_call_for_the"	"call_for_the_present"	"the_present_10"	"DT"	"NNP"	"VB"	"VB"	"DT"	"JJ"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"area"	"of"	"community"	"health"	"the"	"president"	"call_for"	"double"	"the"	"present"	"million"	"dollar"	"a"	"year"	"federal"	"grants"	"for"	"nursing_home"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"more_than"	"since"	"have"	"1948"	"have_more_than"	"more_than_since"	"since_1948"	"arrests_have_more_than"	"have_more_than_since"	"more_than_since_1948"	"since_1948_,"	"NNS"	"VBP"	"RB"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"sense"	"of"	"urgency"	"in_this"	"matter"	"stem"	"from"	"fact"	"that"	"court"	"cases"	"ond"	"juvenile"	"arrests"	"have"	"more_than"	"double"	"since"	"each_year"	"show"	"an"	"increase"	"in"	"offenders"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"since"	"that"	"1950"	"that_has"	"has_since"	"since_1950"	"figure_that_has"	"that_has_since"	"has_since_1950"	"since_1950_."	"NN"	"WDT"	"VBZ"	"VB"	"IN"	"CD"	"ε"	"in"	"nassau_county"	"for_example"	"the"	"heavily"	"settled"	"long_island"	"suburb"	"of"	"new_york_city"	"the"	"system"	"is"	"credit"	"by"	"the"	"state"	"with"	"serve"	"one"	"million"	"persons"	"a"	"figure"	"that"	"double"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"been"	"."	"had"	"∅"	"had_been"	"been_."	"._∅"	"rate_had_been"	"had_been_."	"been_._∅"	"._∅_∅"	"NN"	"VBD"	"VBN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"month"	"in"	"ghana"	"an"	"american"	"missionary"	"discover"	"when"	"came_to"	"pay"	"his"	"hotel_bill"	"that"	"the"	"usual"	"rate"	"had"	"been"	"double"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"for"	"the"	"blueprints"	"cdc"	"blueprints_for"	"for_the"	"the_cdc"	"∅_blueprints_for"	"blueprints_for_the"	"for_the_cdc"	"the_cdc_'s"	"ε"	"NN"	"IN"	"VB"	"DT"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"double"	"the"	"cdc"	"present"	"enrollment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:multiple:00"	"a"	"wall"	"for"	"shelter"	"for_a"	"a_wall"	"wall_shelter"	"material_for_a"	"for_a_wall"	"a_wall_shelter"	"wall_shelter_would"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"a"	"double"	"wall"	"shelter"	"would"	"cost"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:03:multiple:00"	"the"	"wall"	"for"	"shelter"	"for_the"	"the_wall"	"wall_shelter"	"essential_for_the"	"for_the_wall"	"the_wall_shelter"	"wall_shelter_and"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"blower"	"essential"	"for"	"the"	"double"	"wall"	"shelter"	"and"	"for"	"the"	"underground"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	","	"include"	"person"	"include_a"	"a_,"	",_person"	"trip_include_a"	"include_a_,"	"a_,_person"	",_person_also"	"NN"	"VB"	"DT"	"NN"	"ε"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"have"	"a"	"big"	"night"	"at"	"with"	"four"	"hit"	"in"	"five"	"trip"	"include"	"a"	"double"	"person"	"also"	"be"	"for"	"with"	"two"	"double"	"and"	"person"	"have"	"a"	"home_run"	"and"	"a"	"triple"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"two"	"and"	"with"	"person"	"with_two"	"two_and"	"and_person"	"5_with_two"	"with_two_and"	"two_and_person"	"and_person_have"	"CD"	"IN"	"JJ"	"NN"	"CC"	"NNP"	"VB"	"0"	"0"	"person"	"also"	"have"	"a"	"big"	"night"	"at"	"bat"	"with"	"four"	"hit"	"in"	"five"	"trip"	"include"	"a"	"double"	"person"	"also"	"be"	"for"	"with"	"two"	"and"	"person"	"have"	"a"	"home_run"	"and"	"a"	"triple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"two"	"against"	"his"	"lefty"	"his_two"	"two_against"	"against_lefty"	"of_his_two"	"his_two_against"	"two_against_lefty"	"against_lefty_person"	"IN"	"PRP$"	"JJ"	"NN"	"IN"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"crack"	"the"	"of"	"his"	"two"	"double"	"against"	"lefty"	"person"	"to"	"open"	"the"	"group"	"attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"into"	"drop"	"the"	"drop_a"	"a_into"	"into_the"	"person_drop_a"	"drop_a_into"	"a_into_the"	"into_the_leftfield"	"NNP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"add"	"two"	"more"	"the"	"fifth"	"when"	"person"	"drop"	"a"	"double"	"into"	"the"	"leftfield"	"corner"	"person"	"double"	"down"	"the"	"rightfield"	"line"	"and"	"person"	"single"	"off"	"person"	"glove"	"0"	"0"	"0"	"0"	"0"	"0"	
