"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"1:04:00::"	"vocational"	"begin"	"of"	"in"	"of_vocational"	"vocational_begin"	"begin_in"	"program_of_vocational"	"of_vocational_begin"	"vocational_begin_in"	"begin_in_1917"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"match"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	
"1:04:00::"	"vocational"	"in"	"of"	"agriculture"	"of_vocational"	"vocational_in"	"in_agriculture"	"program_of_vocational"	"of_vocational_in"	"vocational_in_agriculture"	"in_agriculture_,"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"present"	"federal"	"program"	"of"	"vocational"	"education"	"begin"	"in"	"with"	"the"	"passage"	"of"	"the"	"smith-hughes_act"	"which"	"provide"	"a"	"continuing"	"annual"	"appropriation"	"of"	"million"	"to"	"support"	"on"	"a"	"basis"	"state"	"administer"	"program"	"of"	"vocational"	"education"	"in"	"agriculture"	"trade"	"industrial"	"skill"	"and"	"home_economics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"merely"	"of"	"provide"	"of_vocational"	"vocational_merely"	"merely_provide"	"program_of_vocational"	"of_vocational_merely"	"vocational_merely_provide"	"merely_provide_financial_aid"	"NN"	"IN"	"JJ"	"NN"	"RB"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal"	"of"	"vocational"	"education"	"merely"	"provide"	"financial_aid"	"to"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"program"	"of"	"in"	"of_vocational"	"vocational_program"	"program_in"	"establishment_of_vocational"	"of_vocational_program"	"vocational_program_in"	"program_in_public"	"NN"	"IN"	"JJ"	"NN"	"NN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"federal"	"program"	"of"	"vocational"	"education"	"merely"	"financial_aid"	"to"	"encourage"	"the"	"establishment"	"of"	"vocational"	"education"	"program"	"in"	"public"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"training"	"private"	"."	"private_vocational"	"vocational_training"	"training_."	"for_private_vocational"	"private_vocational_training"	"vocational_training_."	"training_._∅"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"comparable"	"measure"	"be"	"available"	"enrollment"	"and"	"expenditure"	"for"	"private"	"vocational"	"education"	"training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"."	"from"	"∅"	"from_vocational"	"vocational_."	"._∅"	"benefit_from_vocational"	"from_vocational_."	"vocational_._∅"	"._∅_∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"little"	"doubt"	"the"	"student"	"benefit"	"from"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"program"	"existing"	"or"	"existing_vocational"	"vocational_program"	"program_or"	"their_existing_vocational"	"existing_vocational_program"	"vocational_program_or"	"program_or_funds"	"PRP$"	"JJ"	"JJ"	"NN"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"state"	"make"	"effective"	"of"	"their"	"existing"	"vocational"	"education"	"program"	"or"	"funds"	"for"	"the"	"purpose"	"of"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"program"	"of"	"and"	"of_vocational"	"vocational_program"	"program_and"	"planning_of_vocational"	"of_vocational_program"	"vocational_program_and"	"program_and_course"	"NN"	"IN"	"JJ"	"NN"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"planning"	"vocational"	"education"	"program"	"and"	"course"	"is"	"orient"	"to"	"local"	"employer"	"need"	"for"	"trained_worker"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"field"	"the"	"must"	"the_vocational"	"vocational_field"	"field_must"	"in_the_vocational"	"the_vocational_field"	"vocational_field_must"	"field_must_be"	"IN"	"DT"	"JJ"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"and"	"local"	"in"	"the"	"vocational"	"education"	"field"	"must"	"be"	"encourage"	"to"	"adopt"	"a"	"wide"	"outlook"	"on"	"future"	"job"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	","	"the"	"it"	"the_vocational"	"vocational_,"	",_it"	"for_the_vocational"	"the_vocational_,"	"vocational_,_it"	",_it_could"	"VB"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"only"	"state"	"funds"	"were"	"to"	"pay"	"for"	"the"	"vocational"	"education"	"it"	"could"	"be"	"argue"	"that"	"the"	"state"	"should"	"not"	"have_to"	"bear"	"the"	"cost"	"of"	"vocational"	"training"	"which"	"would"	"benefit"	"employer"	"in"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"college"	":"	"improve"	"that_is"	"improve_college"	"college_:"	":_that_is"	"toward_improve_college"	"improve_college_:"	"college_:_that_is"	":_that_is_to"	"IN"	"VB"	"NN"	"NN"	"ε"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"further"	"possibility"	"suggest"	"by"	"the"	"example"	"of"	"the"	"g._i."	"and"	"also"	"by"	"some"	"recent"	"trend"	"in"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"formal"	"applicable"	"a"	"to"	"a_formal"	"formal_applicable"	"applicable_to"	"have_a_formal"	"a_formal_applicable"	"formal_applicable_to"	"applicable_to_,"	"VB"	"DT"	"JJ"	"NN"	"JJ"	"TO"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"company"	"grow"	"out"	"of"	"effort"	"by"	"two"	"completely"	"man"	"in"	"their"	"late"	"twenties"	"neither"	"have"	"a"	"formal"	"education"	"applicable"	"to"	"or"	"experience"	"in"	"manufacturing"	"or"	"selling"	"our"	"type"	"of"	"article"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"of"	"be"	"sensibility"	"be_the"	"the_of"	"of_sensibility"	"literature_be_the"	"be_the_of"	"the_of_sensibility"	"of_sensibility_that"	"NN"	"VB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"most"	"frequent"	"view"	"the"	"value"	"of"	"literature"	"be"	"the"	"education"	"of"	"sensibility"	"that"	"it"	"is"	"think"	"to"	"provide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"safety"	"and"	"and"	"training"	"and_safety"	"safety_and"	"and_training"	"health_and_safety"	"and_safety_and"	"safety_and_training"	"and_training_;"	"NN"	"CC"	"NN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"effectiveness"	"health"	"and"	"safety"	"education"	"and"	"training"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"hunting"	"in"	"and"	"their"	"and_hunting"	"hunting_in"	"in_their"	"shooting_and_hunting"	"and_hunting_in"	"hunting_in_their"	"in_their_physical_education"	"NN"	"CC"	"NN"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"a"	"vigorous"	"campaign"	"of"	"interpretation"	"and"	"leadership"	"development"	"by"	"oep"	"director"	"today"	"thousand"	"of"	"secondary_school"	"college"	"and"	"university"	"have"	"shooting"	"and"	"hunting"	"education"	"in"	"their"	"physical_education"	"and"	"recreation"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"vocational"	"."	"respect_to"	"∅"	"respect_to_vocational"	"vocational_."	"._∅"	"with_respect_to_vocational"	"respect_to_vocational_."	"vocational_._∅"	"._∅_∅"	"IN"	"NN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"should_like"	"to"	"underline"	"four"	"point"	"i"	"in"	"my"	"first"	"report"	"with"	"respect_to"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"take"	"course"	"not"	","	"not_take"	"take_course"	"course_,"	"has_not_take"	"not_take_course"	"take_course_,"	"course_,_is"	"VBZ"	"RB"	"VB"	"NN"	"NN"	"ε"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"person"	"with"	"a"	"master's_degree"	"in"	"physics"	"chemistry"	"math"	"english"	"yet"	"who"	"has"	"not"	"take"	"education"	"course"	"is"	"not"	"permit"	"to"	"teach"	"in"	"the"	"public_school"	"say"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
