"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:04:01::"	"april"	"campaign"	"the"	","	"the_april"	"april_campaign"	"campaign_,"	"in_the_april"	"the_april_campaign"	"april_campaign_,"	"campaign_,_bestow"	"IN"	"DT"	"NN"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"part"	"of"	"the"	"same"	"arrangement"	"person"	"in"	"the"	"spirit"	"of"	"peace"	"and"	"good_will"	"and"	"in"	"for"	"armed"	"support"	"in"	"the"	"april"	"election"	"campaign"	"bestow"	"upon"	"person"	"a"	"third"	"share"	"in"	"the"	"group"	"proceeds"	"and"	"a"	"cut"	"in"	"the"	"person"	"beer"	"trade"	
"1:04:01::"	"april"	","	"the"	"person"	"the_april"	"april_,"	",_person"	"in_the_april"	"the_april_,"	"april_,_person"	",_person_had"	"IN"	"DT"	"NN"	"NN"	"ε"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"as"	"a"	"diplomatic"	"gesture"	"of"	"amity"	"and"	"in"	"for"	"the"	"loan"	"of"	"gunman"	"in"	"the"	"april"	"election"	"person"	"had"	"give"	"person"	"a"	"slice"	"of"	"location"	"the"	"profits"	"from"	"that"	"district"	"had"	"be"	"a"	"month"	
"1:04:01::"	"last"	","	"the"	"i"	"the_last"	"last_,"	",_i"	"of_the_last"	"the_last_,"	"last_,_i"	",_i_suppose"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"obvious"	"conclusion"	"we"	"make"	"on"	"the"	"basis"	"of"	"the"	"last"	"election"	"i"	"suppose"	"be"	"that"	"we"	"the"	"majority"	"be"	"dissatisfied"	"with"	"person"	"conservatism"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"special"	"."	"costly"	"∅"	"costly_special"	"special_."	"._∅"	"for_costly_special"	"costly_special_."	"special_._∅"	"._∅_∅"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"former"	"chairman"	"of"	"the"	"group"	"suggest"	"a"	"plan"	"to"	"fill"	"by"	"appointment"	"future"	"vacancy"	"the"	"group"	"and"	"group"	"eliminate"	"the"	"for"	"costly"	"special"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	","	"of"	"``"	"of_the"	"the_,"	",_``"	"charge_of_the"	"of_the_,"	"the_,_``"	",_``_deserve"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jury"	"far"	"say"	"in"	"term"	"end"	"presentment"	"the"	"group"	"which"	"have"	"overall"	"charge"	"of"	"the"	"election"	"deserve"	"the"	"praise"	"and"	"thanks"	"of"	"the"	"location"	"for"	"the"	"manner"	"in"	"which"	"the"	"election"	"was"	"conduct"	
"1:04:01::"	"the"	"was"	"which"	"conduct"	"which_the"	"the_was"	"was_conduct"	"in_which_the"	"which_the_was"	"the_was_conduct"	"was_conduct_."	"RB"	"RB"	"DT"	"NN"	"VBD"	"VB"	"ε"	"far"	"say"	"in"	"term"	"end"	"presentment"	"that"	"the"	"group"	"which"	"have"	"overall"	"charge"	"of"	"the"	"election"	"deserve"	"the"	"praise"	"and"	"thanks"	"of"	"the"	"location"	"for"	"the"	"manner"	"in"	"which"	"the"	"was"	"conduct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	","	"in"	"the"	"in_the"	"the_,"	",_the"	"interest_in_the"	"in_the_,"	"the_,_the"	",_the_number"	"NN"	"IN"	"DT"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"a"	"relative"	"handful"	"of"	"such"	"report"	"was"	"receive"	"the"	"jury"	"consider"	"the"	"widespread"	"interest"	"in"	"the"	"election"	"the"	"number"	"of"	"voter"	"and"	"the"	"size"	"of_this"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"and"	"law"	"registration"	"``"	"registration_and"	"and_law"	"law_``"	"'s_registration_and"	"registration_and_law"	"and_law_``"	"law_``_be"	"POS"	"NN"	"CC"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jury"	"say"	"it"	"did"	"that"	"many_of"	"georgia"	"registration"	"and"	"election"	"law"	"be"	"outmoded"	"or"	"inadequate"	"and"	"often"	"ambiguous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"cool"	"i"	"``"	"ever"	"``_cool"	"cool_i"	"i_ever"	"the_``_cool"	"``_cool_i"	"cool_i_ever"	"i_ever_see"	"DT"	"ε"	"JJ"	"NN"	"PRP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"a"	"long"	"hot"	"controversy"	"location"	"have"	"a"	"new"	"school_superintendent"	"elect"	"as"	"a"	"put"	"it"	"in"	"the"	"cool"	"election"	"i"	"ever"	"see"	"in_this"	"county"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"'s"	","	"saturday"	"and"	"saturday_'s"	"'s_,"	",_and"	"in_saturday_'s"	"saturday_'s_,"	"'s_,_and"	",_and_person"	"VB"	"NN"	"POS"	"NN"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"receive"	"vote"	"saturday"	"election"	"and"	"person"	"get"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"calm"	"i"	","	"ever"	",_calm"	"calm_i"	"i_ever"	"cool_,_calm"	",_calm_i"	"calm_i_ever"	"i_ever_see"	"JJ"	"ε"	"JJ"	"NN"	"PRP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"calm"	"election"	"i"	"ever"	"see"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"be"	"to"	"not"	"to_the"	"the_be"	"be_not"	"lead_up_to_the"	"to_the_be"	"the_be_not"	"be_not_so"	"VB"	"VB"	"DT"	"NN"	"VB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"campaign"	"to"	"the"	"election"	"be"	"not"	"so"	"quiet"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"campaign"	"during"	","	"during_the"	"the_campaign"	"campaign_,"	"∅_during_the"	"during_the_campaign"	"the_campaign_,"	"campaign_,_both"	"ε"	"IN"	"DT"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"election"	"campaign"	"both"	"candidate"	"person"	"and"	"person"	"reportedly"	"receive"	"anonymous"	"telephone_call"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"orderly"	"."	"an"	"∅"	"an_orderly"	"orderly_."	"._∅"	"promise_an_orderly"	"an_orderly_."	"orderly_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"local"	"citizen"	"fear"	"that"	"there"	"would"	"be"	"irregularity"	"the"	"polls"	"and"	"person"	"get"	"himself"	"a"	"permit"	"carry"	"a"	"gun"	"and"	"promise"	"an"	"orderly"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"state"	","	"the"	"they"	"the_state"	"state_,"	",_they"	"for_the_state"	"the_state_,"	"state_,_they"	",_they_watch"	"VB"	"DT"	"NN"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"rhode_islander"	"were"	"for"	"the"	"state"	"election"	"they"	"watch"	"person"	"trial"	"with"	"extreme"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"state"	"."	"the"	"∅"	"the_state"	"state_."	"._∅"	"to_the_state"	"the_state_."	"state_._∅"	"._∅_∅"	"TO"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"excitement"	"being"	"cause"	"by"	"the"	"trial"	"and"	"of"	"person"	"rhode_islander"	"turn"	"their"	"attention"	"to"	"the"	"state"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"fall"	"of"	"naturally"	"of_the"	"the_fall"	"fall_naturally"	"analysis_of_the"	"of_the_fall"	"the_fall_naturally"	"fall_naturally_in"	"NN"	"IN"	"DT"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"of"	"the"	"election"	"fall"	"naturally"	"in"	"four"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"∅"	"have"	"∅"	"figure"	"∅_∅"	"∅_have"	"have_figure"	"∅_∅_∅"	"∅_∅_have"	"∅_have_figure"	"have_figure_prominently"	"ε"	"ε"	"ε"	"NN"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"figure"	"prominently"	"in"	"nearly"	"every"	"government"	"program"	"and"	"official"	"address"	"since"	"independence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"of"	","	"consideration"	"but"	"consideration_of"	"of_,"	",_but"	"further_consideration_of"	"consideration_of_,"	"of_,_but"	",_but_french"	"JJ"	"NN"	"IN"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"ifni"	"crisis"	"in"	"the"	"of"	"further"	"consideration"	"of"	"election"	"but"	"french"	"consultant"	"were"	"call_in"	"and"	"notice"	"of"	"further"	"investigation"	"appear"	"from_time_to_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"remain"	"morocco"	"a"	"morocco_the"	"the_remain"	"remain_a"	"harass_morocco_the"	"morocco_the_remain"	"the_remain_a"	"remain_a_central"	"VB"	"NN"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"internal"	"and"	"crisis"	"that"	"harass"	"morocco"	"the"	"election"	"remain"	"a"	"central"	"issue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"first"	"in"	"the"	"a"	"the_first"	"first_in"	"in_a"	"concern_the_first"	"the_first_in"	"first_in_a"	"in_a_developing"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"rather"	"tortuous"	"history"	"of"	"electoral"	"planning"	"morocco"	"an"	"important"	"point"	"emerge"	"concern"	"the"	"first"	"election"	"in"	"a"	"developing"	"country"	"and"	"evaluate"	"their"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"moroccan"	"may"	"the"	"also"	"the_moroccan"	"moroccan_may"	"may_also"	"of_the_moroccan"	"the_moroccan_may"	"moroccan_may_also"	"may_also_encourage"	"IN"	"DT"	"JJ"	"NN"	"MD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"general"	"of"	"the"	"moroccan"	"election"	"may"	"also"	"encourage"	"the"	"deterioration"	"of"	"local"	"party"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"group"	"be"	"the"	","	"the_group"	"group_be"	"be_,"	"∅_the_group"	"the_group_be"	"group_be_,"	"be_,_of_course"	"ε"	"DT"	"NNP"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"election"	"be"	"of_course"	"an"	"important"	"event"	"in"	"the"	"preparation"	"for"	"rural"	"commune"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"commune"	"."	"rural"	"∅"	"rural_commune"	"commune_."	"._∅"	"for_rural_commune"	"rural_commune_."	"commune_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"election"	"be"	"of_course"	"an"	"important"	"in"	"the"	"preparation"	"for"	"rural"	"commune"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"."	"for"	"∅"	"for_the"	"the_."	"._∅"	"arrangement_for_the"	"for_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"major"	"point"	"of"	"this"	"essay"	"to"	"examine"	"the"	"formal"	"arrangement"	"for"	"the"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
