"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:41:01::"	"∅"	"mature"	"∅"	","	"∅_∅"	"∅_mature"	"mature_,"	"∅_∅_∅"	"∅_∅_mature"	"∅_mature_,"	"mature_,_experienced"	"ε"	"ε"	"ε"	"VB"	"JJ"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mature"	"experienced"	"men"	"to"	"pioneer"	"or"	"open"	"new"	"churches"	"in"	"strategic"	"population"	"centers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"individuals"	"in"	","	"the"	",_individuals"	"individuals_in"	"in_the"	"years_,_individuals"	",_individuals_in"	"individuals_in_the"	"in_the_sale"	"NNS"	"ε"	"NNS"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"years"	"engage"	"in"	"the"	"sale"	"of"	"real_estate"	"have"	"develop"	"remarkable"	"unity"	"in"	"the"	"methods"	"and"	"practices"	"employ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"of"	"in"	"convict"	"a"	"convict_of"	"of_in"	"in_a"	"recently_convict_of"	"convict_of_in"	"of_in_a"	"in_a_conspiracy"	"RB"	"VB"	"IN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"us"	"look_at"	"the"	"heavy-electrical-goods"	"industry"	"in_which"	"general_electric"	"and"	"a_number_of"	"manufacturers"	"were"	"recently"	"convict"	"of"	"engage"	"in"	"a"	"conspiracy"	"to"	"rig"	"prices"	"and"	"allocate"	"the"	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"is"	"in"	"enterprise"	"the"	"enterprise_is"	"is_in"	"in_the"	"an_enterprise_is"	"enterprise_is_in"	"is_in_the"	"in_the_manufacture"	"DT"	"NN"	"VBZ"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"become"	"even"	"complex"	"where"	"an"	"enterprise"	"is"	"engage"	"in"	"the"	"manufacture"	"of"	"a"	"wide"	"variety"	"of"	"goods"	"in_addition"	"to"	"the"	"heavy"	"electrical"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"to"	"in"	"is"	"exactly"	"is_to"	"to_in"	"in_exactly"	"manufacturers_is_to"	"is_to_in"	"to_in_exactly"	"in_exactly_the"	"NNS"	"VBZ"	"TO"	"VB"	"VB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under_the_circumstances"	"the"	"only"	"protection"	"for"	"relatively"	"small"	"manufacturers"	"is"	"to"	"engage"	"in"	"exactly"	"the"	"kind_of"	"conspiracy"	"with"	"the"	"giants"	"for"	"which"	"the"	"latter"	"were"	"convict"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"as_it_is"	"∅"	"in"	"∅_∅"	"∅_as_it_is"	"as_it_is_in"	"∅_∅_∅"	"∅_∅_as_it_is"	"∅_as_it_is_in"	"as_it_is_in_a"	"ε"	"ε"	"ε"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as_it_is"	"in"	"a"	"battle"	"for"	"world"	"trade"	"as"	"a"	"condition"	"of"	"national"	"survival"	"this"	"country"	"can"	"have"	"little"	"patience"	"with"	"labor"	"family"	"feuds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"assistants"	"in"	"presidential"	"the"	"presidential_assistants"	"assistants_in"	"in_the"	"of_presidential_assistants"	"presidential_assistants_in"	"assistants_in_the"	"in_the_study"	"IN"	"JJ"	"NNS"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nor"	"does"	"sen._jackson"	"discuss"	"the"	"delicate"	"situation"	"create"	"by"	"the"	"presence"	"in"	"the"	"of"	"a"	"corps"	"of"	"presidential"	"assistants"	"engage"	"in"	"the"	"study"	"of"	"foreign_policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"personnel"	","	"department"	"as"	"department_personnel"	"personnel_,"	",_as"	"get_rid_of_department_personnel"	"department_personnel_,"	"personnel_,_as"	",_as_sen._jackson"	"VB"	"NN"	"NNS"	"VB"	"ε"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"jackson"	"report"	"will"	"provide"	"some"	"the"	"political"	"support"	"mr._rusk"	"will"	"need"	"he"	"is"	"to"	"get_rid_of"	"department"	"personnel"	"engage"	"as"	"sen._jackson"	"put"	"it"	"in"	"work"	"that"	"does"	"not"	"really"	"need"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:06::"	"were"	"in"	"]"	"this"	"]_were"	"were_in"	"in_this"	"detectives_]_were"	"]_were_in"	"were_in_this"	"in_this_conspiracy"	"NNS"	"ε"	"VBD"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"same"	"five"	"year"	"period"	"that"	"the"	"say"	"they"	"the"	"detectives"	"were"	"engage"	"in"	"this"	"conspiracy"	"sokol"	"continue"	"these"	"three"	"young_men"	"receive"	"a"	"total"	"of"	"creditable"	"mentions"	"and"	"many"	"special"	"compensations"	"and"	"were"	"nominate"	"for"	"the"	"lambert_tree"	"award"	"and"	"the"	"mayor"	"medal"	
"2:41:06::"	"primarily"	"in"	"personnel"	"tasks"	"personnel_primarily"	"primarily_in"	"in_tasks"	"administrative_personnel_primarily"	"personnel_primarily_in"	"primarily_in_tasks"	"in_tasks_to"	"JJ"	"NNS"	"RB"	"VB"	"VB"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"field"	"operations"	"were"	"from"	"administrative"	"personnel"	"primarily"	"engage"	"in"	"tasks"	"to"	"specially"	"trained"	"teams"	"of"	"full-time"	"african"	"investigators"	"three"	"teams"	"each"	"work"	"in"	"two"	"provinces"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
