"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"
"2:39:01::"	"shares"	"themselves"	"400"	"with"	"400_shares"	"shares_themselves"	"themselves_with"	"buy_400_shares"	"400_shares_themselves"	"shares_themselves_with"	"themselves_with_100"	"VB"	"CD"	"NNS"	"VB"	"PRP"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"investors"	"who"	"want"	"shares"	"in"	"many"	"cases"	"end_up"	"with"	"and"	"customers"	"had"	"put_in"	"a"	"bid"	"to"	"buy"	"shares"	"find"	"themselves"	"with"	"and"	"count"	"themselves"	"lucky"	"to"	"get"	"that"	"many"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"be"	"in_what"	"can"	"happen"	"can_be"	"be_in_what"	"in_what_happen"	",_can_be"	"can_be_in_what"	"be_in_what_happen"	"in_what_happen_to"	"ε"	"MD"	"VB"	"VB"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"measure"	"of"	"how"	"hot"	"stock"	"be"	"can"	"be"	"find"	"in_what"	"happen"	"to"	"it"	"on"	"the"	"market"	"as"	"soon"	"as"	"trading"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"owen"	"buzz"	"∅"	"watch"	"∅_owen"	"owen_buzz"	"buzz_watch"	"∅_∅_owen"	"∅_owen_buzz"	"owen_buzz_watch"	"buzz_watch_chuck-a-luck"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"find"	"buzz"	"watch"	"chuck-a-luck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"were"	"among"	"situations"	"the"	"situations_were"	"were_among"	"among_the"	"kohnstamm_situations_were"	"situations_were_among"	"were_among_the"	"among_the_subjects"	"NNP"	"NNS"	"VB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"individual"	"differences"	"in"	"kohnstamm"	"to"	"controlled"	"kohnstamm"	"situations"	"were"	"find"	"among"	"the"	"subjects"	"use"	"in"	"the"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"i"	"a"	"∅"	"parking"	"∅_i"	"i_a"	"a_parking"	"∅_∅_i"	"∅_i_a"	"i_a_parking"	"a_parking_place"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"find"	"a"	"parking"	"place"	"half"	"a"	"block"	"away"	"sit"	"in"	"the"	"car"	"and"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"might"	"silence"	"i"	","	"i_might"	"might_silence"	"silence_,"	"that_i_might"	"i_might_silence"	"might_silence_,"	"silence_,_but"	"IN"	"PRP"	"MD"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"turn_on"	"the"	"device"	"again"	"fearful"	"that"	"i"	"might"	"find"	"silence"	"but"	"the"	"buzzes"	"come_in"	"loud"	"and"	"clear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:10::"	"churches"	"the"	"many"	"sunday_school"	"many_churches"	"churches_the"	"the_sunday_school"	"∅_many_churches"	"many_churches_the"	"churches_the_sunday_school"	"the_sunday_school_hour"	"ε"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"churches"	"find"	"the"	"sunday_school"	"hour"	"to"	"be"	"the_most"	"practical"	"time"	"for"	"adult"	"preparation"	"classes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:02::"	"pastors"	"that"	"most"	"the"	"most_pastors"	"pastors_that"	"that_the"	"∅_most_pastors"	"most_pastors_that"	"pastors_that_the"	"that_the_fourth"	"ε"	"JJS"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pastors"	"find"	"that"	"the"	"fourth"	"session"	"should"	"take"	"at_least"	"two"	"hours"	"and"	"therefore"	"hold"	"it"	"on"	"a"	"week"	"night"	"prior"	"to"	"reception"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"to"	"alarm"	"taxes"	"in"	"taxes_to"	"to_alarm"	"alarm_in"	"increased_taxes_to"	"taxes_to_alarm"	"to_alarm_in"	"alarm_in_uncontrolled"	"JJ"	"NNS"	"TO"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"councilman_olson"	"cite"	"the"	"anticipated"	"increase"	"in"	"school"	"costs"	"in"	"answer"	"to"	"a"	"direct"	"question"	"from"	"a"	"the"	"impact"	"upon"	"a"	"school_system"	"does"	"not"	"have"	"to"	"be"	"measure"	"only"	"in"	"increased"	"taxes"	"to"	"find"	"alarm"	"in"	"uncontrolled"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"i"	"a"	"gardens"	"bus_stop"	"gardens_i"	"i_a"	"a_bus_stop"	"the_gardens_i"	"gardens_i_a"	"i_a_bus_stop"	"a_bus_stop_sign"	"DT"	"NNPS"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"directly"	"across"	"the"	"gardens"	"i"	"find"	"a"	"bus_stop"	"sign"	"for"	"t"	"and"	"ride"	"it"	"down"	"to"	"the"	"bosphorus"	"with"	"the"	"sports"	"center"	"on"	"my"	"left"	"just"	"before"	"i"	"reach"	"the"	"water"	"and"	"the"	"entrance"	"to"	"dolmabahce_palace"	"immediately"	"after_that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
