"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"4:02:02::"	"has"	"been"	"than"	"suppose"	"than_has"	"has_been"	"been_suppose"	"real_than_has"	"than_has_been"	"has_been_suppose"	"been_suppose_."	"JJ"	"IN"	"VBZ"	"RB"	"VBN"	"VB"	"ε"	"of"	"the"	"southern"	"plantation"	"has"	"have"	"only"	"a"	"tangential"	"relation"	"with"	"actuality"	"as"	"person"	"show"	"forty"	"year"	"ago"	"and"	"i"	"suspect"	"it"	"has"	"have"	"a"	"far"	"narrow"	"acceptance"	"as"	"something"	"real"	"than"	"generally"	"been"	"suppose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	","	"∅"	"the"	"∅_∅"	"∅_,"	",_the"	"∅_∅_∅"	"∅_∅_,"	"∅_,_the"	",_the_same"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"same"	"level"	"of"	"living"	"cost"	"less"	"in"	"the"	"country"	"than"	"in"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"material"	"''"	"and"	"."	"and_material"	"material_''"	"''_."	"song_and_material"	"and_material_''"	"material_''_."	"''_._∅"	"NN"	"CC"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"when"	"he"	"hear"	"that"	"person"	"was"	"look_for"	"singer"	"to"	"replace"	"the"	"rhythm_boys"	"person"	"apply"	"and"	"get"	"the"	"job"	"not"	"for"	"my"	"voice"	"i"	"sure"	"but"	"because"	"could"	"write"	"song"	"and"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"the"	"∅"	"first"	"∅_∅"	"∅_the"	"the_first"	"∅_∅_∅"	"∅_∅_the"	"∅_the_first"	"the_first_salvo"	"ε"	"ε"	"ε"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"salvo"	"of"	"a"	"tsunami"	"be"	"a"	"rather"	"sharp"	"swell"	"not"	"different"	"enough"	"from"	"an"	"ordinary"	"wave"	"to"	"alarm"	"casual"	"observer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"is"	"regard_as"	"which"	"a"	"which_is"	"is_regard_as"	"regard_as_a"	",_which_is"	"which_is_regard_as"	"is_regard_as_a"	"regard_as_a_threat"	"ε"	"WDT"	"VBZ"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"intermarriage"	"is"	"generally"	"regard_as"	"a"	"threat"	"to"	"jewish"	"survival"	"was"	"regard"	"not"	"with"	"horror"	"or"	"apprehension"	"but"	"with"	"a"	"kind"	"of"	"mild"	"clinical"	"disapproval"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"more"	","	"∅"	"suppose"	"∅_more"	"more_,"	",_suppose"	"∅_∅_more"	"∅_more_,"	"more_,_suppose"	",_suppose_that"	"ε"	"ε"	"JJ"	"RB"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"generally"	"suppose"	"that"	"an"	"experiment"	"consist_of"	"a"	"number"	"of"	"independent"	"trial"	"that"	"each"	"trial"	"result"	"in"	"either"	"a"	"success"	"or"	"a"	"non"	"success"	"failure"	"and"	"that"	"the"	"probability"	"of"	"success"	"remain"	"constant"	"from"	"trial"	"to"	"trial"	
"4:02:02::"	"opponent"	"argue"	"∅"	"that"	"∅_opponent"	"opponent_argue"	"argue_that"	"∅_∅_opponent"	"∅_opponent_argue"	"opponent_argue_that"	"argue_that_the"	"ε"	"ε"	"NN"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"generally"	"argue"	"that"	"the"	"ballot"	"could"	"n't"	"give"	"enough"	"information"	"about"	"tax"	"proposal"	"for"	"the"	"voter"	"to"	"make"	"an"	"intelligent"	"choice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"hydrogen_bond"	"agree"	"the"	"that"	"the_hydrogen_bond"	"hydrogen_bond_agree"	"agree_that"	"of_the_hydrogen_bond"	"the_hydrogen_bond_agree"	"hydrogen_bond_agree_that"	"agree_that_the"	"IN"	"DT"	"NN"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"theoretical"	"study"	"the"	"hydrogen_bond"	"generally"	"agree"	"that"	"the"	"bond"	"will"	"be"	"linear"	"in"	"the"	"absence"	"of"	"peculiarity"	"of"	"packing"	"in"	"the"	"solid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"is"	"recognize"	","	"as"	",_is"	"is_recognize"	"recognize_as"	"background_,_is"	",_is_recognize"	"is_recognize_as"	"recognize_as_the"	"NN"	"ε"	"VBZ"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"year"	"old"	"person"	"a"	"prominent"	"corporation"	"lawyer"	"a"	"sport"	"background"	"is"	"generally"	"recognize"	"as"	"the"	"man"	"most"	"responsible_for"	"the"	"imminent"	"return"	"of"	"a"	"group"	"club"	"to"	"new_york"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"follow"	"accepted"	"and"	"practice"	"and_follow"	"follow_accepted"	"accepted_practice"	"operate_and_follow"	"and_follow_accepted"	"follow_accepted_practice"	"accepted_practice_which"	"VB"	"CC"	"VB"	"RB"	"JJ"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"grand_jury"	"comment"	"on"	"a"	"number"	"of"	"topic"	"among"	"them"	"the"	"atlanta"	"location"	"purchasing_department"	"which"	"it"	"say"	"be"	"well"	"operate"	"and"	"follow"	"generally"	"accepted"	"practice"	"which"	"inure"	"to"	"the"	"best"	"interest"	"of"	"both"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
