"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"3:00:01::"	"the"	"thick"	"``"	"sole"	"``_the"	"the_thick"	"thick_sole"	"∅_``_the"	"``_the_thick"	"the_thick_sole"	"thick_sole_."	"ε"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"heavy"	"thick"	"sole"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"such"	"sole"	"wear"	"."	"wear_such"	"such_sole"	"sole_."	"here_wear_such"	"wear_such_sole"	"such_sole_."	"sole_._∅"	"RB"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"no"	"one"	"around"	"wear"	"such"	"heavy"	"sole"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"relatively"	"and"	","	"dense"	",_relatively"	"relatively_and"	"and_dense"	"block_,_relatively"	",_relatively_and"	"relatively_and_dense"	"and_dense_,"	"NN"	"ε"	"RB"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"solid"	"concrete"	"relatively"	"heavy"	"and"	"dense"	"are"	"use"	"for"	"this"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"or"	"material"	","	"."	",_or"	"or_material"	"material_."	"magazine_,_or"	",_or_material"	"or_material_."	"material_._∅"	"NN"	"ε"	"CC"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"if"	"there"	"be"	"time"	"after"	"the"	"warning"	"the"	"basement"	"shielding"	"could"	"be"	"improve"	"substantially"	"by"	"block"	"window"	"with"	"brick"	"dirt"	"book"	"magazine"	"or"	"heavy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:03::"	"his"	"burn"	"under"	"."	"under_his"	"his_burn"	"burn_."	"darken_under_his"	"under_his_burn"	"his_burn_."	"burn_._∅"	"VB"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"under"	"his"	"heavy"	"burn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cloudy:00"	"-"	","	"them"	"ominous"	"them_-"	"-_,"	",_ominous"	"upon_them_-"	"them_-_,"	"-_,_ominous"	",_ominous_,"	"IN"	"PRP"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"he"	"notice"	"the"	"race"	"upon"	"them"	"heavy"	"ominous"	"leaden"	"cloud"	"that"	"form"	"even"	"as"	"they"	"slice"	"over"	"the"	"crest"	"of"	"the"	"surrounding"	"hills"	
"3:00:03::"	"a"	"load"	"carry"	"of"	"carry_a"	"a_load"	"load_of"	"to_carry_a"	"carry_a_load"	"a_load_of"	"load_of_tradition"	"TO"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"did"	"n't"	"take"	"person"	"long"	"realize"	"that"	"he"	"have"	"to"	"carry"	"a"	"heavy"	"load"	"of"	"tradition"	"on"	"his"	"shoulder"	"as"	"commander"	"of"	"group"	"0"	"0"	
"3:00:01::"	"of"	"timber"	"structure"	"covered"	"structure_of"	"of_timber"	"timber_covered"	"low-ceilinged_structure_of"	"structure_of_timber"	"of_timber_covered"	"timber_covered_with"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bombproof"	"be"	"low-ceilinged"	"structure"	"of"	"heavy"	"timber"	"covered"	"with"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:fat:01"	"a"	"person"	"look_like"	"."	"look_like_a"	"a_person"	"person_."	"person_look_like_a"	"look_like_a_person"	"a_person_."	"person_._∅"	"NNP"	"VB"	"DT"	"JJ"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"heavy"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"weight"	"-"	"is"	"-_a"	"a_weight"	"weight_is"	"program_-_a"	"-_a_weight"	"a_weight_is"	"weight_is_not"	"NN"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"for"	"purely"	"definition"	"purpose"	"use"	"in"	"conjunction"	"with"	"your"	"regular"	"leg_curling"	"leg_extensor"	"program"	"a"	"heavy"	"weight"	"is"	"not"	"needed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
