"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"
"1:28:00::"	"of"	"the"	"number"	"family"	"number_of"	"of_the"	"the_family"	"the_number_of"	"number_of_the"	"of_the_family"	"the_family_can"	"DT"	"NN"	"IN"	"NN"	"DT"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"list"	"number"	"of"	"hour"	"the"	"family"	"can"	"be"	"expect"	"to"	"work"	"each_month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"per"	"cost"	"cent"	"in"	"cent_per"	"per_cost"	"cost_in"	"their_cent_per"	"cent_per_cost"	"per_cost_in"	"cost_in_wage"	"PRP$"	"NN"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"negotiate"	"with"	"your"	"union"	"do"	"you"	"make"	"sure"	"employee"	"a"	"choice"	"between"	"new"	"benefit"	"and"	"their"	"cent"	"per"	"hour"	"cost"	"in"	"wage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"-"	"day"	"24"	","	"24_-"	"-_day"	"day_,"	"and_24_-"	"24_-_day"	"-_day_,"	"day_,_7"	"CC"	"JJ"	"ε"	"NN"	"NN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"watch"	"work"	"schedule"	"for"	"operator"	"guard"	"and"	"hour"	"day"	"day"	"week"	"operation"	"in_order"	"to"	"minimize"	"overtime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"the"	"."	"before"	"∅"	"before_the"	"the_."	"._∅"	"arrive_before_the"	"before_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"like"	"person"	"arrive"	"before"	"the"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"flying"	","	"each"	"up"	"each_flying"	"flying_,"	",_up"	"of_each_flying"	"each_flying_,"	"flying_,_up"	",_up_11"	"IN"	"DT"	"JJ"	"NN"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"factor"	"increase"	"operating_cost"	"include"	"higher"	"unit_cost"	"of"	"each"	"flying"	"hour"	"up"	"in"	"two"	"year"	"and"	"of"	"each"	"steam"	"hour"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"steam"	","	"each"	"up"	"each_steam"	"steam_,"	",_up"	"of_each_steam"	"each_steam_,"	"steam_,_up"	",_up_15"	"IN"	"DT"	"VB"	"NN"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"other"	"factor"	"increase"	"operating_cost"	"include"	"the"	"higher"	"unit_cost"	"of"	"each"	"flying"	"up"	"in"	"two"	"year"	"and"	"of"	"each"	"steam"	"hour"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"wakeful"	"come"	"many"	"charge"	"many_wakeful"	"wakeful_come"	"come_charge"	"so_many_wakeful"	"many_wakeful_come"	"wakeful_come_charge"	"come_charge_in"	"RB"	"JJ"	"JJ"	"NN"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"nightmare"	"which"	"cause"	"him"	"so"	"many"	"wakeful"	"hour"	"come"	"charge"	"in"	"on"	"him"	"once_more"	"only"	"this"	"time"	"he"	"could"	"n't"	"pacify"	"it"	"with"	"a"	"sleeping_pill"	"and"	"send"	"it"	"away"	"0"	
"1:28:00::"	"lunch"	"in"	"her"	"the"	"her_lunch"	"lunch_in"	"in_the"	"skip_her_lunch"	"her_lunch_in"	"lunch_in_the"	"in_the_fear"	"VB"	"PRP$"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"had"	"her"	"lunch"	"hour"	"in"	"the"	"fear"	"that"	"he"	"might"	"call"	"while"	"she"	"be"	"out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"lunch"	","	"the"	"he"	"the_lunch"	"lunch_,"	",_he"	"to_the_lunch"	"the_lunch_,"	"lunch_,_he"	",_he_had"	"RB"	"DT"	"NN"	"NN"	"ε"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"fill_out"	"the"	"return"	"and"	"because"	"when"	"he"	"finished"	"it"	"was"	"close"	"to"	"the"	"lunch"	"hour"	"he"	"had"	"politely"	"ask"	"person"	"to"	"join"	"him"	"never"	"expect"	"her"	"to"	"accept"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"an"	"."	"in"	"∅"	"in_an"	"an_."	"._∅"	"back_in_an"	"in_an_."	"an_._∅"	"._∅_∅"	"RB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"go_out"	"say"	"he"	"be"	"back"	"in"	"an"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
