"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:31:02::"	","	"the"	"handler"	"class"	"handler_,"	",_the"	"the_class"	"outstanding_handler_,"	"handler_,_the"	",_the_class"	"the_class_."	"JJ"	"NNP"	"ε"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"year"	"anne_hone_rogers"	"handler"	"judge"	"the"	"class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"to"	"in"	"invite"	"australia"	"invite_to"	"to_in"	"in_australia"	"been_invite_to"	"invite_to_in"	"to_in_australia"	"in_australia_in"	"VBN"	"VB"	"TO"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"percy_roberts"	"a"	"leading"	"judge"	"will"	"not"	"be"	"at"	"the"	"international_show"	"this"	"for"	"the"	"junior"	"judging"	"contest"	"as"	"he"	"has"	"been"	"invite"	"to"	"judge"	"in"	"australia"	"in"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"to"	"junior"	"handler"	"showmanship"	"handler_to"	"to_junior"	"junior_showmanship"	"licensed_handler_to"	"handler_to_junior"	"to_junior_showmanship"	"junior_showmanship_competition"	"JJ"	"NNP"	"TO"	"VB"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"superintendents"	"at"	"dog_shows"	"state"	"it"	"is"	"become"	"difficult"	"to"	"obtain"	"a"	"licensed"	"handler"	"to"	"judge"	"junior"	"showmanship"	"competition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"was"	"by"	"class"	"celebrities"	"class_was"	"was_by"	"by_celebrities"	"this_class_was"	"class_was_by"	"was_by_celebrities"	"by_celebrities_who"	"DT"	"NNP"	"VBD"	"VB"	"IN"	"NNS"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"years"	"this"	"class"	"was"	"judge"	"by"	"celebrities"	"who"	"know"	"nothing"	"of_what"	"was"	"require"	"of"	"a"	"junior"	"ability"	"to"	"show"	"a"	"dog"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"the"	"have"	"``"	"have_been"	"been_the"	"the_``"	",_have_been"	"have_been_the"	"been_the_``"	"the_``_company"	"ε"	"VBP"	"VBN"	"VB"	"DT"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year-old"	"portland"	"businessman"	"and"	"his"	"achievement"	"company"	"have"	"been"	"judge"	"the"	"company"	"of"	"the"	"year"	"in"	"national"	"competition"	"complete"	"this"	"week"	"at"	"ohio_state_university"	"columbus"	"ohio"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"for"	"the"	"criteria"	"character"	"criteria_for"	"for_the"	"the_character"	"all_criteria_for"	"criteria_for_the"	"for_the_character"	"the_character_or"	"DT"	"NNS"	"IN"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"norms"	"as"	"elements"	"refer"	"all"	"criteria"	"for"	"judge"	"the"	"character"	"or"	"conduct"	"of"	"both"	"individual"	"and"	"group_actions"	"in"	"any"	"social_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"surface"	"gauge"	"resistance"	"gauge_to"	"to_surface"	"surface_resistance"	"seismological_gauge_to"	"gauge_to_surface"	"to_surface_resistance"	"surface_resistance_,"	"JJ"	"NN"	"TO"	"VB"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"ignore"	"the"	"ladder"	"down"	"to"	"the"	"planet"	"surface"	"with"	"only"	"a"	"glance"	"at"	"the"	"seismological"	"gauge"	"to"	"judge"	"surface"	"resistance"	"drop"	"to"	"the"	"ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"will"	"the"	"sullivan"	"costumes"	"sullivan_will"	"will_the"	"the_costumes"	"'_sullivan_will"	"sullivan_will_the"	"will_the_costumes"	"the_costumes_in"	"ε"	"NNP"	"MD"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._william_odell"	"mrs._clinton_b._king"	"john_holabird_jr."	"norman_boothby"	"and"	"actress_maureen_o"	"will"	"judge"	"the"	"costumes"	"in"	"the"	"grand"	"march"	"at"	"the"	"affaire_old_towne_bal_masque"	"tomorrow"	"in"	"the"	"germania"	"club"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"virginia"	"a"	"a"	"while"	"a_virginia"	"virginia_a"	"a_while"	"∅_a_virginia"	"a_virginia_a"	"virginia_a_while"	"a_while_back"	"ε"	"DT"	"NN"	"NN"	"DT"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"virginia"	"judge"	"a"	"while"	"back"	"cite"	"a"	"roman"	"jurist"	"to"	"the"	"effect"	"that"	"ten"	"year"	"might"	"be"	"a"	"reasonable"	"length"	"of"	"time"	"for"	"such"	"a"	"change"	
"1:18:01::"	"to"	"and"	"unforgettable"	"audience"	"unforgettable_to"	"to_and"	"and_audience"	"that_is_unforgettable_to"	"unforgettable_to_and"	"to_and_audience"	"and_audience_alike"	"RB"	"JJ"	"TO"	"NN"	"CC"	"NN"	"RB"	"the"	"one"	"exercise"	"that"	"drastically"	"influence"	"the"	"definition"	"of"	"the"	"thigh"	"at"	"the"	"hipline"	"that"	"mark"	"of"	"the"	"champion"	"that"	"set"	"him"	"apart"	"from"	"all"	"bodybuilder"	"a"	"criterion"	"of"	"muscle"	"drama"	"that_is"	"unforgettable"	"to"	"and"	"audience"	"alike"	"the"	"facet"	"of"	"muscular"	"development"	"that"	"win"	"prize"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
