"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"5:00:00:important:00"	"some"	"area"	"are"	"to"	"are_some"	"some_area"	"area_to"	"here_are_some"	"are_some_area"	"some_area_to"	"area_to_examine"	"RB"	"VB"	"DT"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"some"	"key"	"area"	"to"	"examine"	"to"	"make"	"sure"	"your"	"pricing"	"strategy"	"will"	"be"	"on"	"target"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"to"	"∅"	"effective"	"∅_the"	"the_to"	"to_effective"	"∅_∅_the"	"∅_the_to"	"the_to_effective"	"to_effective_marketing"	"ε"	"ε"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"key"	"to"	"effective"	"marketing"	"be"	"wrapped_up"	"in"	"define"	"your"	"company"	"marketing"	"problem"	"realistically"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"to"	"∅"	"protestant"	"∅_the"	"the_to"	"to_protestant"	"∅_∅_the"	"∅_the_to"	"the_to_protestant"	"to_protestant_development"	"ε"	"ε"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"key"	"to"	"protestant"	"development"	"therefore"	"be"	"economic"	"integration"	"of"	"the"	"nucleus"	"of"	"the"	"congregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"to"	"∅"	"the"	"∅_the"	"the_to"	"to_the"	"∅_∅_the"	"∅_the_to"	"the_to_the"	"to_the_world"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"key"	"to"	"the"	"world"	"of"	"geology"	"be"	"change"	"nothing"	"remain"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"to"	"now"	"the"	"now_the"	"the_to"	"to_the"	"``_now_the"	"now_the_to"	"the_to_the"	"to_the_lockup"	"ε"	"RB"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"say"	"the"	"key"	"to"	"the"	"lockup"	"marshal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"``"	"''"	"∅"	"?"	"∅_``"	"``_''"	"''_?"	"∅_∅_``"	"∅_``_''"	"``_''_?"	"''_?_∅"	"ε"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"``"	"''"	"on"	"wage"	"on_``"	"``_''"	"''_wage"	"''_on_``"	"on_``_''"	"``_''_wage"	"''_wage_bargain"	"ε"	"IN"	"ε"	"JJ"	"ε"	"NN"	"NN"	"clearly"	"upon"	"the"	"operation"	"of"	"this"	"one"	"force"	"which"	"we"	"may"	"call"	"the"	"effect"	"of"	"public"	"limit"	"price"	"on"	"key"	"bargain"	"we"	"deliberately"	"simplify"	"the"	"model"	"by"	"abstract"	"from"	"force"	"such_as"	"union"	"power"	"which"	"may"	"be"	"relevant"	"in"	"an"	"actual"	"situation"	
"1:06:00::"	"our"	"handy"	"have_got"	"''"	"have_got_our"	"our_handy"	"handy_''"	"you_have_got_our"	"have_got_our_handy"	"our_handy_''"	"handy_''_?"	"PRP"	"VB"	"PRP$"	"NN"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"our"	"key"	"handy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"the"	"franchise"	"as"	"."	"as_the"	"the_franchise"	"franchise_."	"new_york_as_the"	"as_the_franchise"	"the_franchise_."	"franchise_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"when"	"that"	"fail"	"he"	"enlist"	"person"	"aid"	"in"	"the"	"formation"	"of"	"a"	"third"	"major_league"	"the"	"group"	"with"	"new_york"	"as"	"key"	"franchise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"to"	"person"	"the"	"person_a"	"a_to"	"to_the"	"hand_person_a"	"person_a_to"	"a_to_the"	"to_the_front_door"	"VB"	"NNP"	"DT"	"NN"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"person"	"a"	"key"	"to"	"the"	"front_door"	"and"	"caution"	"him"	"against"	"leave"	"it"	"unlocked"	"while"	"they"	"be"	"out"	"of"	"the"	"apartment"	"0"	
