"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"
"2:34:00::"	"companies"	"facilities"	"10"	"in"	"10_companies"	"companies_facilities"	"facilities_in"	"more_than_10_companies"	"10_companies_facilities"	"companies_facilities_in"	"facilities_in_dallas"	"RB"	"CD"	"NNS"	"VB"	"NNS"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more_than"	"maintain"	"facilities"	"in"	"dallas"	"and"	"one"	"large"	"manufacturer"	"be"	"locate"	"to_the_north"	"at"	"sherman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"and"	"a"	"achieve"	"balance"	"achieve_and"	"and_a"	"a_balance"	"be_achieve_and"	"achieve_and_a"	"and_a_balance"	"a_balance_between"	"VB"	"VB"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"are"	"attempt"	"do"	"be"	"achieve"	"and"	"maintain"	"a"	"balance"	"between"	"medium"	"density"	"and"	"low_density"	"residential"	"areas"	"and"	"industrial"	"and"	"commercial"	"development"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"for_the_purpose_of"	"international"	"∅"	"peace"	"∅_for_the_purpose_of"	"for_the_purpose_of_international"	"international_peace"	"∅_∅_for_the_purpose_of"	"∅_for_the_purpose_of_international"	"for_the_purpose_of_international_peace"	"international_peace_and"	"ε"	"ε"	"RB"	"VB"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maintain"	"international"	"peace"	"and"	"promote"	"the"	"advancement"	"of"	"all"	"people"	"the"	"united_states_of_america"	"join"	"in"	"found"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"by"	"the"	"∅"	"nuclear"	"∅_by"	"by_the"	"the_nuclear"	"∅_∅_by"	"∅_by_the"	"by_the_nuclear"	"the_nuclear_deterrent"	"ε"	"ε"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maintain"	"the"	"nuclear"	"deterrent"	"but"	"gear"	"american"	"military_forces"	"to"	"fight"	"conventional"	"wars"	"too"	"secretary_of_state"	"rusk"	"junk"	"bluff"	"and"	"nuclear"	"brinkmanship"	"and"	"build"	"more"	"muscle"	"and"	"greater"	"safety"	"into"	"our"	"military"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"zen"	"that"	"∅"	"cognitive"	"∅_zen"	"zen_that"	"that_cognitive"	"∅_∅_zen"	"∅_zen_that"	"zen_that_cognitive"	"that_cognitive_things"	"ε"	"ε"	"NNP"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maintain"	"that"	"cognitive"	"things"	"be"	"only"	"the"	"surface"	"of"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"the"	"in_turn"	"system"	"in_turn_,"	",_the"	"the_system"	",_in_turn_,"	"in_turn_,_the"	",_the_system"	"the_system_of"	"ε"	"RB"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"study"	"of"	"marriage"	"patterns"	"for"	"this"	"group"	"consanguinity"	"produce"	"the"	"system"	"a"	"system"	"of"	"affinities"	"which"	"in_turn"	"maintain"	"the"	"system"	"of"	"consanguinity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"of"	"the"	"process"	"boundary"	"process_of"	"of_the"	"the_boundary"	"the_process_of"	"process_of_the"	"of_the_boundary"	"the_boundary_."	"DT"	"NN"	"IN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fertility_rate"	"pattern"	"would"	"seem"	"to"	"be"	"a"	"function"	"a"	"latent"	"one"	"of"	"the"	"process"	"of"	"maintain"	"the"	"boundary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"will"	"a"	")"	"complete"	")_will"	"will_a"	"a_complete"	"bruce_st._john_)_will"	")_will_a"	"will_a_complete"	"a_complete_file"	"NNP"	"ε"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"enable"	"students"	"and"	"the"	"public"	"to"	"spot"	"sloan"	"forgeries"	"delaware_art_center"	"according"	"to"	"its"	"director"	"bruce_st._john"	"will"	"maintain"	"a"	"complete"	"file"	"of"	"photographs"	"of"	"all"	"sloan"	"works"	"as_well"	"as"	"a"	"card"	"index"	"file"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"in"	"a"	"involve"	"house"	"involve_in"	"in_a"	"a_house"	"problems_involve_in"	"involve_in_a"	"in_a_house"	"a_house_."	"NNS"	"VB"	"IN"	"VB"	"DT"	"NN"	"ε"	"and"	"personal"	"circumstances"	"vary"	"widely"	"among"	"those"	"now"	"choose"	"apartments"	"leo_j._pantas"	"vice_president"	"of"	"a"	"hardware"	"manufacturing"	"company"	"point_out"	"recently"	"that"	"many"	"apartment"	"seekers"	"seem"	"to"	"have"	"one"	"characteristic"	"in"	"common"	"a"	"desire"	"for"	"greater"	"convenience"	"and"	"freedom"	"from"	"problems"	"involve"	"in"	"a"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"never"	"that"	"arms"	"sex"	"arms_never"	"never_that"	"that_sex"	"to_arms_never"	"arms_never_that"	"never_that_sex"	"that_sex_be"	"TO"	"NNP"	"RB"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"hemingway"	"for"	"all"	"his"	"efforts"	"to"	"formulate"	"a"	"naturalistic"	"morality"	"the"	"sun"	"also"	"rises"	"and"	"a"	"farewell"	"to"	"arms"	"never"	"maintain"	"that"	"sex"	"be"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
