"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"
"3:01:00::"	"dominated"	"base"	"russian"	"."	"russian_dominated"	"dominated_base"	"base_."	"a_russian_dominated"	"russian_dominated_base"	"dominated_base_."	"base_._∅"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"cuban"	"group"	"whatever"	"may"	"have"	"been"	"the"	"setback"	"result"	"from"	"the"	"unsuccessful"	"attempt"	"of"	"the"	"cuban"	"rebel"	"to"	"establish"	"a"	"beachhead"	"on"	"the"	"person"	"held"	"mainland"	"last"	"week"	"there"	"was"	"at_least"	"one"	"benefit"	"and"	"that"	"be"	"the"	"clear-cut"	"revelation"	"to"	"the"	"whole"	"world"	"of"	"complete"	"conversion"	"of"	"cuba"	"into"	"russian"	"dominated"	"military"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"russian"	"equipment"	"this"	"."	"this_russian"	"russian_equipment"	"equipment_."	"get_this_russian"	"this_russian_equipment"	"russian_equipment_."	"equipment_._∅"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"of"	"the"	"major"	"reason"	"for"	"the"	"failure"	"of"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"russian"	"penetration"	"of_this"	"of"	"of_this_russian"	"russian_penetration"	"penetration_of"	"extent_of_this_russian"	"of_this_russian_penetration"	"russian_penetration_of"	"penetration_of_cuba"	"NN"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"the"	"extent"	"of_this"	"russian"	"military"	"penetration"	"of"	"cuba"	"be"	"clear"	"person"	"announce"	"we"	"would"	"take"	"whatever"	"action"	"be"	"appropriate"	"to"	"prevent"	"this"	"even"	"if"	"we"	"have"	"to"	"go"	"it"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"of"	"and"	"view"	"civilian"	"view_of"	"of_and"	"and_civilian"	"the_view_of"	"view_of_and"	"of_and_civilian"	"and_civilian_expert"	"DT"	"NN"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blockade"	"in"	"view"	"of"	"military"	"and"	"civilian"	"expert"	"could"	"restore"	"tooth"	"to"	"the"	"monroe_doctrine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"∅"	"expert"	"∅"	"say"	"∅_∅"	"∅_expert"	"expert_say"	"∅_∅_∅"	"∅_∅_expert"	"∅_expert_say"	"expert_say_a"	"ε"	"ε"	"ε"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expert"	"say"	"a"	"tight"	"naval_blockade"	"off"	"cuban"	"port"	"and"	"at"	"the"	"approach"	"to"	"cuban"	"water"	"would"	"require"	"two"	"naval"	"task_force"	"each"	"build"	"around"	"an"	"aircraft_carrier"	"with"	"a"	"complement"	"of"	"about"	"plane"	"and"	"several"	"destroyer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"nature"	"of"	"will"	"of_a"	"a_nature"	"nature_will"	"primarily_of_a"	"of_a_nature"	"a_nature_will"	"nature_will_,"	"RB"	"IN"	"DT"	"JJ"	"NN"	"MD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"and"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	
"3:01:00::"	"with"	"and"	"compatible"	"security"	"compatible_with"	"with_and"	"and_security"	"extent_compatible_with"	"compatible_with_and"	"with_and_security"	"and_security_requirement"	"NN"	"JJ"	"IN"	"JJ"	"CC"	"NN"	"NN"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"second-rate"	"power"	"a"	"."	"a_second-rate"	"second-rate_power"	"power_."	"-_a_second-rate"	"a_second-rate_power"	"second-rate_power_."	"power_._∅"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"be"	"that"	"america"	"had"	"become"	"was"	"in_danger_of"	"become"	"a"	"second-rate"	"military"	"power"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"certain"	"supply"	"on"	"item"	"on_certain"	"certain_supply"	"supply_item"	"country_on_certain"	"on_certain_supply"	"certain_supply_item"	"supply_item_."	"NN"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department_of_defense"	"appropriation"	"act"	"for"	"the"	"past"	"several"	"year"	"have"	"contain"	"rider"	"which"	"limit"	"competitive"	"bid"	"by"	"firm"	"in"	"country"	"on"	"certain"	"military"	"supply"	"item"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"strength"	"level"	","	"level_of"	"of_strength"	"strength_,"	"reasonable_level_of"	"level_of_strength"	"of_strength_,"	"strength_,_without"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"task"	"of"	"a"	"reasonable"	"level"	"of"	"military"	"strength"	"without"	"endanger"	"vital"	"aspect"	"of"	"our"	"security"	"is"	"greatly"	"complicate"	"by"	"the"	"swift"	"pace"	"of"	"scientific"	"progress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
