"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"3:00:00::"	"a"	"farmer"	"for"	"to"	"for_a"	"a_farmer"	"farmer_to"	"profitable_for_a"	"for_a_farmer"	"a_farmer_to"	"farmer_to_own"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"may"	"not"	"profitable"	"for"	"a"	"part-time"	"farmer"	"to"	"own"	"the"	"laborsaving"	"machinery"	"that"	"a"	"full-time"	"farmer"	"can"	"invest"	"in"	"profitably"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"basis"	"on"	"."	"on_a"	"a_basis"	"basis_."	"profitably_on_a"	"on_a_basis"	"a_basis_."	"basis_._∅"	"RB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"cost"	"of"	"land"	"supplies"	"and"	"labor"	"make"	"it"	"difficult"	"to"	"farm"	"profitably"	"a"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"farmer"	"∅"	"need"	"∅_a"	"a_farmer"	"farmer_need"	"∅_∅_a"	"∅_a_farmer"	"a_farmer_need"	"farmer_need_unusual"	"ε"	"ε"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farmer"	"need"	"unusual"	"skill"	"to"	"get"	"as"	"high"	"production"	"per"	"hen"	"per"	"cow"	"or"	"per"	"acre"	"as"	"can"	"be"	"obtain"	"by"	"a"	"competent"	"full-time"	"farmer"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"farming"	"∅"	"give"	"∅_∅"	"∅_farming"	"farming_give"	"∅_∅_∅"	"∅_∅_farming"	"∅_farming_give"	"farming_give_a"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farming"	"give"	"a"	"measure"	"of"	"security"	"if"	"the"	"regular"	"job"	"is"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"and"	"furnish"	"enough"	"income"	"to"	"meet"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	
"3:00:00::"	","	"farming"	"retired_person"	"be"	"retired_person_,"	",_farming"	"farming_be"	"some_retired_person_,"	"retired_person_,_farming"	",_farming_be"	"farming_be_a"	"DT"	"NN"	"ε"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"retired_person"	"part-time"	"farming"	"be"	"a"	"good"	"way"	"to"	"supplement"	"retirement"	"income"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"farmer"	"∅"	"and"	"∅_a"	"a_farmer"	"farmer_and"	"∅_∅_a"	"∅_a_farmer"	"a_farmer_and"	"farmer_and_his"	"ε"	"ε"	"DT"	"JJ"	"NN"	"CC"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farmer"	"and"	"his"	"family"	"can"	"use"	"their"	"spare_time"	"profitably"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"farming"	"∅"	"can"	"∅_∅"	"∅_farming"	"farming_can"	"∅_∅_∅"	"∅_∅_farming"	"∅_farming_can"	"farming_can_take"	"ε"	"ε"	"ε"	"JJ"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"farming"	"can"	"take"	"comparatively"	"little"	"land"	"labor"	"and"	"equipment"	"or"	"a"	"great_deal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"farm"	"select"	"."	"select_a"	"a_farm"	"farm_."	"you_select_a"	"select_a_farm"	"a_farm_."	"farm_._∅"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"discuss"	"below"	"be"	"some"	"of"	"the"	"main"	"thing"	"to"	"look_for"	"you"	"select"	"a"	"part-time"	"farm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"any"	"farm"	"on"	"you"	"on_any"	"any_farm"	"farm_you"	"house_on_any"	"on_any_farm"	"any_farm_you"	"farm_you_are"	"NN"	"IN"	"DT"	"JJ"	"NN"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"the"	"on"	"any"	"part-time"	"farm"	"you"	"are"	"consider"	"make"	"a"	"satisfactory"	"full-time"	"residence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"work"	"on"	"help"	"custodial"	"help_work"	"work_on"	"on_custodial"	"cafeteria_help_work"	"help_work_on"	"work_on_custodial"	"on_custodial_or"	"NN"	"NN"	"VB"	"JJ"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"there"	"possibility"	"cafeteria"	"help"	"work"	"part-time"	"on"	"custodial"	"or"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"doctor"	"with"	"or"	"with_a"	"a_doctor"	"doctor_or"	"replace_with_a"	"with_a_doctor"	"a_doctor_or"	"doctor_or_one"	"VB"	"IN"	"DT"	"JJ"	"NN"	"CC"	"CD"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"a"	"full-time"	"doctor"	"can"	"he"	"be"	"with"	"a"	"part-time"	"doctor"	"or"	"one"	"who"	"serve"	"on"	"a"	"fee"	"per"	"case"	"basis"	"only"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
