"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"	"A165"	"A166"	"A167"	"A168"	"A169"	"A170"	"A171"	"A172"	"A173"	"A174"	"A175"	"A176"	"A177"	"A178"	"A179"	"A180"	"A181"	"A182"	"A183"	"A184"	"A185"	"A186"	"A187"	"A188"	"A189"	"A190"	"A191"	"A192"	"A193"	"A194"	"A195"	"A196"	"A197"	"A198"	"A199"
"1:21:00::"	"if"	"shall"	","	"have"	",_if"	"if_shall"	"shall_have"	"and_,_if"	",_if_shall"	"if_shall_have"	"shall_have_been"	"CC"	"ε"	"IN"	"NN"	"MD"	"VB"	"VBN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"penalty"	"provide"	"in"	"title"	"united_states"	"code"	"section"	"any"	"person"	"guilty"	"of"	"any"	"act"	"as"	"provide"	"therein"	"with_respect_to"	"any"	"under"	"this"	"title"	"shall"	"forfeit"	"all"	"right"	"under"	"this"	"title"	"and"	"if"	"payment"	"shall"	"have"	"been"	"make"	"or"	"grant"	"the"	"commission"	"shall"	"take"	"such"	"action"	"as"	"may"	"be"	"necessary"	"to"	"recover"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"each"	"make"	"of"	"pursuant"	"of_each"	"each_make"	"make_pursuant"	"amount_of_each"	"of_each_make"	"each_make_pursuant"	"make_pursuant_to"	"NN"	"IN"	"DT"	"NN"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"shall"	"be"	"deducted"	"the"	"amount"	"of"	"each"	"payment"	"make"	"pursuant"	"to"	"subsection"	"c"	"of"	"section"	"as"	"reimbursement"	"for"	"the"	"expense"	"incur"	"by"	"the"	"united_states"	"an"	"amount"	"equal"	"to"	"per_centum"	"of"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"such"	"."	"of"	"∅"	"of_such"	"such_."	"._∅"	"per_centum_of_such"	"of_such_."	"such_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"shall"	"be"	"deducted"	"from"	"the"	"amount"	"of"	"each"	"payment"	"make"	"pursuant"	"to"	"subsection"	"c"	"of"	"section"	"as"	"reimbursement"	"the"	"expense"	"incur"	"by"	"the"	"united_states"	"an"	"amount"	"equal"	"to"	"per_centum"	"of"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"∅"	"make"	"∅"	"pursuant"	"∅_∅"	"∅_make"	"make_pursuant"	"∅_∅_∅"	"∅_∅_make"	"∅_make_pursuant"	"make_pursuant_to"	"ε"	"ε"	"ε"	"NN"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"pursuant"	"to"	"this"	"title"	"shall"	"be"	"make"	"only"	"to"	"the"	"person"	"or"	"person"	"on"	"behalf"	"of"	"whom"	"the"	"award"	"is"	"make"	"except"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"shall"	"disability"	"be"	"disability_,"	",_shall"	"shall_be"	"legal_disability_,"	"disability_,_shall"	",_shall_be"	"shall_be_make"	"JJ"	"NN"	"ε"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"such"	"person"	"be"	"deceased"	"be"	"under"	"a"	"legal"	"disability"	"payment"	"shall"	"be"	"make"	"to"	"his"	"legal"	"representative"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"shall"	"make"	"be"	"make_,"	",_shall"	"shall_be"	"is_make_,"	"make_,_shall"	",_shall_be"	"shall_be_make"	"VBZ"	"VB"	"ε"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"case"	"of"	"a"	"partnership"	"or"	"corporation"	"the"	"existence"	"of"	"which"	"been"	"terminate"	"and"	"on"	"behalf"	"of"	"which"	"an"	"award"	"is"	"make"	"payment"	"shall"	"be"	"make"	"except"	"as"	"provide"	"in"	"paragraph"	"and"	"to"	"the"	"person"	"or"	"person"	"find"	"by"	"the"	"comptroller_general"	"of"	"the"	"united_states"	"to"	"be"	"entitled"	"thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	","	"date"	"payment"	"date_of"	"of_,"	",_payment"	"the_date_of"	"date_of_,"	"of_,_payment"	",_payment_shall"	"DT"	"NN"	"IN"	"NN"	"ε"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"has"	"been"	"duly"	"appoint"	"by"	"court"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"and"	"has"	"not"	"been"	"discharge"	"prior"	"to"	"the"	"date"	"of"	"payment"	"payment"	"shall"	"be"	"make"	"to"	"such"	"receiver"	"or"	"trustee"	"in"	"accordance"	"with"	"the"	"order"	"of"	"the"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"shall"	"payment"	"be"	"payment_,"	",_shall"	"shall_be"	"of_payment_,"	"payment_,_shall"	",_shall_be"	"shall_be_make"	"IN"	"NN"	"ε"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"has"	"been"	"duly"	"appoint"	"by"	"a"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"and"	"has"	"not"	"been"	"discharge"	"prior"	"to"	"the"	"date"	"of"	"payment"	"payment"	"shall"	"be"	"make"	"to"	"such"	"receiver"	"or"	"trustee"	"in"	"accordance"	"with"	"the"	"order"	"of"	"the"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"shall"	"thereof"	"be"	"thereof_,"	",_shall"	"shall_be"	"part_thereof_,"	"thereof_,_shall"	",_shall_be"	"shall_be_make"	"NN"	"RB"	"ε"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"duly"	"appoint"	"by"	"a"	"court"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"make"	"an"	"assignment"	"of"	"the"	"or"	"any"	"part"	"thereof"	"with_respect_to"	"which"	"an"	"award"	"is"	"make"	"or"	"make"	"an"	"assignment"	"of"	"such"	"award"	"or"	"any"	"part"	"thereof"	"payment"	"shall"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	"and"	"in"	"the"	"case"	"of"	"any"	"assignment"	"of"	"an"	"award"	"or"	"any"	"part"	"thereof"	"which"	"is"	"make"	"in_writing"	"and"	"duly"	"acknowledge"	"and"	"file"	"after"	"such"	"award"	"is"	"certify"	"to"	"the"	"secretary_of_the_treasury"	"payment"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"may"	"secretary_of_the_treasury"	","	"secretary_of_the_treasury_,"	",_may"	"may_,"	"the_secretary_of_the_treasury_,"	"secretary_of_the_treasury_,_may"	",_may_,"	"may_,_in"	"DT"	"NN"	"ε"	"NN"	"MD"	"ε"	"IN"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"duly"	"appoint"	"by"	"a"	"court"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"make"	"an"	"assignment"	"of"	"the"	"claim"	"or"	"any"	"part"	"thereof"	"with_respect_to"	"which"	"an"	"award"	"is"	"make"	"or"	"make"	"an"	"assignment"	"of"	"such"	"award"	"or"	"any"	"part"	"thereof"	"payment"	"shall"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	"and"	"in"	"the"	"case"	"of"	"any"	"assignment"	"of"	"an"	"award"	"or"	"any"	"part"	"thereof"	"which"	"is"	"make"	"in_writing"	"and"	"duly"	"acknowledge"	"and"	"file"	"after"	"such"	"award"	"is"	"certify"	"to"	"the"	"secretary_of_the_treasury"	"payment"	"may"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
