"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"3:00:00::"	"hard"	"labor"	"∅"	"and"	"∅_hard"	"hard_labor"	"labor_and"	"∅_∅_hard"	"∅_hard_labor"	"hard_labor_and"	"labor_and_undesirable"	"ε"	"ε"	"JJ"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"physical"	"labor"	"and"	"undesirable"	"hours"	"be"	"a"	"part"	"of"	"farm"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"regular"	"examination"	"or"	"program"	"or_regular"	"regular_examination"	"examination_program"	"annual_or_regular"	"or_regular_examination"	"regular_examination_program"	"examination_program_,"	"JJ"	"CC"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"annual"	"or"	"regular"	"physical"	"examination"	"program"	"be"	"it"	"worth"	"what"	"it"	"is"	"cost"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"and"	"to"	"mental"	"to_the"	"the_and"	"and_mental"	"relationship_to_the"	"to_the_and"	"the_and_mental"	"and_mental_need"	"NN"	"TO"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outdoor_education_project"	"take"	"cognizance"	"of"	"the"	"fact"	"so"	"often"	"overlooked"	"that"	"athletic"	"activity"	"stress"	"in"	"most"	"school"	"program"	"little"	"or"	"no"	"relationship"	"to"	"the"	"physical"	"and"	"mental"	"need"	"and"	"interest"	"of"	"later"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"-"	","	"danger"	"moral"	"danger_-"	"-_,"	",_moral"	"grave_danger_-"	"danger_-_,"	"-_,_moral"	",_moral_,"	"JJ"	"NN"	"ε"	"JJ"	"ε"	"JJ"	"ε"	"lambeth_conference"	"repeat"	"its"	"condemnation"	"of"	"contraception"	"and"	"issue"	"an"	"emphatic"	"warning"	"against"	"the"	"use"	"of"	"unnatural"	"means"	"for"	"the"	"avoidance"	"of"	"conception"	"together_with"	"the"	"grave"	"danger"	"physical"	"and"	"religious"	"thereby"	"incur"	"and"	"against"	"the"	"evil"	"which"	"the"	"extension"	"of"	"such"	"use"	"threaten"	"the"	"human_race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"'s"	"eye"	"person"	"be"	"person_'s"	"'s_eye"	"eye_be"	",_person_'s"	"person_'s_eye"	"'s_eye_be"	"eye_be_half"	"ε"	"NNP"	"POS"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paint"	"physical"	"eye"	"be"	"half"	"closed"	"while"	"his"	"mind's_eye"	"be"	"wide-open"	"and"	"this"	"circumstance"	"account_for"	"in"	"part"	"for"	"the"	"impression"	"he"	"wish"	"to"	"convey"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"with"	"apparatus"	"equip"	"for"	"equip_with"	"with_apparatus"	"apparatus_for"	"poorly_equip_with"	"equip_with_apparatus"	"with_apparatus_for"	"apparatus_for_experiment"	"RB"	"VB"	"IN"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"person"	"attendance"	"at"	"the"	"university"	"was"	"poorly"	"equip"	"with"	"physical"	"apparatus"	"for"	"experiment"	"in"	"the"	"science"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:material:01"	"the"	"evidence"	"from"	"of"	"from_the"	"the_evidence"	"evidence_of"	"draw_from_the"	"from_the_evidence"	"the_evidence_of"	"evidence_of_the"	"VB"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"same"	"conclusion"	"be"	"draw"	"from"	"the"	"physical"	"evidence"	"of"	"the"	"dark_ages"	"from"	"linguistic"	"distribution"	"and"	"from"	"the"	"survival"	"of"	"early"	"social"	"political"	"and"	"religious"	"pattern"	"into"	"late"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"in"	"fitness"	"head_start"	"over"	"head_start_in"	"in_fitness"	"fitness_over"	"a_head_start_in"	"head_start_in_fitness"	"in_fitness_over"	"fitness_over_all"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"nation"	"wish"	"get"	"a"	"head_start"	"in"	"physical"	"fitness"	"over"	"all"	"nation"	"it"	"would"	"start"	"its"	"kindergarten"	"student"	"on"	"a"	"program"	"of"	"gymnastics"	"the"	"day"	"they"	"enter"	"and"	"thus"	"eliminate"	"a"	"large_number"	"of"	"the"	"problem"	"that"	"plague"	"american"	"school"	
"5:00:00:energetic:00"	"much"	"movement"	"too"	"in"	"too_much"	"much_movement"	"movement_in"	"a_bit_too_much"	"too_much_movement"	"much_movement_in"	"movement_in_the"	"RB"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"direct"	"a"	"difficult"	"play"	"here"	"usually"	"but"	"with"	"just"	"a_bit"	"too"	"much"	"physical"	"movement"	"in"	"the"	"first"	"act"	"for"	"my"	"taste"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"basis"	"as"	"of"	"as_the"	"the_basis"	"basis_of"	"imagery_as_the"	"as_the_basis"	"the_basis_of"	"basis_of_a"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"entire"	"concept"	"cerebral"	"imagery"	"as"	"the"	"physical"	"basis"	"of"	"a"	"mental_image"	"can"	"find"	"no"	"logical"	"support"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
