"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"2:37:00::"	"they"	"the"	"whether"	"6"	"whether_they"	"they_the"	"the_6"	"voters_whether_they"	"whether_they_the"	"they_the_6"	"the_6_-"	"NNS"	"IN"	"PRP"	"VB"	"DT"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"week"	"the"	"board"	"by"	"a"	"to"	"vote"	"to"	"ask"	"voters"	"whether"	"they"	"prefer"	"the"	"junior_high_school"	"system"	"or"	"the"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"he"	"our"	"say"	"dogs"	"say_he"	"he_our"	"our_dogs"	"has_say_he"	"say_he_our"	"he_our_dogs"	"our_dogs_to"	"VBZ"	"VB"	"PRP"	"VB"	"PRP$"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_a"	"motel"	"owner"	"when"	"we"	"stop"	"there"	"again"	"remember"	"us"	"and"	"has"	"say"	"he"	"prefer"	"our"	"dogs"	"to"	"most"	"children"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"thereabouts"	"to"	"dwellers"	"get"	"dwellers_thereabouts"	"thereabouts_to"	"to_get"	"∅_dwellers_thereabouts"	"dwellers_thereabouts_to"	"thereabouts_to_get"	"to_get_their"	"ε"	"NNS"	"RB"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thereabouts"	"prefer"	"to"	"get"	"their"	"apple_pies"	"at"	"the"	"local"	"bakery"	"which"	"have"	"a"	"brick"	"oven"	"fire"	"with"	"redwood"	"billets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"generally"	"to"	"married_couple"	"cope_with"	"married_couple_generally"	"generally_to"	"to_cope_with"	"newly_married_couple_generally"	"married_couple_generally_to"	"generally_to_cope_with"	"to_cope_with_the"	"JJ"	"NN"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"no"	"medical"	"problems"	"the"	"newly"	"married_couple"	"generally"	"prefer"	"to"	"cope_with"	"the"	"adjustments"	"of"	"their"	"new"	"relationship"	"by"	"themselves"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"i"	"to"	"∅"	"speak"	"∅_i"	"i_to"	"to_speak"	"∅_∅_i"	"∅_i_to"	"i_to_speak"	"to_speak_,"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"prefer"	"to"	"speak"	"however"	"of"	"sam_rayburn"	"the"	"person"	"rather_than"	"sam_rayburn"	"the"	"american"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"``"	"contemporary"	"they"	"art"	"they_``"	"``_contemporary"	"contemporary_art"	"say_they_``"	"they_``_contemporary"	"``_contemporary_art"	"contemporary_art_''"	"VB"	"PRP"	"ε"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_few"	"of"	"say"	"they"	"prefer"	"contemporary"	"art"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	","	"timeless"	"roles"	"classical"	"roles_,"	",_timeless"	"timeless_classical"	"professional_roles_,"	"roles_,_timeless"	",_timeless_classical"	"timeless_classical_designs"	"JJ"	"NNS"	"ε"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attractive"	"greer_garson"	"who"	"love"	"beautiful"	"clothes"	"and"	"select"	"as"	"carefully"	"as"	"she"	"does"	"her"	"professional"	"roles"	"prefer"	"timeless"	"classical"	"designs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"on"	"location"	"the"	"location_is"	"is_on"	"on_the"	"of_location_is"	"location_is_on"	"is_on_the"	"on_the_basis"	"IN"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"it"	"may"	"be"	"say"	"that"	"there"	"be"	"no"	"one"	"prevailing"	"practice"	"in"	"rhode_island"	"with_respect_to"	"the"	"taxation"	"of"	"movable"	"property"	"that"	"assessors"	"would"	"like"	"to"	"see"	"an"	"improvement"	"and"	"of"	"those"	"who"	"have"	"an"	"opinion"	"that"	"assessment"	"by"	"the"	"town"	"of"	"location"	"is"	"on"	"the"	"basis"	"of"	"their"	"present"	"knowledge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"i"	"the"	"that"	"liberal"	"that_i"	"i_the"	"the_liberal"	"confess_that_i"	"that_i_the"	"i_the_liberal"	"the_liberal_who"	"VB"	"IN"	"PRP"	"VB"	"DT"	"NN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"must"	"that"	"i"	"prefer"	"the"	"liberal"	"who"	"be"	"personally"	"affected"	"who"	"be"	"willing"	"to"	"send"	"his"	"own"	"child"	"to"	"a"	"mixed"	"school"	"as"	"proof"	"of"	"his"	"faith"	
"2:37:00::"	"would"	"to"	"texan"	"pay"	"texan_would"	"would_to"	"to_pay"	"tax_texan_would"	"texan_would_to"	"would_to_pay"	"to_pay_."	"NN"	"NN"	"MD"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"representative"	"decide"	"thursday"	"against"	"taking_a_poll"	"what"	"kind"	"of"	"tax"	"texan"	"would"	"prefer"	"to"	"pay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
