"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"
"2:41:01::"	"and"	"their"	"reflect"	"region"	"reflect_and"	"and_their"	"their_region"	"to_reflect_and"	"reflect_and_their"	"and_their_region"	"their_region_'s"	"TO"	"VB"	"CC"	"VB"	"PRP$"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_the_meantime"	"while"	"the"	"south"	"has"	"been"	"undergo"	"this"	"phenomenal"	"modernization"	"that"	"be"	"so"	"disappointing"	"to"	"the"	"yankee"	"southern"	"writers"	"have"	"certainly"	"do"	"little"	"to"	"reflect"	"and"	"promote"	"their"	"region"	"progress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"well-planned"	"design"	"library"	"design_to"	"to_well-planned"	"well-planned_library"	"program_design_to"	"design_to_well-planned"	"to_well-planned_library"	"well-planned_library_activities"	"NN"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"system"	"well"	"understand"	"that"	"one"	"of"	"its"	"primary"	"responsibilities"	"be"	"to"	"bring_together"	"children"	"books"	"together"	"consequently"	"an"	"experienced"	"children"	"librarian"	"at"	"conduct"	"a"	"guidance"	"program"	"design"	"to"	"promote"	"well-planned"	"library"	"activities"	"cooperate"	"with"	"the"	"children"	"librarians"	"in"	"member"	"libraries"	"by"	"means"	"of"	"individual"	"conferences"	"workshops"	"and"	"frequent"	"visits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"and"	"the"	"peace"	"advancement"	"peace_and"	"and_the"	"the_advancement"	"international_peace_and"	"peace_and_the"	"and_the_advancement"	"the_advancement_of"	"JJ"	"NN"	"CC"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_the_purpose_of"	"maintain"	"peace"	"and"	"promote"	"the"	"advancement"	"of"	"all"	"people"	"the"	"united_states_of_america"	"join"	"in"	"found"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"will"	"peace"	","	"and"	",_will"	"will_peace"	"peace_and"	"to_,_will"	",_will_peace"	"will_peace_and"	"peace_and_justice"	"VB"	"ε"	"MD"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"united_nations"	"charter"	"set_forth"	"standards"	"if"	"adhere"	"to"	"will"	"promote"	"peace"	"and"	"justice"	"throughout_the_world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"interest"	","	"in"	",_to"	"to_interest"	"interest_in"	"community_,_to"	",_to_interest"	"to_interest_in"	"interest_in_ballet"	"NNP"	"ε"	"TO"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"state_ballet"	"of"	"rhode_island"	"the"	"first"	"incorporated"	"group"	"was"	"form"	"for_the_purpose_of"	"extend"	"of"	"the"	"art"	"of"	"ballet"	"in"	"the"	"community"	"to"	"promote"	"interest"	"in"	"ballet"	"performances"	"to"	"contribute"	"to"	"the"	"cultural"	"life"	"of"	"the"	"state"	"and"	"to"	"provide"	"opportunity"	"for"	"gifted"	"dance"	"students"	"who"	"for"	"one"	"reason"	"or"	"another"	"be"	"unable"	"to"	"pursue"	"a"	"career"	"and"	"to"	"develop"	"for"	"the"	"professional"	"state"	"and"	"now"	"therefore"	"do"	"i"	"john_a._notte"	"jr."	"governor"	"of"	"the"	"state"	"of"	"rhode_island"	"and"	"providence"	"plantations"	"proclaim"	"the"	"week"	"of"	"monday"	"november"	"as"	"the"	"state_ballet"	"of"	"rhode_island"	"week"	"request"	"all"	"rhode_islanders"	"to"	"give"	"special"	"attention"	"to"	"this"	"unusual"	"event"	"which"	"should"	"contribute"	"to"	"the"	"cultural"	"life"	"of"	"the"	"state"	
"2:41:01::"	"to"	"them"	"do"	"''"	"do_to"	"to_them"	"them_''"	"must_do_to"	"do_to_them"	"to_them_''"	"them_''_."	"MD"	"VB"	"TO"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"competent"	"observers"	"believe"	"he"	"is"	"make"	"progress"	"particularly"	"toward"	"what"	"sen._jackson"	"list"	"as"	"the"	"primary"	"need"	"a"	"clearer"	"understanding"	"where"	"our"	"vital"	"national"	"interests"	"lie"	"and"	"we"	"must"	"do"	"to"	"promote"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"growth"	"measures"	"."	"measures_to"	"to_growth"	"growth_."	"reform_measures_to"	"measures_to_growth"	"to_growth_."	"growth_._∅"	"NN"	"NNS"	"TO"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"there"	"be"	"countries"	"where"	"with"	"skillful"	"diplomacy"	"we"	"may"	"be"	"able"	"by"	"our"	"aid"	"to"	"give"	"encouragement"	"to"	"those"	"groups"	"in"	"government"	"which"	"would"	"like"	"press"	"forward"	"with"	"economic"	"and"	"reform"	"measures"	"to"	"promote"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"the"	"effort"	"economic"	"effort_to"	"to_the"	"the_economic"	"the_effort_to"	"effort_to_the"	"to_the_economic"	"the_economic_and"	"DT"	"NN"	"TO"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_most"	"fundamental"	"concept"	"of"	"the"	"new"	"approach"	"to"	"economic"	"aid"	"be"	"the"	"focusing"	"our"	"attention"	"our"	"resources"	"and"	"our"	"energies"	"on"	"the"	"effort"	"to"	"promote"	"the"	"economic"	"and"	"social"	"development"	"of"	"the"	"less"	"developed"	"countries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"fiscal_year"	"more"	"uniform"	"careful"	"uniform_fiscal_year"	"fiscal_year_more"	"more_careful"	"the_uniform_fiscal_year"	"uniform_fiscal_year_more"	"fiscal_year_more_careful"	"more_careful_budgeting"	"DT"	"NN"	"NN"	"VB"	"RBR"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fiscal_year"	"promote"	"more"	"careful"	"budgeting"	"and"	"strengthen"	"control"	"over"	"expenditures"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"excellence"	"purpose"	"in"	"purpose_to"	"to_excellence"	"excellence_in"	"its_purpose_to"	"purpose_to_excellence"	"to_excellence_in"	"excellence_in_scholarship"	"PRP$"	"NN"	"TO"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"private"	"institution"	"support"	"by"	"generous"	"individuals"	"emory_university"	"will"	"recognize"	"no"	"obligation"	"and"	"adopt"	"no"	"policy"	"that"	"would"	"conflict"	"with"	"its"	"purpose"	"to"	"promote"	"excellence"	"in"	"scholarship"	"and"	"christian"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
