"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"4:02:00::"	"say"	"."	"person"	"∅"	"person_say"	"say_."	"._∅"	",_person_say"	"person_say_."	"say_._∅"	"._∅_∅"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"you"	"a"	"favor"	"say"	"quickly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"as"	"as"	"walk"	"he"	"walk_as"	"as_as"	"as_he"	",_walk_as"	"walk_as_as"	"as_as_he"	"as_he_could"	"ε"	"VB"	"RB"	"RB"	"IN"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"walk"	"as"	"quickly"	"as"	"he"	"could"	"person"	"be"	"a"	"lone"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"chart"	"and"	"target"	"briefly"	"target_chart"	"chart_and"	"and_briefly"	"the_target_chart"	"target_chart_and"	"chart_and_briefly"	"and_briefly_tell"	"DT"	"NN"	"NN"	"RB"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"chart"	"quickly"	"and"	"briefly"	"tell"	"you"	"which"	"additive"	"do"	"what"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"but"	"∅"	"carefully"	"∅_∅"	"∅_but"	"but_carefully"	"∅_∅_∅"	"∅_∅_but"	"∅_but_carefully"	"but_carefully_lower"	"ε"	"ε"	"ε"	"RB"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"carefully"	"lower"	"my"	"duffel_bag"	"over"	"the"	"low"	"side"	"rack"	"i"	"step_on"	"the"	"running_board"	"it"	"flop"	"down"	"spring"	"back"	"up"	"and"	"gouge"	"my"	"shin"	"0"	
"4:02:00::"	"creep"	"back"	"that"	"around"	"that_creep"	"creep_back"	"back_around"	"hand_that_creep"	"that_creep_back"	"creep_back_around"	"back_around_to"	"NN"	"WDT"	"VB"	"RB"	"RB"	"RB"	"TO"	"push"	"gently"	"into"	"the"	"room"	"by"	"person"	"whose"	"only"	"part"	"appear"	"be"	"hand"	"that"	"creep"	"back"	"around"	"to"	"the"	"kitchen"	"side"	"of"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"group"	"whip_through"	"the"	"its"	"the_group"	"group_whip_through"	"whip_through_its"	"∅_the_group"	"the_group_whip_through"	"group_whip_through_its"	"whip_through_its_meager"	"ε"	"DT"	"NNP"	"RB"	"VB"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"quickly"	"whip_through"	"its"	"meager"	"fare"	"of"	"group"	"bill"	"approve"	"by"	"committee"	"pass"	"the"	"three"	"on"	"the"	"calendar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"and"	"set"	"apologize"	"the"	"apologize_and"	"and_set"	"set_the"	"person_apologize_and"	"apologize_and_set"	"and_set_the"	"set_the_hat"	"NNP"	"VB"	"CC"	"RB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"quickly"	"set"	"the"	"hat"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"say"	"."	"person"	"∅"	"person_say"	"say_."	"._∅"	",_person_say"	"person_say_."	"say_._∅"	"._∅_∅"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_right"	"person"	"quickly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"letter"	","	"the"	"stamp"	"the_letter"	"letter_,"	",_stamp"	"sign_the_letter"	"the_letter_,"	"letter_,_stamp"	",_stamp_them"	"VB"	"DT"	"NN"	"RB"	"ε"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"the"	"letter"	"quickly"	"stamp"	"them"	"and"	"place"	"them"	"on"	"the"	"hall"	"table"	"for"	"person"	"to"	"mail"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"attention"	"turn"	"but"	"from"	"but_attention"	"attention_turn"	"turn_from"	",_but_attention"	"but_attention_turn"	"attention_turn_from"	"turn_from_saturday"	"ε"	"CC"	"NN"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"good"	"feeling"	"prevail"	"on"	"the"	"group"	"coach"	"monday"	"but"	"attention"	"quickly"	"turn"	"from"	"saturday"	"victory"	"to"	"next"	"week"	"problem"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
