"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"3:01:00::"	"and"	"situation"	"philosophical"	"which"	"philosophical_and"	"and_situation"	"situation_which"	"a_philosophical_and"	"philosophical_and_situation"	"and_situation_which"	"situation_which_has"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"WDT"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"polar"	"concern"	"imitation"	"vs."	"reflect"	"a"	"philosophical"	"and"	"religious"	"situation"	"which"	"has"	"been"	"develop"	"over"	"a"	"long"	"period_of_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:sacred:00"	"on"	"drama"	"conference"	"near"	"conference_on"	"on_drama"	"drama_near"	"a_conference_on"	"conference_on_drama"	"on_drama_near"	"drama_near_paris"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"curiosity"	"was"	"sharpen"	"a"	"day"	"or"	"two"	"before"	"the"	"interview"	"by"	"a"	"conversation"	"i"	"with"	"a"	"well-informed"	"teacher"	"of"	"literature"	"a"	"father"	"at"	"a"	"conference"	"on"	"religious"	"drama"	"near"	"paris"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:sacred:00"	"a"	"significance"	"find"	"to"	"find_a"	"a_significance"	"significance_to"	"who_find_a"	"find_a_significance"	"a_significance_to"	"significance_to_his"	"WP"	"VB"	"DT"	"JJ"	"NN"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"give"	"a"	"theological"	"lead"	"i"	"ask"	"what"	"think"	"about"	"those"	"who"	"find"	"a"	"religious"	"significance"	"to"	"his"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	","	"interest"	"in_general"	"seem"	"in_general_,"	",_interest"	"interest_seem"	"∅_in_general_,"	"in_general_,_interest"	",_interest_seem"	"interest_seem_to"	"ε"	"RB"	"ε"	"JJ"	"NN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"religious"	"interest"	"seem"	"to"	"exist"	"in"	"all"	"part"	"of"	"the"	"metropolis"	"congregational"	"membership"	"however"	"be"	"another"	"thing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"protestant"	"life"	"of"	";"	"of_protestant"	"protestant_life"	"life_;"	"''_of_protestant"	"of_protestant_life"	"protestant_life_;"	"life_;_in_fact"	"ε"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vulnerability"	"of"	"protestant"	"congregation"	"to"	"social"	"difference"	"has"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"religious"	"life"	"in_fact"	"a"	"contrast"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"exclusiveness"	"residential"	"have"	"residential_and"	"and_exclusiveness"	"exclusiveness_have"	"of_residential_and"	"residential_and_exclusiveness"	"and_exclusiveness_have"	"exclusiveness_have_fight"	"IN"	"JJ"	"CC"	"JJ"	"NN"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"american"	"life"	"be"	"committed"	"above_all"	"to"	"productivity"	"and"	"a"	"standard"	"of"	"economic"	"life"	"the"	"countervailing"	"force"	"of"	"residential"	"and"	"religious"	"exclusiveness"	"have"	"fight"	"a"	"desperate"	"rearguard"	"action"	"against"	"the"	"expanding"	"interdependence"	"of"	"the"	"metropolis"	"0"	"0"	"0"	"0"	
"3:01:00::"	"among"	"group"	"strife"	"in"	"strife_among"	"among_group"	"group_in"	"and_strife_among"	"strife_among_group"	"among_group_in"	"group_in_this"	"CC"	"NN"	"IN"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"incident"	"typical"	"of"	"dramatize"	"the"	"distressing"	"fact"	"that"	"no"	"controversy"	"during"	"the"	"last"	"several"	"has"	"cause"	"more"	"tension"	"rancor"	"and"	"strife"	"among"	"religious"	"group"	"in"	"this"	"country"	"than"	"the"	"birth_control"	"issue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"a"	"organization"	"for"	","	"for_a"	"a_organization"	"organization_,"	"temptation_for_a"	"for_a_organization"	"a_organization_,"	"organization_,_especially"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"always"	"temptation"	"for"	"a"	"religious"	"organization"	"especially"	"a"	"powerful"	"or"	"dominant"	"one"	"to"	"impose"	"through"	"the"	"clenched_fist"	"of"	"the"	"law"	"its"	"creedal"	"viewpoint"	"upon"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"-"	","	"thereby"	",_and"	"and_-"	"-_thereby"	"moral_,_and"	",_and_-"	"and_-_thereby"	"-_thereby_incur"	"JJ"	"ε"	"CC"	"JJ"	"ε"	"RB"	"VB"	"lambeth_conference"	"repeat"	"its"	"condemnation"	"of"	"contraception"	"and"	"issue"	"an"	"emphatic"	"warning"	"against"	"the"	"use"	"of"	"unnatural"	"means"	"for"	"the"	"avoidance"	"of"	"conception"	"together_with"	"the"	"grave"	"danger"	"physical"	"moral"	"and"	"religious"	"thereby"	"and"	"against"	"the"	"evil"	"which"	"the"	"extension"	"of"	"such"	"use"	"threaten"	"the"	"human_race"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"a"	"duty"	"be"	"."	"be_a"	"a_duty"	"duty_."	"to_be_a"	"be_a_duty"	"a_duty_."	"duty_._∅"	"TO"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"then"	"many"	"protestant_denomination"	"have"	"made"	"pronouncement"	"in"	"which"	"they"	"not_only"	"birth_control"	"but"	"declare"	"it"	"at_times"	"to"	"be"	"a"	"religious"	"duty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
