"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:41:00::"	"will"	"desmond_d._connall"	"ierulli"	"who"	"ierulli_will"	"will_desmond_d._connall"	"desmond_d._connall_who"	"∅_ierulli_will"	"ierulli_will_desmond_d._connall"	"will_desmond_d._connall_who"	"desmond_d._connall_who_has"	"ε"	"NNP"	"MD"	"VB"	"NNP"	"WP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"replace"	"desmond_d._connall"	"who"	"has"	"been"	"call"	"to"	"active"	"military_service"	"but"	"be"	"expect"	"back"	"on_the_job"	"by"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"sweets"	"sugar"	"sweets_to"	"to_the"	"the_sugar"	"a_lot_of_sweets_to"	"sweets_to_the"	"to_the_sugar"	"the_sugar_in"	"JJ"	"NNS"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"tickets"	"to"	"the"	"movies"	"sporting"	"events"	"and"	"concerts"	"line_up"	"candy"	"and"	"cookies"	"because"	"alcoholics"	"require"	"a_lot_of"	"sweets"	"to"	"replace"	"the"	"sugar"	"in"	"their"	"system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"∅"	"it"	"∅"	"with"	"∅_∅"	"∅_it"	"it_with"	"∅_∅_∅"	"∅_∅_it"	"∅_it_with"	"it_with_the"	"ε"	"ε"	"ε"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"with"	"the"	"statue"	"of"	"one"	"or"	"another"	"of"	"the"	"world"	"famous"	"dictators"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"or"	"the"	"rival"	"king_james_version"	"rival_or"	"or_the"	"the_king_james_version"	"to_rival_or"	"rival_or_the"	"or_the_king_james_version"	"the_king_james_version_,"	"TO"	"VB"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"new_english_bible"	"the"	"old_testament"	"and"	"apocrypha"	"will"	"be"	"publish"	"at"	"future"	"date"	"has"	"not"	"been"	"plan"	"to"	"rival"	"or"	"replace"	"the"	"king_james_version"	"but"	"as"	"its"	"cover"	"states"	"it"	"is"	"offer"	"simply"	"as"	"the"	"bible"	"to"	"all"	"those"	"who"	"will"	"use"	"it"	"in"	"reading"	"teaching"	"or"	"worship"	"0"	"0"	"0"	
"2:41:00::"	","	"the"	"defense"	"dulles"	"defense_,"	",_the"	"the_dulles"	"balanced_defense_,"	"defense_,_the"	",_the_dulles"	"the_dulles_theory"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rusk"	"belief"	"balanced"	"defense"	"replace"	"the"	"dulles"	"theory"	"of"	"massive"	"retaliation"	"remove"	"a"	"grave"	"danger"	"that"	"has"	"exist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"high"	"make"	"mileage"	"make_to"	"to_high"	"high_mileage"	"been_make_to"	"make_to_high"	"to_high_mileage"	"high_mileage_allowances"	"VBN"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unsuccessful"	"efforts"	"been"	"make"	"to"	"replace"	"high"	"mileage"	"allowances"	"with"	"state"	"automobiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"the"	"years"	"queen_mary"	"years_to"	"to_the"	"the_queen_mary"	"several_years_to"	"years_to_the"	"to_the_queen_mary"	"the_queen_mary_."	"JJ"	"NNS"	"TO"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"new"	"queen"	"with"	"the"	"prosaic"	"title"	"of"	"had"	"been"	"plan"	"for"	"several"	"years"	"to"	"replace"	"the"	"queen_mary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"under_consideration"	"the"	"have"	"queen_mary"	"have_under_consideration"	"under_consideration_the"	"the_queen_mary"	"line_have_under_consideration"	"have_under_consideration_the"	"under_consideration_the_queen_mary"	"the_queen_mary_with"	"NN"	"VB"	"JJ"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cunard"	"have"	"under_consideration"	"replace"	"the"	"queen_mary"	"with"	"a"	"ship"	"smaller"	"than"	"tons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"abe_stark"	","	","	",_to"	"to_abe_stark"	"abe_stark_,"	"queens_,_to"	",_to_abe_stark"	"to_abe_stark_,"	"abe_stark_,_the"	"NNP"	"ε"	"TO"	"VB"	"NNP"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mayor"	"decline"	"in"	"two"	"interviews"	"with"	"reporters"	"yesterday"	"to"	"confirm"	"or"	"deny"	"the"	"reports"	"he"	"had"	"decide"	"to"	"run"	"and"	"want"	"mr._screvane"	"who"	"live"	"in"	"queens"	"to"	"replace"	"abe_stark"	"the"	"incumbent"	"as"	"the"	"candidate"	"for"	"president"	"of"	"the"	"city_council"	"and"	"mr._beame"	"who"	"live"	"in"	"brooklyn"	"to"	"replace"	"mr._gerosa"	"as"	"the"	"candidate"	"for"	"controller"	
"2:30:00::"	"to"	"mr._gerosa"	","	"as"	",_to"	"to_mr._gerosa"	"mr._gerosa_as"	"brooklyn_,_to"	",_to_mr._gerosa"	"to_mr._gerosa_as"	"mr._gerosa_as_the"	"NNP"	"ε"	"TO"	"VB"	"NNP"	"IN"	"DT"	"decline"	"in"	"two"	"interviews"	"with"	"reporters"	"yesterday"	"to"	"confirm"	"or"	"deny"	"the"	"reports"	"that"	"he"	"had"	"decide"	"to"	"run"	"and"	"want"	"mr._screvane"	"who"	"live"	"in"	"queens"	"to"	"replace"	"abe_stark"	"the"	"incumbent"	"as"	"the"	"candidate"	"for"	"president"	"of"	"the"	"city_council"	"and"	"mr._beame"	"who"	"live"	"in"	"brooklyn"	"to"	"replace"	"as"	"the"	"candidate"	"for"	"controller"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
