"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"2:32:00::"	"victims"	"."	"his"	"∅"	"his_victims"	"victims_."	"._∅"	"let_his_victims"	"his_victims_."	"victims_._∅"	"._∅_∅"	"VB"	"PRP$"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"buzz"	"be"	"a"	"tireless"	"who"	"never"	"let"	"his"	"victims"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"partially"	"against"	"back"	"the"	"back_partially"	"partially_against"	"against_the"	"his_back_partially"	"back_partially_against"	"partially_against_the"	"against_the_closed"	"PRP$"	"RB"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"big"	"paunchy"	"man"	"named"	"geely"	"be"	"on"	"that"	"side"	"half-turned"	"the"	"seat"	"toward"	"his"	"hatchet-faced"	"companion"	"so_that"	"his"	"back"	"partially"	"rest"	"against"	"the"	"closed"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"appointment"	"with"	"faget"	"gen._j._m."	"faget_appointment"	"appointment_with"	"with_gen._j._m."	"the_faget_appointment"	"faget_appointment_with"	"appointment_with_gen._j._m."	"with_gen._j._m._swing"	"DT"	"NNP"	"NN"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"responsibility"	"for"	"faget"	"appointment"	"rest"	"with"	"gen._j._m."	"swing"	"an"	"eisenhower"	"appointee"	"as"	"head"	"of"	"the"	"immigration_service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"am"	"today"	"i"	"in"	"i_am"	"am_today"	"today_in"	"``_i_am"	"i_am_today"	"am_today_in"	"today_in_his"	"ε"	"PRP"	"VBP"	"VB"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"rest"	"today"	"in"	"his"	"wonderful"	"peace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"∅"	"sweetly"	"∅"	"in"	"∅_∅"	"∅_sweetly"	"sweetly_in"	"∅_∅_∅"	"∅_∅_sweetly"	"∅_sweetly_in"	"sweetly_in_jesus"	"ε"	"ε"	"ε"	"VB"	"RB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sweetly"	"in"	"jesus"	"control"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"together"	"mt._olivet_cemetery"	"today"	"mt._olivet_cemetery_,"	",_together"	"together_today"	"in_mt._olivet_cemetery_,"	"mt._olivet_cemetery_,_together"	",_together_today"	"together_today_in"	"IN"	"NNP"	"ε"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mother"	"and"	"daughter"	"who"	"will"	"bury"	"side_by_side"	"in"	"mt._olivet_cemetery"	"rest"	"together"	"today"	"in"	"closed"	"caskets"	"at"	"the"	"lyle_elliott"	"funeral_home"	"mound"	"warren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"society"	"."	"our"	"∅"	"our_society"	"society_."	"._∅"	"which_our_society"	"our_society_."	"society_._∅"	"._∅_∅"	"RB"	"PRP$"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"runaway"	"technology"	"can"	"be"	"do"	"only"	"by"	"assure"	"a"	"humane"	"society"	"and"	"for"	"human_being"	"must"	"be"	"firmly"	"in"	"control"	"of"	"the"	"economics"	"on"	"which"	"our"	"society"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"period"	"time"	"to"	"time_and"	"and_period"	"period_to"	"washup_time_and"	"time_and_period"	"and_period_to"	"period_to_be"	"NN"	"NN"	"CC"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"carefully"	"washup"	"time"	"and"	"rest"	"period"	"to"	"be"	"certain"	"that"	"all"	"time"	"be"	"productive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"happen_in_the"	"in_the_of"	"the_of_the"	"of_the_world"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"this"	"enlarged"	"role"	"in"	"mind"	"i"	"should_like"	"to"	"make"	"a_few"	"suggestion"	"what"	"we"	"in"	"the"	"united_states"	"do"	"or"	"do"	"do"	"will"	"make"	"a"	"very"	"large"	"difference"	"in"	"what"	"happen"	"in"	"the"	"rest"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"the"	"."	"above"	"∅"	"above_the"	"the_."	"._∅"	"out_above_the"	"above_the_."	"the_._∅"	"._∅_∅"	"IN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"of"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"both"	"words"	"and"	"music"	"these"	"six"	"song"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"above"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
