"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:41:01::"	"who"	"as"	","	"vice_president"	",_who"	"who_as"	"as_vice_president"	"mr._reama_,_who"	",_who_as"	"who_as_vice_president"	"as_vice_president_of"	"NNP"	"ε"	"WP"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._reama"	"retire"	"as"	"vice_president"	"of"	"the"	"american_screw_co."	"in"	"say"	"both"	"parties"	"in"	"the"	"last"	"election"	"tell"	"us"	"that"	"we"	"need"	"a"	"five"	"per_cent"	"growth"	"in"	"the"	"gross_national_product"	"but"	"neither"	"tell"	"us"	"how"	"to"	"achieve"	"it"	
"2:41:04::"	"to"	"a"	"money"	"similar"	"money_to"	"to_a"	"a_similar"	"raise_money_to"	"money_to_a"	"to_a_similar"	"a_similar_amount"	"VB"	"NN"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"union_oil_co."	"of"	"california_tuesday"	"offer"	"million"	"in"	"debentures"	"to"	"the"	"public"	"through"	"a"	"group"	"of"	"underwriters"	"head"	"by"	"dillon"	"read"	"co."	"to"	"raise"	"to"	"retire"	"a"	"similar"	"amount"	"hold"	"by"	"gulf_oil_corp."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"virtually"	"-"	"had"	"by"	"had_virtually"	"virtually_-"	"-_by"	"richard_nixon_had_virtually"	"had_virtually_-"	"virtually_-_by"	"-_by_his"	"NNP"	"VBD"	"RB"	"VB"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"election_day"	"vice_president"	"had"	"virtually"	"retire"	"by"	"his"	"own"	"wish"	"from"	"public"	"view"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"in"	"plans"	"1962"	"plans_to"	"to_in"	"in_1962"	"announce_plans_to"	"plans_to_in"	"to_in_1962"	"in_1962_."	"VB"	"NNS"	"TO"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"congressman_walter"	"has"	"be"	"all-powerful"	"in"	"immigration"	"but"	"he"	"has"	"announce"	"plans"	"to"	"retire"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"be"	"."	"will"	"∅"	"will_be"	"be_."	"._∅"	"likelihood_will_be"	"will_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"aging"	"chancellor"	"likelihood"	"will"	"be"	"retire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"and"	"."	"desk"	"∅"	"desk_and"	"and_."	"._∅"	"her_desk_and"	"desk_and_."	"and_._∅"	"._∅_∅"	"PRP$"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._mary_self"	"who"	"know"	"more_than"	"any"	"person"	"about"	"the"	"city"	"employes"	"for"	"whom"	"has"	"keep"	"personnel"	"records"	"over"	"the"	"years"	"close"	"her"	"desk"	"and"	"retire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"eisenhower"	"."	"after"	"∅"	"after_eisenhower"	"eisenhower_."	"._∅"	"congeal_after_eisenhower"	"after_eisenhower_."	"eisenhower_._∅"	"._∅_∅"	"VB"	"IN"	"NNP"	"VB"	"ε"	"ε"	"ε"	"monday"	"it"	"be"	"the"	"apparent"	"intention"	"of"	"the"	"republican_party"	"to"	"campaign"	"on"	"the"	"carcass"	"of_what"	"they"	"call"	"eisenhower_republicanism"	"but"	"the"	"heart"	"stop"	"beat"	"and"	"the"	"lifeblood"	"congeal"	"after"	"eisenhower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"has"	"after"	","	"36"	",_has"	"has_after"	"after_36"	"economic_development_,_has"	",_has_after"	"has_after_36"	"after_36_years"	"NNP"	"ε"	"VBZ"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"william_j._seidel"	"state"	"fire_warden"	"in"	"the"	"department"	"conservation"	"and"	"economic_development"	"has"	"retire"	"after"	"years"	"of"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"are"	"-"	"who"	"voluntarily"	"who_are"	"are_-"	"-_voluntarily"	"republican_state_committee_who_are"	"who_are_-"	"are_-_voluntarily"	"-_voluntarily_-"	"NNP"	"WP"	"VBP"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fifteen"	"members"	"of"	"republican_state_committee"	"who"	"are"	"retire"	"voluntarily"	"this"	"year"	"were"	"honor"	"yesterday"	"by"	"their"	"colleagues"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"you"	"now"	"are"	"?"	"are_you"	"you_now"	"now_?"	"∅_are_you"	"are_you_now"	"you_now_?"	"now_?_∅"	"ε"	"VBP"	"PRP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"retire"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
