"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:35:00::"	","	"in"	"away"	"the"	"away_,"	",_in"	"in_the"	"block_away_,"	"away_,_in"	",_in_the"	"in_the_car"	"NN"	"RB"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"find"	"a"	"parking"	"half"	"a"	"block"	"away"	"sit"	"in"	"the"	"car"	"and"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"i"	"where"	"∅"	"i"	"∅_i"	"i_where"	"where_i"	"∅_∅_i"	"∅_i_where"	"i_where_i"	"where_i_could"	"ε"	"ε"	"PRP"	"VB"	"WRB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"where"	"i"	"could"	"watch"	"the"	"exit"	"and"	"realize"	"i"	"be"	"hungry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"st._louis"	"in"	"east"	"cook_county"	"east_st._louis"	"st._louis_in"	"in_cook_county"	"in_east_st._louis"	"east_st._louis_in"	"st._louis_in_cook_county"	"in_cook_county_court"	"IN"	"NNP"	"NN"	"VB"	"IN"	"NNP"	"NN"	"abuse"	"of"	"the"	"process"	"may"	"have"	"constitute"	"a"	"contempt"	"of"	"the"	"criminal_court"	"of"	"cook"	"county"	"altho"	"vindication"	"of"	"the"	"authority"	"of_that"	"court"	"be"	"not"	"the"	"function"	"of_this"	"court"	"say"	"karns"	"who"	"be"	"city"	"judge"	"in"	"east"	"st._louis"	"in"	"cook_county"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"may"	"together"	"members"	"."	"members_may"	"may_together"	"together_."	"new_members_may"	"members_may_together"	"may_together_."	"together_._∅"	"JJ"	"NNS"	"MD"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arrange"	"a"	"reserved"	"section"	"in"	"sanctuary"	"where"	"all"	"new"	"members"	"may"	"sit"	"together"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"beside"	"come"	"them"	"come_and"	"and_beside"	"beside_them"	"hands_come_and"	"come_and_beside"	"and_beside_them"	"beside_them_."	"NNS"	"VB"	"CC"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"woman"	"covered"	"growing"	"hands"	"come"	"and"	"sit"	"beside"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"in"	"∅"	"the"	"∅_he"	"he_in"	"in_the"	"∅_∅_he"	"∅_he_in"	"he_in_the"	"in_the_stands"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"in"	"the"	"stands"	"and"	"he"	"does"	"n't"	"like"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"there"	"∅"	"remember"	"∅_he"	"he_there"	"there_remember"	"∅_∅_he"	"∅_he_there"	"he_there_remember"	"there_remember_the"	"ε"	"ε"	"PRP"	"VB"	"EX"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"there"	"remember"	"the"	"tense"	"moment"	"before"	"the"	"ball"	"was"	"snap"	"the"	"churning"	"of"	"straining"	"feet"	"the"	"rasp"	"of"	"the"	"canvas"	"pants"	"the"	"smell"	"and"	"feel"	"of"	"hot"	"wet"	"woolen"	"sleeves"	"across"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"creighton_hague"	"in"	"∅"	"his"	"∅_creighton_hague"	"creighton_hague_in"	"in_his"	"∅_∅_creighton_hague"	"∅_creighton_hague_in"	"creighton_hague_in_his"	"in_his_office"	"ε"	"ε"	"NNP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"in"	"his"	"office"	"above"	"the"	"ione"	"pit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"who"	"and"	"those"	"draw"	"those_who"	"who_and"	"and_draw"	",_those_who"	"those_who_and"	"who_and_draw"	"and_draw_welfare"	"ε"	"DT"	"WP"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"county"	"though"	"seem"	"more"	"interested"	"in"	"those"	"people"	"do"	"n't"	"even"	"try"	"those"	"who"	"sit"	"and"	"draw"	"welfare"	"checks"	"and"	"line_up"	"for"	"surplus"	"food"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"st._louis"	"in_the_center"	"∅"	"of"	"∅_st._louis"	"st._louis_in_the_center"	"in_the_center_of"	"∅_∅_st._louis"	"∅_st._louis_in_the_center"	"st._louis_in_the_center_of"	"in_the_center_of_a"	"ε"	"ε"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sit"	"in_the_center"	"of"	"a"	"relatively"	"slow-growing"	"and"	"in"	"some"	"places"	"stagnant"	"mid-continent"	"region"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
