"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"5:00:00:cardinal:00"	"for"	"mile"	"uninterruptedly"	"along"	"uninterruptedly_for"	"for_mile"	"mile_along"	"extend_uninterruptedly_for"	"uninterruptedly_for_mile"	"for_mile_along"	"mile_along_the"	"VB"	"RB"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"below"	"the"	"fort"	"high"	"extend"	"uninterruptedly"	"for"	"six"	"mile"	"along"	"the"	"mississippi_river"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"include"	"month"	"season"	"of"	"season_include"	"include_month"	"month_of"	"on_season_include"	"season_include_month"	"include_month_of"	"month_of_hunting"	"IN"	"NN"	"VB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"would"	"you"	"like"	"to"	"organize"	"teen"	"hunter"	"club"	"program"	"and"	"have"	"information"	"on"	"season"	"include"	"six"	"month"	"of"	"hunting"	"with"	"unlimited"	"game"	"bag"	"on"	"shooting_preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"∅"	"year"	"∅"	"ago"	"∅_∅"	"∅_year"	"year_ago"	"∅_∅_∅"	"∅_∅_year"	"∅_year_ago"	"year_ago_location"	"ε"	"ε"	"ε"	"JJ"	"NN"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"year"	"ago"	"location"	"though"	"in"	"trouble"	"be"	"in"	"the"	"western"	"camp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"the"	"slug"	"pull_out"	"he"	"pull_out_the"	"the_slug"	"slug_he"	"and_pull_out_the"	"pull_out_the_slug"	"the_slug_he"	"slug_he_had"	"CC"	"VB"	"DT"	"JJ"	"NN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"before"	"his"	"mind"	"had"	"round_out"	"the"	"idea"	"he"	"one"	"hand"	"into"	"his"	"trouser"	"pocket"	"and"	"pull_out"	"the"	"six"	"slug"	"he"	"had"	"take"	"from"	"the"	"revolver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"these"	"song"	","	"by"	",_these"	"these_song"	"song_by"	"music_,_these"	",_these_song"	"these_song_by"	"song_by_person"	"NN"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"the"	"negro"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"of"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"words"	"and"	"music"	"six"	"song"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"than"	"or"	"less"	"seven"	"less_than"	"than_or"	"or_seven"	"no_less_than"	"less_than_or"	"than_or_seven"	"or_seven_saloon"	"RB"	"RB"	"RB"	"JJ"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"less"	"than"	"six"	"or"	"seven"	"saloon"	"in"	"location"	"not"	"count"	"the"	"lower_class"	"dive"	"all"	"vie"	"for"	"the"	"trade"	"of"	"celebrate"	"miner"	"and"	"teamster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"about"	"subordinate"	"direct"	"if"	"direct_about"	"about_subordinate"	"subordinate_if"	"can_direct_about"	"direct_about_subordinate"	"about_subordinate_if"	"subordinate_if_the"	"MD"	"VB"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"assumption"	"upon"	"which"	"the"	"example"	"show"	"in"	"figure"	"is"	"be"	"a"	"one"	"man"	"can"	"direct"	"about"	"six"	"subordinate"	"if"	"the"	"subordinate"	"are"	"choose"	"carefully"	"so"	"that"	"they"	"do"	"not"	"need"	"too_much"	"personal"	"coach"	"indoctrinate"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"sub-test"	"battery"	":"	"battery_of"	"of_sub-test"	"sub-test_:"	"a_battery_of"	"battery_of_sub-test"	"of_sub-test_:"	"sub-test_:_paragraph"	"NN"	"NN"	"IN"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"stanford_achievement_test"	"form_j"	"was"	"administer"	"by"	"classroom"	"consist_of"	"a"	"battery"	"of"	"six"	"sub-test"	"paragraph"	"meaning"	"word"	"meaning"	"spelling"	"language"	"arithmetic"	"computation"	"and"	"arithmetic"	"reasoning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"contain"	"room"	"house"	"in"	"house_contain"	"contain_room"	"room_in"	"mexican_house_contain"	"house_contain_room"	"contain_room_in"	"room_in_the"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"yard"	"up"	"the"	"creek"	"be"	"cluster"	"of"	"mexican"	"house"	"contain"	"six"	"room"	"in"	"the"	"form"	"of"	"a"	"square"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"fan"	"and"	"person"	"walk"	"person_fan"	"fan_and"	"and_walk"	"∅_person_fan"	"person_fan_and"	"fan_and_walk"	"and_walk_only"	"ε"	"NNP"	"VB"	"JJ"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fan"	"six"	"and"	"walk"	"only"	"person"	"in"	"the"	"third"	"inning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
