"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"3:00:00::"	","	"place"	"limited"	"in"	"limited_,"	",_place"	"place_in"	"a_limited_,"	"limited_,_place"	",_place_in"	"place_in_our"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"corporation"	"a"	"limited"	"specific"	"place"	"in"	"our"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"second"	"comment"	"the"	"be"	"the_second"	"second_comment"	"comment_be"	"∅_the_second"	"the_second_comment"	"second_comment_be"	"comment_be_the"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"specific"	"comment"	"be"	"the"	"report"	"of"	"person"	"commission_on_national_goals"	"titled"	"goals_for_americans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"set"	"objective"	"you"	"for"	"you_set"	"set_objective"	"objective_for"	"have_you_set"	"you_set_objective"	"set_objective_for"	"objective_for_your"	"VBP"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"set"	"specific"	"objective"	"for"	"your"	"employee"	"publication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"fraction"	"in"	"be"	"in_the"	"the_fraction"	"fraction_be"	"wtv_in_the"	"in_the_fraction"	"the_fraction_be"	"fraction_be_1"	"NNP"	"IN"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"after"	"pass_through"	"f"	"through"	"deae_cellulose"	"the"	"titer"	"of"	"antibody"	"to"	"wtv"	"in"	"specific"	"fraction"	"be"	"of"	"the"	"titer"	"before"	"such"	"passage"	"precipitin"	"ring"	"test"	"by"	"person"	"but"	"mere"	"dilution"	"of"	"the"	"conjugate"	"to"	"did"	"not"	"satisfactorily"	"remove"	"nonspecific"	"staining"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"staining"	"∅"	"by"	"∅_∅"	"∅_staining"	"staining_by"	"∅_∅_∅"	"∅_∅_staining"	"∅_staining_by"	"staining_by_deae_cellulose"	"ε"	"ε"	"ε"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"staining"	"by"	"deae_cellulose"	"treat"	"f"	"and"	"f"	"although"	"clearly"	"distinguishable"	"under"	"the"	"microscope"	"from"	"either"	"nonspecific"	"staining"	"or"	"autofluorescence"	"of"	"cell"	"was"	"not"	"satisfactorily"	"photograph"	"to"	"show"	"such"	"difference"	"in_spite_of"	"many"	"attempt"	"with"	"black_and_white"	"and"	"color"	"photography"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"staining"	"result"	"by"	"result_of"	"of_staining"	"staining_by"	"∅_result_of"	"result_of_staining"	"of_staining_by"	"staining_by_the"	"ε"	"NN"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"specific"	"staining"	"by"	"the"	"direct"	"and"	"the"	"indirect"	"method"	"be"	"similar"	"and"	"show"	"the"	"localization"	"of"	"wtv"	"antigen"	"in"	"certain"	"tissue"	"of"	"tumor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"obtain"	"conjugate"	"to"	"was"	"to_obtain"	"obtain_conjugate"	"conjugate_was"	"in_order_to_obtain"	"to_obtain_conjugate"	"obtain_conjugate_was"	"conjugate_was_to"	"RB"	"RB"	"VB"	"JJ"	"NN"	"VBD"	"TO"	"our"	"work"	"the"	"best"	"procedure"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"obtain"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"and"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"staining"	"∅"	"by"	"∅_the"	"the_staining"	"staining_by"	"∅_∅_the"	"∅_the_staining"	"the_staining_by"	"staining_by_both"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"specific"	"staining"	"by"	"both"	"direct"	"and"	"indirect"	"method"	"show"	"that"	"wtv"	"antigen"	"was"	"concentrated"	"in"	"the"	"pseudophloem"	"tissue"	"and"	"in"	"a_few"	"thick"	"walled"	"cell"	"in"	"the"	"xylem"	"region"	"but"	"be"	"not"	"detectable"	"in"	"any"	"tissue"	"of"	"the"	"root"	"and"	"stem"	"tumor"	
"5:00:00:specified:00"	"a"	"field_trial"	"by"	"conduct"	"by_a"	"a_field_trial"	"field_trial_conduct"	"illustrate_by_a"	"by_a_field_trial"	"a_field_trial_conduct"	"field_trial_conduct_with"	"VB"	"IN"	"DT"	"JJ"	"NN"	"VB"	"IN"	"of"	"a"	"biological"	"aerosol"	"on"	"a"	"much"	"smaller"	"scale"	"is"	"illustrate"	"a"	"field_trial"	"conduct"	"with"	"a"	"non"	"pathogenic"	"organism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"host"	"."	"highly"	"∅"	"highly_host"	"host_."	"._∅"	",_highly_host"	"highly_host_."	"host_._∅"	"._∅_∅"	"ε"	"RB"	"NN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"biological"	"agent"	"be"	"highly"	"host"	"specific"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
