"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"2:30:01::"	"of"	"the"	"means"	"economy"	"means_of"	"of_the"	"the_economy"	"give_means_of"	"means_of_the"	"of_the_economy"	"the_economy_of"	"VB"	"NN"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"prepare"	"the"	"state"	"guide"	"plan"	"attention"	"will"	"be"	"give"	"means"	"of"	"strengthen"	"the"	"economy"	"of"	"the"	"state"	"through"	"the"	"development"	"of"	"industry"	"and"	"recreation"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"would"	"the"	"reelection"	"liberal"	"reelection_would"	"would_the"	"the_liberal"	"his_reelection_would"	"reelection_would_the"	"would_the_liberal"	"the_liberal_democrats"	"PRP$"	"NN"	"MD"	"VB"	"DT"	"JJ"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"reelection"	"would"	"strengthen"	"the"	"liberal"	"democrats"	"and"	"the"	"labor_unions"	"who"	"back"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"to"	","	"effort"	"the"	"effort_to"	"to_,"	",_the"	"an_effort_to"	"effort_to_,"	"to_,_the"	",_the_denomination"	"DT"	"NN"	"TO"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"council"	"revise"	"an"	"effort"	"to"	"strengthen"	"the"	"denomination"	"basic"	"beliefs"	"adopt"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"must"	"nato"	"leader"	"politically"	"leader_must"	"must_nato"	"nato_politically"	"a_leader_must"	"leader_must_nato"	"must_nato_politically"	"nato_politically_,"	"DT"	"NN"	"MD"	"VB"	"NNP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"leader"	"must"	"strengthen"	"nato"	"politically"	"and"	"establish"	"that"	"true"	"unity"	"about"	"which"	"it"	"has"	"always"	"talk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"for"	"conventional"	"need"	"forces"	"need_for"	"for_conventional"	"conventional_forces"	"the_need_for"	"need_for_conventional"	"for_conventional_forces"	"conventional_forces_as_well"	"DT"	"NN"	"IN"	"VB"	"JJ"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"annual"	"spring"	"meeting"	"has"	"give"	"an"	"impetus"	"in"	"three"	"main"	"directions"	"deeper"	"and"	"more"	"timely"	"political"	"consultation"	"within"	"the"	"alliance"	"the"	"use"	"of"	"the"	"organization"	"for"	"economic_cooperation"	"and"	"development"	"when"	"ratify"	"a"	"method"	"of"	"coordinate"	"aid"	"to"	"the"	"underdeveloped"	"countries"	"and"	"the"	"need"	"for"	"strengthen"	"conventional"	"forces"	"as_well"	"as"	"the"	"maintenance"	"of"	"the"	"nuclear"	"deterrent"	
"2:30:01::"	"forces"	"is"	"conventional"	"call"	"conventional_forces"	"forces_is"	"is_call"	"the_conventional_forces"	"conventional_forces_is"	"forces_is_call"	"is_call_,"	"DT"	"JJ"	"NNS"	"VB"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"increase"	"in"	"the"	"threshold"	"the"	"conventional"	"forces"	"strengthen"	"is"	"call"	"will"	"prove"	"one"	"of"	"the"	"alliance"	"most"	"difficult"	"problems"	"in"	"the"	"months"	"to"	"come"	"0"	"0"	"0"	"0"	
"2:30:01::"	"is"	"by"	","	"president_kennedy"	",_is"	"is_by"	"by_president_kennedy"	"chatham_,_is"	",_is_by"	"is_by_president_kennedy"	"by_president_kennedy_'s"	"NNP"	"ε"	"VBZ"	"VB"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"move"	"for"	"establishment"	"of"	"a"	"national"	"seashore"	"park"	"on"	"of"	"cape_cod"	"from"	"provincetown"	"to"	"chatham"	"is"	"strengthen"	"by"	"president_kennedy"	"interest"	"in_that"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"and"	"control"	"budgeting"	"over"	"budgeting_and"	"and_control"	"control_over"	"careful_budgeting_and"	"budgeting_and_control"	"and_control_over"	"control_over_expenditures"	"JJ"	"NN"	"CC"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"uniform"	"fiscal_year"	"more"	"careful"	"budgeting"	"and"	"strengthen"	"control"	"over"	"expenditures"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"his"	"and"	"negotiating"	"and_to"	"to_his"	"his_negotiating"	"ills_and_to"	"and_to_his"	"to_his_negotiating"	"his_negotiating_."	"NNS"	"CC"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chairman_khrushchev"	"kennedy"	"rattle"	"his"	"rockets"	"sabre"	"in_order_to"	"cure"	"internal"	"ills"	"and"	"to"	"strengthen"	"his"	"negotiating"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"by"	"the"	"own"	"property_tax"	"own_by"	"by_the"	"the_property_tax"	"their_own_by"	"own_by_the"	"by_the_property_tax"	"the_property_tax_."	"PRP$"	"JJ"	"IN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"notwithstanding"	"state"	"aid"	"the"	"local_governments"	"are"	"continue"	"seek"	"additional"	"revenue"	"of"	"their"	"own"	"by"	"strengthen"	"the"	"property_tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
