"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:32:00::"	"city_council"	"that"	"the"	"the"	"the_city_council"	"city_council_that"	"that_the"	"while_the_city_council"	"the_city_council_that"	"city_council_that_the"	"that_the_legislative_council"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"city_council"	"suggest"	"that"	"the"	"legislative_council"	"might"	"perform"	"the"	"review"	"mr._notte"	"say"	"that"	"instead"	"he"	"will"	"take_up"	"the_matter"	"with"	"atty._gen._j._joseph_nugent"	"to"	"get"	"the"	"benefit"	"of"	"his"	"views"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"investigation"	"newspapers"	"of"	"newspapers_,"	",_investigation"	"investigation_of"	"your_newspapers_,"	"newspapers_,_investigation"	",_investigation_of"	"investigation_of_a"	"PRP$"	"NNS"	"ε"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feelers"	"were"	"put_out_feelers"	"last"	"year"	"to"	"the"	"city"	"warwick"	"as"	"report"	"in"	"your"	"newspapers"	"suggest"	"investigation"	"of"	"a"	"common"	"rubbish"	"disposal"	"area"	"to"	"service"	"the"	"potowomut"	"and"	"cowessett"	"areas"	"of"	"warwick"	"along"	"with"	"east_greenwich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	","	"decline"	"how"	"decline_to"	"to_,"	",_how"	"he_decline_to"	"decline_to_,"	"to_,_how"	",_how_,"	"PRP"	"VB"	"TO"	"VB"	"ε"	"WRB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"decline"	"to"	"suggest"	"how"	"he"	"say"	"that"	"sooner_or_later"	"we"	"must"	"get_rid_of"	"castro"	"for"	"unless"	"we"	"do"	"we"	"liable_to"	"face"	"similar"	"situations"	"in_this"	"hemisphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"rev._mr._brandt"	"the"	"the"	"vision"	"the_rev._mr._brandt"	"rev._mr._brandt_the"	"the_vision"	",_the_rev._mr._brandt"	"the_rev._mr._brandt_the"	"rev._mr._brandt_the_vision"	"the_vision_of"	"ε"	"DT"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"step_up"	"the"	"denomination"	"the"	"rev._mr._brandt"	"suggest"	"the"	"vision"	"of"	"new"	"assemblies"	"of"	"god"	"churches"	"in"	"the"	"next"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"she"	"purely"	","	"and"	",_she"	"she_purely"	"purely_and"	"good_,_she"	",_she_purely"	"she_purely_and"	"purely_and_superbly"	"JJ"	"ε"	"PRP"	"VB"	"RB"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"dancer"	"good"	"she"	"suggest"	"purely"	"and"	"superbly"	"the"	"fundamental"	"mechanics"	"of"	"ancestry"	"and"	"progeny"	"the"	"continuum"	"of"	"mankind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"also"	"the"	"laos"	"advisability"	"laos_also"	"also_the"	"the_advisability"	"and_laos_also"	"laos_also_the"	"also_the_advisability"	"the_advisability_of"	"CC"	"NNP"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"developments"	"in"	"and"	"laos"	"also"	"suggest"	"the"	"advisability"	"of"	"an"	"early"	"summit_meeting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"you"	"in"	"which"	"your"	"which_you"	"you_in"	"in_your"	"(_which_you"	"which_you_in"	"you_in_your"	"in_your_editorial"	"ε"	"WDT"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"the"	"official"	"interpretation"	"of"	"the"	"charter"	"a"	"member"	"cannot"	"be"	"penalize"	"by"	"not"	"have"	"the"	"right_to_vote"	"in"	"the"	"general_assembly"	"for"	"nonpayment"	"of"	"financial_obligations"	"to"	"the"	"special"	"united_nations"	"budgets"	"and"	"of_course"	"cannot"	"be"	"expel"	"from"	"organization"	"which"	"you"	"suggest"	"your"	"editorial"	"due_to"	"the"	"fact"	"that"	"there"	"be"	"no"	"provision"	"in"	"the"	"charter"	"for"	"expulsion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"many_times"	"has"	"that"	"has_been"	"been_many_times"	"many_times_that"	"it_has_been"	"has_been_many_times"	"been_many_times_that"	"many_times_that_a"	"PRP"	"VBZ"	"VBN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"been"	"suggest"	"many_times"	"that"	"a"	"class"	"be"	"set_up"	"for"	"the"	"juniors"	"who"	"be"	"overage"	"and"	"cannot"	"enter"	"the"	"junior_classes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"we"	"this"	"∅"	"class"	"∅_we"	"we_this"	"this_class"	"∅_∅_we"	"∅_we_this"	"we_this_class"	"this_class_in"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"suggest"	"this"	"class"	"in"	"the"	"horse"	"world"	"and"	"it"	"was"	"accept"	"immediately"	"and"	"include"	"in"	"the"	"programs"	"of"	"horse_shows"	"at"	"the"	"recent"	"horse_show"	"convention"	"in"	"new_york"	"it"	"was"	"state"	"that"	"this"	"intermediate_judging_class"	"is"	"meeting_with"	"great"	"success"	"and"	"will"	"be"	"a"	"great"	"help"	"to"	"future"	"judges"	"in"	"the"	"horse"	"world"	
"2:32:03::"	"terminology"	"that"	"technical"	"the"	"technical_terminology"	"terminology_that"	"that_the"	"in_technical_terminology"	"technical_terminology_that"	"terminology_that_the"	"that_the_over-all"	"IN"	"JJ"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"errors"	"technical"	"terminology"	"suggest"	"that"	"the"	"over-all"	"translation"	"from"	"the"	"german"	"may"	"not"	"convey"	"quite"	"everything"	"mr._remarque"	"hope"	"to"	"tell"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
