"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"
"1:28:00::"	"on"	"evening"	"sitting_room"	"."	"sitting_room_on"	"on_evening"	"evening_."	"upstairs_sitting_room_on"	"sitting_room_on_evening"	"on_evening_."	"evening_._∅"	"JJ"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"following"	"year"	"her"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"house"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"feed"	"and"	"mother"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"evening"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	","	","	"saturday"	"or"	"saturday_,"	",_,"	",_or"	"on_saturday_,"	"saturday_,_,"	",_,_or"	",_or_a"	"VB"	"NN"	"ε"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"next"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	","	","	"saturday"	"or"	"saturday_,"	",_,"	",_or"	"a_saturday_,"	"saturday_,_,"	",_,_or"	",_or_legal_holiday"	"DT"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"last"	"day"	"due_date"	"for"	"perform"	"any"	"act"	"for"	"tax"	"purpose"	"such_as"	"filing"	"a"	"return"	"or"	"make"	"a"	"tax"	"payment"	"etc."	"fall"	"on"	"saturday"	"sunday"	"or"	"a"	"legal_holiday"	"you"	"may"	"perform"	"that"	"act"	"on"	"the"	"succeeding"	"day"	"which"	"be"	"not"	"a"	"saturday"	"sunday"	"or"	"legal_holiday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"every"	"benediction"	"at"	"they"	"at_every"	"every_benediction"	"benediction_they"	"and_at_every"	"at_every_benediction"	"every_benediction_they"	"benediction_they_recite"	"CC"	"IN"	"DT"	"NN"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"hope"	"of_course"	"to"	"reclaim"	"the"	"non-catholic"	"population"	"the"	"catholic"	"faith"	"and"	"at"	"every"	"sunday"	"benediction"	"they"	"recite"	"by_heart"	"the"	"prayer_for_england"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"daylight"	"morning"	"before"	","	"before_daylight"	"daylight_morning"	"morning_,"	"∅_before_daylight"	"before_daylight_morning"	"daylight_morning_,"	"morning_,_a"	"ε"	"IN"	"NN"	"NN"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"daylight"	"sunday"	"morning"	"a"	"posse"	"twenty-three"	"man"	"under"	"the"	"leadership"	"of"	"person"	"of"	"location"	"follow"	"the"	"trail"	"to"	"the"	"house"	"of"	"person"	"where"	"to"	"mexican"	"had"	"gather"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"''"	"night"	"lucia_di_lammermoor"	"."	"lucia_di_lammermoor_''"	"''_night"	"night_."	"``_lucia_di_lammermoor_''"	"lucia_di_lammermoor_''_night"	"''_night_."	"night_._∅"	"ε"	"NNP"	"ε"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"person"	"may"	"not"	"have"	"anticipate"	"the"	"tremendous"	"reception"	"she"	"receive"	"from"	"metropolitan_opera"	"audience"	"attend"	"her"	"debut"	"as"	"person"	"in"	"person"	"lucia_di_lammermoor"	"sunday"	"night"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	","	"3"	"pm"	"pm"	"pm_,"	",_3"	"3_pm"	"8_pm_,"	"pm_,_3"	",_3_pm"	"3_pm_to"	"JJ"	"NN"	"ε"	"NN"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"painting"	"and"	"drawing"	"by"	"person"	"of"	"location"	"virgin_islands"	"are"	"show"	"thru"	"nov"	"at"	"the"	"location"	"weekday"	"pm"	"to"	"pm"	"sunday"	"pm"	"to"	"pm"	"close"	"monday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	"'s"	"did"	"opener"	"did_in"	"in_'s"	"'s_opener"	"they_did_in"	"did_in_'s"	"in_'s_opener"	"'s_opener_,"	"PRP"	"VB"	"VB"	"NN"	"POS"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"take"	"the"	"lead"	"in"	"first"	"inning"	"as"	"they"	"did"	"in"	"sunday"	"opener"	"and"	"never"	"lag"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"spree"	"."	"homer"	"∅"	"homer_spree"	"spree_."	"._∅"	"-_homer_spree"	"homer_spree_."	"spree_._∅"	"._∅_∅"	"ε"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"so"	"it"	"be"	"over"	"the"	"weekend"	"what"	"with"	"year"	"old"	"person"	"pitch"	"his"	"no-hit"	"masterpiece"	"against"	"group"	"and"	"the"	"group"	"person"	"retaliate"	"with"	"a"	"record"	"tie"	"homer"	"spree"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"for"	"night"	"yesterday"	"'s"	"yesterday_for"	"for_night"	"night_'s"	"complete_yesterday_for"	"yesterday_for_night"	"for_night_'s"	"night_'s_thirty-eighth"	"VB"	"NN"	"IN"	"NN"	"NN"	"POS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"announcement"	"of"	"a"	"special"	"achievement"	"award"	"to"	"the"	"award"	"list"	"was"	"complete"	"yesterday"	"for"	"sunday"	"night"	"thirty-eighth"	"annual"	"dinner"	"and"	"show"	"of"	"the"	"new_york"	"chapter"	"group"	"at"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
