"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"
"1:15:02::"	"recent"	"be"	"important"	"the"	"important_recent"	"recent_be"	"be_the"	"an_important_recent"	"important_recent_be"	"recent_be_the"	"be_the_development"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"recent"	"trend"	"be"	"the"	"development"	"of"	"area"	"vocational_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"this"	"toward"	"to"	"area"	"to_this"	"this_toward"	"toward_area"	"spur_to_this"	"to_this_toward"	"this_toward_area"	"toward_area_school"	"NN"	"TO"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"the"	"title"	"program"	"of"	"the"	"national_defense_education_act"	"of"	"be"	"a"	"great"	"spur"	"to"	"this"	"toward"	"area"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"this"	"toward"	"of"	"area"	"of_this"	"this_toward"	"toward_area"	"some_of_this"	"of_this_toward"	"this_toward_area"	"toward_area_vocational_school"	"JJ"	"RB"	"RB"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"this"	"trend"	"toward"	"area"	"vocational_school"	"has"	"be"	"related"	"to"	"the"	"problem"	"of"	"persistent"	"labor"	"surplus"	"area"	"and"	"their"	"desire"	"to"	"attract"	"new"	"industry"	"0"	
"1:15:02::"	"employment"	"and"	"occupational"	"publish"	"occupational_employment"	"employment_and"	"and_publish"	"and_occupational_employment"	"occupational_employment_and"	"employment_and_publish"	"and_publish_current"	"CC"	"JJ"	"NN"	"NN"	"CC"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"project"	"industry"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	
"1:15:02::"	"recent"	"in"	"some"	"attitude"	"some_recent"	"recent_in"	"in_attitude"	"by_some_recent"	"some_recent_in"	"recent_in_attitude"	"in_attitude_toward"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"possibility"	"suggest"	"by"	"the"	"example"	"of"	"the"	"g._i."	"bill"	"and"	"also"	"by"	"some"	"recent"	"in"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	"0"	"0"	"0"	
"1:15:02::"	"the"	"have"	"∅"	"be"	"∅_the"	"the_have"	"have_be"	"∅_∅_the"	"∅_the_have"	"the_have_be"	"have_be_in_evidence"	"ε"	"ε"	"DT"	"NN"	"VBP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"trend"	"have"	"be"	"in_evidence"	"for"	"many"	"year"	"population_shift"	"to"	"the"	"location"	"and"	"location"	"and"	"from"	"city"	"to"	"suburb"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"of"	"which"	"continuation"	"have"	"continuation_of"	"of_which"	"which_have"	"a_continuation_of"	"continuation_of_which"	"of_which_have"	"which_have_be"	"DT"	"NN"	"IN"	"NN"	"WDT"	"VBP"	"VB"	"in"	"the"	"area"	"of"	"private"	"label"	"competition"	"it"	"be"	"logical"	"to"	"expect"	"a"	"continuation"	"which"	"have"	"be"	"underway"	"during"	"the"	"first"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"in"	"know"	"your"	"know_the"	"the_in"	"in_your"	"you_know_the"	"know_the_in"	"the_in_your"	"in_your_cost"	"PRP"	"VB"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"know"	"the"	"trend"	"in"	"your"	"cost"	"of"	"maintain"	"access_road"	"and"	"parking_lot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"two"	"-"	"into"	"expanding"	"into_two"	"two_-"	"-_expanding"	"split_into_two"	"into_two_-"	"two_-_expanding"	"-_expanding_interdependence"	"VB"	"VB"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"it"	"was"	"observe"	"in"	"the"	"introductory"	"chapter"	"that"	"metropolitan"	"life"	"split"	"two"	"trend"	"expanding"	"interdependence"	"on"	"an"	"impersonal"	"basis"	"and"	"growing"	"exclusiveness"	"in"	"local"	"communal"	"grouping"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"this"	"be"	","	"inevitable"	",_this"	"this_be"	"be_inevitable"	"expert_,_this"	",_this_be"	"this_be_inevitable"	"be_inevitable_."	"NN"	"ε"	"DT"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"many"	"this"	"trend"	"be"	"inevitable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
