"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"1:09:00::"	"the"	"of"	"depending_on"	"entrance"	"depending_on_the"	"the_of"	"of_entrance"	",_depending_on_the"	"depending_on_the_of"	"the_of_entrance"	"of_entrance_."	"ε"	"JJ"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"underground"	"reinforced_concrete"	"shelter"	"can"	"be"	"build"	"by"	"a"	"for"	"about"	"to"	"depending_on"	"the"	"type"	"of"	"entrance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"another"	"of"	"∅"	"shelter"	"∅_another"	"another_of"	"of_shelter"	"∅_∅_another"	"∅_another_of"	"another_of_shelter"	"of_shelter_which"	"ε"	"ε"	"DT"	"NN"	"IN"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"type"	"of"	"shelter"	"which"	"give"	"excellent"	"fallout"	"protection"	"can"	"be"	"build"	"as"	"an"	"added"	"room"	"to"	"the"	"basement"	"of"	"a"	"home"	"under"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"each"	"of"	"to"	"shelter"	"to_each"	"each_of"	"of_shelter"	"common_to_each"	"to_each_of"	"each_of_shelter"	"of_shelter_be"	"JJ"	"TO"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"important"	"consideration"	"to"	"each"	"type"	"of"	"shelter"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"documentary"	"show"	"a"	"to"	"a_documentary"	"documentary_show"	"show_to"	",_a_documentary"	"a_documentary_show"	"documentary_show_to"	"show_to_be"	"ε"	"DT"	"NN"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"impact"	"in"	"the"	"zing"	"commercial"	"had"	"lead"	"to"	"her"	"being"	"consider"	"for"	"an"	"excellent"	"part"	"in"	"an"	"upcoming"	"tv"	"underwater_western_eye"	"a"	"documentary"	"type"	"show"	"to"	"be"	"sponsor"	"by"	"oatnut_grits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"what"	"of"	"on"	"training"	"on_what"	"what_of"	"of_training"	"information_on_what"	"on_what_of"	"what_of_training"	"of_training_are"	"NN"	"IN"	"WP"	"NN"	"IN"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moreover"	"the"	"current"	"on"	"what"	"type"	"of"	"training"	"are"	"need"	"and"	"be"	"too"	"limited"	"and"	"fragmentary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"our"	"of"	"selling"	"article"	"selling_our"	"our_of"	"of_article"	"or_selling_our"	"selling_our_of"	"our_of_article"	"of_article_."	"CC"	"NN"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"grow"	"out"	"of"	"effort"	"by"	"two"	"completely"	"inexperienced"	"man"	"in"	"their"	"late"	"twenties"	"neither"	"have"	"a"	"formal"	"education"	"applicable"	"to"	"or"	"experience"	"in"	"manufacturing"	"selling"	"our"	"of"	"article"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"fast-growing"	"of"	"this"	"outlet"	"this_fast-growing"	"fast-growing_of"	"of_outlet"	"cash_in_on_this_fast-growing"	"this_fast-growing_of"	"fast-growing_of_outlet"	"of_outlet_and"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"can"	"cash_in_on"	"this"	"fast-growing"	"type"	"of"	"outlet"	"and"	"still"	"maintain"	"relationship"	"with"	"old"	"existing"	"outlet"	"which"	"be"	"still"	"important"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"."	"almost"	"∅"	"almost_be"	"be_."	"._∅"	"can_almost_be"	"almost_be_."	"be_._∅"	"._∅_∅"	"MD"	"RB"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expert"	"say"	"the"	"partner"	"in"	"like"	"these"	"can"	"almost"	"be"	"type"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"what"	"of"	"∅"	"action"	"∅_what"	"what_of"	"of_action"	"∅_∅_what"	"∅_what_of"	"what_of_action"	"of_action_can"	"ε"	"ε"	"WP"	"NN"	"IN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"type"	"of"	"action"	"can"	"hope"	"to"	"win"	"public"	"support"	"first"	"in"	"this"	"country"	"and"	"then"	"abroad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"common"	"of"	"most"	"letter"	"most_common"	"common_of"	"of_letter"	"the_most_common"	"most_common_of"	"common_of_letter"	"of_letter_be"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"common"	"type"	"of"	"letter"	"be"	"that"	"of"	"soldier"	"husband"	"to"	"their"	"wife"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
