"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"1:14:00::"	"the"	"department_of_labor"	"while"	"have"	"while_the"	"the_department_of_labor"	"department_of_labor_have"	"∅_while_the"	"while_the_department_of_labor"	"the_department_of_labor_have"	"department_of_labor_have_a"	"ε"	"IN"	"DT"	"NN"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"of"	"project"	"industry"	"and"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	
"1:14:00::"	"the"	"army"	"of"	"."	"of_the"	"the_army"	"army_."	"history_of_the"	"of_the_army"	"the_army_."	"army_._∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"finish"	"the"	"war"	"as"	"a"	"major-general"	"command"	"a"	"full"	"division"	"and"	"be"	"the"	"young"	"major-general"	"in"	"the"	"history"	"of"	"the"	"u.s."	"army"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"remaining"	"trade"	"of"	"with"	"of_remaining"	"remaining_trade"	"trade_with"	"embargo_of_remaining"	"of_remaining_trade"	"remaining_trade_with"	"trade_with_cuba"	"NN"	"IN"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"april"	"twenty-fifth"	"the"	"white_house"	"report"	"a"	"total"	"embargo"	"of"	"remaining"	"u.s."	"trade"	"with"	"cuba"	"was"	"being"	"consider"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in_terms_of"	"``"	"advance"	"prestige"	"advance_in_terms_of"	"in_terms_of_``"	"``_prestige"	"typically_advance_in_terms_of"	"advance_in_terms_of_``"	"in_terms_of_``_prestige"	"``_prestige_''"	"RB"	"VB"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"argument"	"typically"	"advance"	"in_terms_of"	"u.s."	"prestige"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"military_force"	"of"	"are"	"of_the"	"the_military_force"	"military_force_are"	"tactics_of_the"	"of_the_military_force"	"the_military_force_are"	"military_force_are_now"	"NN"	"IN"	"DT"	"NN"	"NN"	"VBP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strategy"	"and"	"of"	"the"	"u.s."	"military_force"	"are"	"now"	"undergo"	"one"	"of"	"the"	"greatest"	"transition"	"in"	"history"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"based_on"	"for"	"the"	"for_the"	"the_based_on"	"based_on_the"	"income_for_the"	"for_the_based_on"	"the_based_on_the"	"based_on_the_last"	"NN"	"IN"	"DT"	"NN"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"average"	"income"	"for"	"the"	"u.s."	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"("	"of"	"divide"	"of_the"	"the_("	"(_divide"	"income_of_the"	"of_the_("	"the_(_divide"	"(_divide_50"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"to"	"the"	"per_capita"	"income"	"of"	"the"	"u.s."	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"income_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"each"	"state"	"except"	"the"	"virgin_islands"	"guam"	"and"	"puerto_rico"	"and"	"prior"	"to"	"alaska"	"and"	"hawaii"	"that"	"percentage"	"which"	"bear"	"the"	"same"	"ratio"	"to"	"as"	"the"	"particular"	"state"	"average"	"per_capita"	"income"	"bear"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"senator"	"on"	"."	"on_a"	"a_senator"	"senator_."	"vote_on_a"	"on_a_senator"	"a_senator_."	"senator_._∅"	"VB"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"adverse"	"vote"	"of"	"to"	"keep"	"in"	"the"	"group"	"a"	"bill"	"which"	"would"	"order"	"referendum"	"on"	"the"	"april"	"ballot"	"when"	"texas"	"vote"	"on"	"a"	"u.s."	"senator"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"from"	"department_of_agriculture"	","	","	",_from"	"from_department_of_agriculture"	"department_of_agriculture_,"	"on_request_,_from"	",_from_department_of_agriculture"	"from_department_of_agriculture_,"	"department_of_agriculture_,_washington"	"RB"	"ε"	"IN"	"NN"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"available"	"on_request"	"u.s."	"department_of_agriculture"	"washington"	"district_of_columbia"	"be"	"cooperative_farm_credit_can_assist_in_rural_development_(_circular_no._44"	"and"	"the_cooperative_farm_credit_system_(_circular"	"no._36"	"a"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
