"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:42:00::"	"was"	"by"	"it"	"some"	"it_was"	"was_by"	"by_some"	"wall_streeters_it_was"	"it_was_by"	"was_by_some"	"by_some_good"	"NNP"	"PRP"	"VB"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"it"	"look_like"	"a"	"routine"	"snapback"	"to"	"wall_streeters"	"it"	"was"	"accompany"	"by"	"some"	"good"	"news"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"by"	"commerce_secretary_luther_hodges"	"a"	"commerce_secretary_luther_hodges_,"	",_by"	"by_a"	"∅_commerce_secretary_luther_hodges_,"	"commerce_secretary_luther_hodges_,_by"	",_by_a"	"by_a_member"	"ε"	"NNP"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"accompany"	"by"	"a"	"member"	"of"	"our"	"staff"	"on"	"may"	"tour"	"plants"	"of"	"two"	"of"	"italy"	"biggest"	"companies"	"fiat"	"the"	"auto"	"producer"	"and"	"olivetti"	"maker"	"of"	"typewriters"	"and"	"calculating_machines"	
"2:42:00::"	"when"	"by"	"except"	"a"	"except_when"	"when_by"	"by_a"	"doorknob_except_when"	"except_when_by"	"when_by_a"	"by_a_prisoners"	"NN"	"IN"	"WRB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"warden"	"or"	"guard"	"to"	"touch"	"key"	"or"	"doorknob"	"except"	"when"	"accompany"	"by"	"a"	"prisoners"	"committee"	"with"	"powers"	"of"	"veto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"to"	"his"	"force"	"wife"	"force_to"	"to_his"	"his_wife"	"been_force_to"	"force_to_his"	"to_his_wife"	"his_wife_,"	"VBN"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"remark"	"one"	"gentleman"	"who"	"been"	"force"	"to"	"accompany"	"his"	"wife"	"the"	"good"	"lord"	"can"	"eat"	"where"	"angels"	"fear"	"to"	"tread"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"by"	"new_orleans"	"one"	"new_orleans_,"	",_by"	"by_one"	"from_new_orleans_,"	"new_orleans_,_by"	",_by_one"	"by_one_wharf_rat"	"IN"	"NN"	"ε"	"VB"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fox"	"be"	"all"	"ingratiating"	"when"	"he"	"arrive"	"from"	"new_orleans"	"accompany"	"by"	"one"	"wharf_rat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"adoption"	"the"	"whose"	"introduction"	"whose_adoption"	"adoption_the"	"the_introduction"	"purposes_whose_adoption"	"whose_adoption_the"	"adoption_the_introduction"	"the_introduction_of"	"NNS"	"WP$"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consequently"	"there"	"have"	"develop"	"several"	"forms"	"of"	"grants-in-aid"	"and"	"shared"	"taxes"	"as"	"the"	"unrestricted"	"grant"	"to"	"local_governments"	"for"	"general"	"purposes"	"whose"	"adoption"	"accompany"	"the"	"introduction"	"of"	"a"	"sales_tax"	"at"	"the"	"state"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"be"	"by"	"to"	"a"	"to_be"	"be_by"	"by_a"	"recommendation_to_be"	"to_be_by"	"be_by_a"	"by_a_report"	"NN"	"TO"	"VB"	"VB"	"VB"	"DT"	"NN"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"cost"	"the"	"in"	"wage"	"in_cost"	"cost_the"	"the_wage"	"increase_in_cost"	"in_cost_the"	"cost_the_wage"	"the_wage_increase"	"NN"	"IN"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"or"	"not"	"it"	"be"	"in"	"the"	"industry"	"interest"	"to"	"allow"	"the"	"basic"	"wage"	"rate"	"to"	"rise"	"obviously"	"depend_upon"	"the"	"extent"	"to"	"which"	"the"	"public"	"limit"	"price"	"rise"	"in"	"response"	"to"	"a"	"basic"	"wage"	"increase"	"and"	"relation"	"of"	"this"	"response"	"to"	"the"	"increase"	"in"	"cost"	"accompany"	"the"	"wage"	"increase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"by"	"person"	"a"	"person_,"	",_by"	"by_a"	"when_person_,"	"person_,_by"	",_by_a"	"by_a_friend"	"WRB"	"NNP"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"prove"	"a"	"man"	"prompt"	"action"	"when"	"person"	"accompany"	"by"	"a"	"friend"	"visit"	"him"	"in"	"location"	"california"	"several"	"month"	"ago"	"as"	"a"	"prospective"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"often"	"him"	"person"	"in"	"person_often"	"often_him"	"him_in"	",_person_often"	"person_often_him"	"often_him_in"	"him_in_the"	"ε"	"NNP"	"RB"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"papa"	"go_out"	"to"	"do"	"work"	"person"	"often"	"accompany"	"him"	"in"	"the"	"buggy"	"which"	"was"	"draw"	"by"	"violet"	"the"	"new"	"black"	"mare"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
