"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"2:32:02::"	","	"this"	"ward"	"procedure"	"ward_,"	",_this"	"this_procedure"	"d_ward_,"	"ward_,_this"	",_this_procedure"	"this_procedure_constitute"	"FW"	"NN"	"ε"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mayer_goldberg"	"attorney"	"for"	"election"	"judges"	"in"	"the"	"th"	"of"	"the"	"d"	"ward"	"argue"	"this"	"procedure"	"constitute"	"intimidation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"there"	"philip_weinstein"	"be"	"philip_weinstein_,"	",_there"	"there_be"	"defendant_philip_weinstein_,"	"philip_weinstein_,_there"	",_there_be"	"there_be_no"	"NN"	"NNP"	"ε"	"VB"	"EX"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attorney_dwight_l._schwab"	"in"	"behalf"	"defendant"	"philip_weinstein"	"argue"	"there"	"be"	"no"	"evidence"	"link"	"weinstein"	"to"	"the"	"conspiracy"	"but"	"judge_powell"	"declare"	"this"	"be"	"a"	"matter"	"for"	"the"	"jury"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"who"	"against"	"type"	"her"	"type_who"	"who_against"	"against_her"	"jealous_type_who"	"type_who_against"	"who_against_her"	"against_her_course"	"JJ"	"NN"	"WP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anthony_steel"	"as"	"the"	"husband"	"be"	"jealous"	"type"	"who"	"argue"	"against"	"her"	"course"	"and"	"sue"	"for"	"divorce"	"label"	"her"	"action"	"adulterous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	","	"for"	"superintendent"	"about"	"superintendent_,"	",_for"	"for_about"	"the_superintendent_,"	"superintendent_,_for"	",_for_about"	"for_about_fifteen"	"DT"	"NN"	"ε"	"VB"	"VB"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"proposal"	"make"	"by"	"dr._david_s._jenkins"	"after"	"he"	"and"	"mrs._d._ellwood_williams"	"jr."	"a"	"and"	"long-time"	"critic"	"of"	"the"	"superintendent"	"argue"	"for"	"about"	"fifteen"	"minutes"	"at"	"this"	"week"	"meeting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"or_else"	"that"	","	"after_all"	",_or_else"	"or_else_that"	"that_after_all"	"them_,_or_else"	",_or_else_that"	"or_else_that_after_all"	"that_after_all_parker"	"PRP"	"ε"	"RB"	"VB"	"IN"	"RB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"grant"	"all"	"this"	"still"	"modern"	"unitarianism"	"and"	"the"	"harvard_divinity_school"	"recall"	"with"	"humorous"	"affection"	"insults"	"parker"	"lavish"	"upon"	"them"	"or_else"	"argue"	"that"	"after_all"	"parker"	"receive"	"the"	"treatment"	"he"	"invite"	"they"	"betray"	"an"	"uneasy"	"conscience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"been"	"for"	"have"	"years"	"have_been"	"been_for"	"for_years"	"ludwig_von_mises_have_been"	"have_been_for"	"been_for_years"	"for_years_:"	"NNP"	"VBP"	"VBN"	"VB"	"VB"	"NNS"	"ε"	"solution"	"to"	"this"	"dilemma"	"be"	"not"	"the"	"incorporation"	"of"	"the"	"united_states"	"into"	"an"	"atlantic_community"	"or"	"economic"	"empire"	"but"	"merely"	"what"	"libertarians"	"like"	"henry_hazlitt"	"and"	"ludwig_von_mises"	"have"	"been"	"for"	"years"	"an"	"end"	"to"	"government"	"regulations"	"an"	"end"	"to"	"government"	"competition"	"in"	"industry"	"and"	"a"	"realistic"	"depreciation_allowance"	"for"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"be"	"that"	"could"	"the"	"could_be"	"be_that"	"that_the"	"it_could_be"	"could_be_that"	"be_that_the"	"that_the_state"	"PRP"	"MD"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"only"	"state"	"funds"	"were"	"use"	"to"	"for"	"the"	"vocational"	"education"	"it"	"could"	"be"	"argue"	"that"	"the"	"state"	"should"	"not"	"have_to"	"bear"	"the"	"cost"	"of"	"vocational"	"training"	"which"	"would"	"benefit"	"employer"	"in"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"south"	"that"	"the"	"the"	"the_south"	"south_that"	"that_the"	",_the_south"	"the_south_that"	"south_that_the"	"that_the_slave"	"ε"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"pre"	"year"	"the"	"south"	"argue"	"that"	"the"	"slave"	"was"	"not"	"less"	"humanely"	"treat"	"than"	"the"	"factory_worker"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"might"	"that"	"one"	"the"	"one_might"	"might_that"	"that_the"	"∅_one_might"	"one_might_that"	"might_that_the"	"that_the_ultimate"	"ε"	"CD"	"MD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"might"	"argue"	"that"	"the"	"ultimate"	"purpose"	"of"	"literary"	"scholarship"	"be"	"to"	"correct"	"this"	"spontaneous"	"provincialism"	"that"	"be"	"likely"	"to"	"obscure"	"the"	"horizon"	"of"	"the"	"general"	"public"	"of"	"the"	"newspaper_critic"	"and"	"of"	"the"	"creative"	"artist"	"himself"	"0"	"0"	"0"	"0"	
"2:32:02::"	"person"	"the"	"∅"	"cause"	"∅_person"	"person_the"	"the_cause"	"∅_∅_person"	"∅_person_the"	"person_the_cause"	"the_cause_and"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"argue"	"the"	"cause"	"and"	"file"	"a"	"brief"	"for"	"petitioner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
