"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:33:00::"	"∅"	"with"	"∅"	"the"	"∅_∅"	"∅_with"	"with_the"	"∅_∅_∅"	"∅_∅_with"	"∅_with_the"	"with_the_nixon"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"nixon"	"opinion"	"the"	"senate"	"liberals"	"round_up"	"their"	"slim"	"majority"	"and"	"prepare"	"to"	"choke_off"	"debate"	"on"	"the"	"filibuster"	"battle"	"this"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"be"	"with"	"to"	"an"	"to_be"	"be_with"	"with_an"	"be_to_be"	"to_be_with"	"be_with_an"	"with_an_underwater"	"VB"	"TO"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"missiles"	"to"	"be"	"arm"	"with"	"an"	"underwater"	"bomb"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"shot"	"with"	"single"	"modern"	"single_shot"	"shot_with"	"with_modern"	"fire_single_shot"	"single_shot_with"	"shot_with_modern"	"with_modern_fast"	"VB"	"JJ"	"NN"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"firearm"	"and"	"ammunition"	"manufacturer"	"through"	"diligent"	"research"	"and"	"development"	"have"	"replace"	"the"	"muzzle_loader"	"and"	"slow"	"fire"	"single"	"shot"	"arm"	"with"	"modern"	"fast"	"fire"	"autoloader"	"extremely"	"accurate"	"bolt"	"lever"	"and"	"slide_action"	"firearm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"-"	"on"	"she"	"on_his"	"his_-"	"-_she"	"lightly_on_his"	"on_his_-"	"his_-_she"	"-_she_had"	"RB"	"IN"	"PRP$"	"NN"	"ε"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"be"	"alive"	"and"	"he"	"remember"	"the"	"of"	"her"	"hand"	"rest_on"	"lightly"	"on"	"his"	"arm"	"she"	"had"	"be"	"the"	"center"	"of"	"his"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"and"	"into"	"weep"	"into_his"	"his_and"	"and_weep"	"head_into_his"	"into_his_and"	"his_and_weep"	"and_weep_,"	"NN"	"IN"	"PRP$"	"NN"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"be"	"alone"	"again"	"in"	"cabin"	"person"	"lower"	"his"	"head"	"into"	"his"	"arm"	"and"	"weep"	"for"	"he"	"know"	"full"	"well"	"what"	"must"	"be"	"do"	"what"	"in_the_end"	"would"	"be"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"'s"	"."	"lawman"	"∅"	"lawman_'s"	"'s_."	"._∅"	"the_lawman_'s"	"lawman_'s_."	"'s_._∅"	"._∅_∅"	"DT"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"grip"	"lawman"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"around"	"clamp"	"the"	"clamp_his"	"his_around"	"around_the"	",_clamp_his"	"clamp_his_around"	"his_around_the"	"around_the_shinbone"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pull"	"one"	"thin"	"up"	"clamp"	"his"	"arm"	"around"	"the"	"shinbone"	"to"	"press"	"his"	"knee"	"into"	"an"	"incredibly"	"scrawny"	"gut"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"still"	"with"	"wrap"	"with_his"	"his_still"	"still_wrap"	"comfortably_with_his"	"with_his_still"	"his_still_wrap"	"still_wrap_around"	"RB"	"IN"	"PRP$"	"NN"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"lean"	"forward"	"again"	"comfortably"	"with"	"his"	"arm"	"still"	"wrap"	"around"	"one"	"knee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"my"	"in"	"grab"	"his"	"grab_my"	"my_in"	"in_his"	"person_grab_my"	"grab_my_in"	"my_in_his"	"in_his_viselike"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"have"	"stand"	"there"	"and"	"die"	"there"	"leave"	"to"	"myself"	"but"	"person"	"grab"	"my"	"arm"	"in"	"his"	"viselike"	"grip"	"and"	"fairly"	"pluck"	"me"	"out"	"of"	"there"	"and_then"	"i"	"come_to"	"some"	"sanity"	"and"	"plunge"	"away"	"with"	"such"	"extraordinary"	"speed"	"that"	"i"	"outdistance"	"person"	"by_far"	
"1:08:00::"	"'s"	"-"	"trapper"	"dead"	"trapper_'s"	"'s_-"	"-_dead"	"the_trapper_'s"	"trapper_'s_-"	"'s_-_dead"	"-_dead_."	"DT"	"NN"	"POS"	"NN"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"reach"	"the"	"house"	"as"	"person"	"surmise"	"dismount"	"but"	"just"	"as"	"the"	"old"	"trapper"	"open"	"the"	"door"	"receive"	"him"	"he"	"fall"	"into"	"the"	"trapper"	"arm"	"dead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
