"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:41:00::"	"are"	"to"	"we"	"do"	"we_are"	"are_to"	"to_do"	"what_we_are"	"we_are_to"	"are_to_do"	"to_do_be"	"WP"	"PRP"	"VBP"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"are"	"attempt"	"to"	"do"	"be"	"achieve"	"and"	"maintain"	"a"	"balance"	"between"	"medium"	"density"	"and"	"low_density"	"residential"	"areas"	"and"	"industrial"	"and"	"commercial"	"development"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"and"	"to"	"from_the_outside"	"make"	"from_the_outside_and"	"and_to"	"to_make"	"it_from_the_outside_and"	"from_the_outside_and_to"	"and_to_make"	"to_make_it"	"PRP"	"RB"	"CC"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_british"	"and"	"replies"	"to_that"	"moscow"	"note"	"point_out"	"efforts"	"of"	"the"	"communist"	"to"	"integrate"	"east_berlin"	"into"	"east_germany"	"by"	"isolate"	"it"	"from_the_outside"	"and"	"attempt"	"to"	"make"	"it"	"the"	"capital"	"of"	"east_germany"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"it"	"ready"	"-"	"ready_to"	"to_it"	"it_-"	"be_ready_to"	"ready_to_it"	"to_it_-"	"it_-_plus"	"VB"	"JJ"	"TO"	"VB"	"PRP"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"anything"	"can"	"bring_home"	"to"	"mr._khrushchev"	"the"	"idea"	"that"	"he"	"will"	"not"	"really"	"get"	"much"	"enjoyment"	"watch"	"this"	"braddock-against-the-indians"	"contest"	"it"	"will"	"probably"	"be"	"the"	"fact"	"that"	"seato"	"forces"	"be"	"ready"	"to"	"attempt"	"it"	"plus"	"the"	"fact"	"that"	"moscow"	"have"	"something"	"to"	"lose"	"from"	"close_off"	"disarmament"	"and"	"bigger"	"negotiations"	"with"	"washington"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"to"	"body"	"explore"	"body_,"	",_to"	"to_explore"	"student_body_,"	"body_,_to"	",_to_explore"	"to_explore_and"	"NN"	"NN"	"ε"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"a_number_of"	"years"	"wesleyan"	"has"	"been"	"draw"	"varied"	"groups"	"of"	"political"	"and"	"business_leaders"	"these"	"informal"	"discussions"	"with"	"members"	"of"	"the"	"faculty"	"and"	"student"	"body"	"attempt"	"to"	"explore"	"and"	"clarify"	"aspects"	"of"	"their"	"responsibility"	"for"	"public"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"rayburn"	"to"	","	"work_out"	",_rayburn"	"rayburn_to"	"to_work_out"	"judge_smith_,_rayburn"	",_rayburn_to"	"rayburn_to_work_out"	"to_work_out_a"	"NNP"	"ε"	"NNP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"a"	"tense"	"closed-door"	"with"	"judge_smith"	"rayburn"	"attempt"	"to"	"work_out"	"a"	"compromise"	"to"	"add"	"three"	"new"	"members"	"to"	"the"	"rules_committee"	"two"	"democrats"	"include"	"one"	"southerner"	"and"	"one"	"republican"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"can"	"with"	"we"	"some"	"we_can"	"can_with"	"with_some"	"what_we_can"	"we_can_with"	"can_with_some"	"with_some_hope"	"WP"	"PRP"	"MD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"can"	"attempt"	"with"	"some"	"hope"	"of"	"dependable"	"conclusions"	"is"	"to"	"point_out"	"the"	"manner"	"in_which"	"christianity"	"enter"	"into"	"particular"	"aspects"	"of"	"the"	"life"	"of"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"montgomery"	"to"	","	"trace"	",_montgomery"	"montgomery_to"	"to_trace"	"nehru_,_montgomery"	",_montgomery_to"	"montgomery_to_trace"	"to_trace_the"	"NNP"	"ε"	"NNP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"look"	"as"	"far"	"back"	"as"	"moses"	"thence"	"to"	"cromwell"	"lincoln"	"churchill"	"and"	"nehru"	"montgomery"	"attempt"	"to"	"trace"	"the"	"stirrings"	"and"	"qualities"	"of"	"great"	"men"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"to"	"senator_mcclellan"	"extend"	"senator_mcclellan_was"	"was_to"	"to_extend"	"in_which_senator_mcclellan_was"	"senator_mcclellan_was_to"	"was_to_extend"	"to_extend_the"	"RB"	"NNP"	"VBD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paradoxically"	"the"	"same"	"in_which"	"senator_mcclellan"	"was"	"attempt"	"to"	"extend"	"the"	"anti-trust"	"act"	"to"	"labor"	"in"	"transportation"	"the"	"civil_aeronautics_board"	"was"	"assure"	"the"	"airlines"	"that"	"if"	"they"	"meet"	"in_concert"	"to"	"eliminate"	"many"	"costly"	"features"	"of"	"air_travel"	"the"	"action"	"would"	"not"	"be"	"deem"	"a"	"violation"	"of"	"the"	"anti-trust"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"clayton_act"	"to"	"the"	"take_out"	"the_clayton_act"	"clayton_act_to"	"to_take_out"	",_the_clayton_act"	"the_clayton_act_to"	"clayton_act_to_take_out"	"to_take_out_labor"	"ε"	"DT"	"NNP"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"attempt"	"to"	"take_out"	"labor"	"out"	"from"	"under"	"the"	"anti-trust"	"legislation"	"by"	"state"	"that"	"human"	"labor"	"was"	"not"	"to"	"be"	"consider"	"a"	"commodity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"were"	"in_order_to"	"population"	"discover"	"population_were"	"were_in_order_to"	"in_order_to_discover"	"brandywine_population_were"	"population_were_in_order_to"	"were_in_order_to_discover"	"in_order_to_discover_the"	"NNP"	"NN"	"VBD"	"VB"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interviews"	"with"	"members"	"the"	"brandywine"	"population"	"were"	"attempt"	"in_order_to"	"discover"	"the"	"ranking"	"of"	"the"	"various"	"families"	"in"	"the"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
