"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:42:00::"	"which"	"two"	")"	"prominent"	")_which"	"which_two"	"two_prominent"	"editions_)_which"	")_which_two"	"which_two_prominent"	"two_prominent_ads"	"NNS"	"ε"	"WDT"	"VB"	"CD"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"newspaper"	"advertising"	"was"	"mainly"	"concentrate"	"in"	"the"	"new_york"	"times"	"the"	"wall_street"	"journal"	"eastern"	"and"	"midwestern"	"editions"	"which"	"average"	"two"	"prominent"	"ads"	"per"	"month"	"and"	"to_a_lesser_degree"	"the"	"new_york"	"herald_tribune"	"and"	"for"	"the"	"west"	"coast"	"the"	"los_angeles"	"times"	"and"	"the"	"wall_street"	"journal"	"pacific_coast"	"edition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"gains"	"nearly"	"show"	"10"	"show_gains"	"gains_nearly"	"nearly_10"	"have_show_gains"	"show_gains_nearly"	"gains_nearly_10"	"nearly_10_%"	"VBP"	"VB"	"NNS"	"VB"	"RB"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seven"	"of"	"the"	"eight"	"companies"	"that"	"turn_out"	"full"	"lines"	"of"	"farm"	"machinery"	"sales"	"by"	"their"	"dealers"	"since"	"the"	"start"	"of"	"august"	"have"	"show"	"gains"	"average"	"nearly"	"above"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"equipment"	"about"	"new"	"25"	"new_equipment"	"equipment_about"	"about_25"	"of_new_equipment"	"new_equipment_about"	"equipment_about_25"	"about_25_%"	"IN"	"JJ"	"NN"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"dealer"	"of"	"new"	"equipment"	"average"	"about"	"below"	"a"	"year"	"ago"	"the"	"affects"	"of"	"the"	"rural"	"recovery"	"are"	"being"	"feel"	"almost"	"immediately"	"by"	"the"	"country"	"farm"	"equipment"	"manufacturers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:common:01"	"∅"	"consumer"	"∅"	"is"	"∅_∅"	"∅_consumer"	"consumer_is"	"∅_∅_∅"	"∅_∅_consumer"	"∅_consumer_is"	"consumer_is_become"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consumer"	"is"	"become"	"more"	"sophisticated"	"regarding"	"product"	"and"	"advertising"	"claim"	"partly"	"because"	"of"	"widespread"	"criticism"	"of"	"such"	"assertion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:common:01"	"∅"	"manufacturer"	"∅"	"frequently"	"∅_∅"	"∅_manufacturer"	"manufacturer_frequently"	"∅_∅_∅"	"∅_∅_manufacturer"	"∅_manufacturer_frequently"	"manufacturer_frequently_has"	"ε"	"ε"	"ε"	"JJ"	"NN"	"RB"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"manufacturer"	"frequently"	"has"	"help"	"build"	"private"	"brand"	"business"	"deliver"	"largely"	"the"	"same"	"quality"	"and"	"style"	"in"	"private"	"brand"	"merchandise"	"as"	"in"	"branded"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:normal:01"	"the"	"market_price"	"and"	"for"	"and_the"	"the_market_price"	"market_price_for"	"pound_and_the"	"and_the_market_price"	"the_market_price_for"	"market_price_for_the"	"NN"	"CC"	"DT"	"JJ"	"NN"	"IN"	"DT"	"payment"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"as_long_as"	"the"	"market_price"	"for"	"common"	"lead"	"at"	"new_york"	"new_york"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:normal:01"	"the"	"market_price"	"and"	"for"	"and_the"	"the_market_price"	"market_price_for"	"pound_and_the"	"and_the_market_price"	"the_market_price_for"	"market_price_for_the"	"NN"	"CC"	"DT"	"JJ"	"NN"	"IN"	"DT"	"shall"	"be"	"make"	"to"	"small"	"domestic"	"producer"	"of"	"zinc"	"as_long_as"	"the"	"market_price"	"for"	"prime"	"western"	"zinc"	"at"	"location"	"illinois"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:normal:01"	"an"	"daily"	"with"	"expenditure"	"with_an"	"an_daily"	"daily_expenditure"	"come_up_with_an"	"with_an_daily"	"an_daily_expenditure"	"daily_expenditure_figure"	"VB"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"compute"	"the"	"cost"	"for"	"two"	"people"	"vacation"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:normal:01"	"determine"	"per_capita"	")"	"income"	")_determine"	"determine_per_capita"	"per_capita_income"	"hawaii_)_determine"	")_determine_per_capita"	"determine_per_capita_income"	"per_capita_income_based_on"	"NN"	"ε"	"VB"	"JJ"	"JJ"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"each"	"state"	"except"	"puerto_rico"	"guam"	"the"	"virgin_islands"	"and"	"prior"	"to"	"and"	"hawaii"	"determine"	"average"	"per_capita"	"income"	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:02:normal:01"	"the"	"per_capita"	"determine"	"income"	"determine_the"	"the_per_capita"	"per_capita_income"	"∅_determine_the"	"determine_the_per_capita"	"the_per_capita_income"	"per_capita_income_for"	"ε"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"average"	"per_capita"	"income"	"for"	"the"	"u.s."	"based_on"	"the"	"last"	"three"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
