"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:32:00::"	"to"	"."	"determined"	"∅"	"determined_to"	"to_."	"._∅"	"seem_determined_to"	"determined_to_."	"to_._∅"	"._∅_∅"	"VB"	"JJ"	"TO"	"VB"	"ε"	"ε"	"ε"	"states"	"that"	"have"	"pass"	"laws"	"prevent"	"discrimination"	"in"	"the"	"sale"	"or"	"rental"	"of"	"housing"	"support"	"by"	"real_estate"	"associations"	"for"	"compliance"	"and"	"broadened"	"coverage"	"through"	"additional"	"legislation"	"could"	"help"	"remove"	"the"	"label"	"of"	"social"	"reformism"	"that"	"most"	"realtors"	"individually"	"determined"	"to"	"avoid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"do"	"puncture"	"∅"	"or"	"∅_do"	"do_puncture"	"puncture_or"	"∅_∅_do"	"∅_do_puncture"	"do_puncture_or"	"puncture_or_cut"	"ε"	"ε"	"VBP"	"VB"	"VB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"puncture"	"or"	"cut"	"into"	"meats"	"to"	"test"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"crisis-to-crisis"	"is"	"government"	"is_to"	"to_crisis-to-crisis"	"crisis-to-crisis_government"	"years_is_to"	"is_to_crisis-to-crisis"	"to_crisis-to-crisis_government"	"crisis-to-crisis_government_."	"NNS"	"VBZ"	"TO"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long-range"	"planning"	"of"	"programs"	"and"	"ways"	"to"	"finance"	"them"	"have"	"musts"	"if"	"the"	"state"	"in"	"the"	"next"	"few"	"years"	"is"	"to"	"avoid"	"crisis-to-crisis"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"be"	"by"	"can"	"negotiate"	"can_be"	"be_by"	"by_negotiate"	"war_can_be"	"can_be_by"	"be_by_negotiate"	"by_negotiate_with"	"NN"	"MD"	"VB"	"VB"	"IN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"free"	"democrats"	"per_cent"	"of"	"the"	"vote"	"a"	"nuclear"	"war"	"can"	"be"	"avoid"	"by"	"negotiate"	"with"	"the"	"soviet_union"	"and"	"more"	"dealings"	"with"	"the"	"communist"	"bloc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"carefully"	"mention"	"they"	"the"	"they_carefully"	"carefully_mention"	"mention_the"	"that_they_carefully"	"they_carefully_mention"	"carefully_mention_the"	"mention_the_word"	"IN"	"PRP"	"RB"	"VB"	"VB"	"DT"	"NN"	"of"	"the"	"southern"	"confederation"	"differ"	"from_that"	"of"	"the"	"federal_union"	"only"	"in"	"two"	"important"	"respects"	"it"	"openly"	"defiantly"	"recognize"	"slavery"	"an"	"institution"	"which"	"the"	"southerners"	"of"	"even_though"	"they"	"continue"	"it"	"find"	"impossible"	"to"	"reconcile"	"with"	"freedom"	"that"	"they"	"carefully"	"mention"	"the"	"word"	"in"	"the"	"federal_constitution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"∅"	"attic"	"∅"	"placement"	"∅_∅"	"∅_attic"	"attic_placement"	"∅_∅_∅"	"∅_∅_attic"	"∅_attic_placement"	"attic_placement_directly"	"ε"	"ε"	"ε"	"VB"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attic"	"placement"	"directly"	"above"	"a"	"bedroom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"he"	"show"	"∅"	"any"	"∅_he"	"he_show"	"show_any"	"∅_∅_he"	"∅_he_show"	"he_show_any"	"show_any_surprise"	"ε"	"ε"	"PRP"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"show"	"any"	"surprise"	"or"	"annoyance"	"when"	"no"	"one"	"answer"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:03::"	"be"	"."	"should"	"∅"	"should_be"	"be_."	"._∅"	"cooking_should_be"	"should_be_."	"be_._∅"	"._∅_∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"open"	"flame"	"heating"	"cooking"	"should"	"be"	"avoid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"and"	"desire"	"repel"	"desire_to"	"to_and"	"and_repel"	"a_desire_to"	"desire_to_and"	"to_and_repel"	"and_repel_this"	"DT"	"NN"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"primitive"	"feeling"	"be"	"rudimentary"	"value"	"feeling"	"both"	"positive"	"negative"	"a"	"desire"	"to"	"this"	"or"	"that"	"part"	"of"	"the"	"environment"	"into"	"oneself"	"a"	"desire"	"to"	"avoid"	"and"	"repel"	"this"	"or"	"that"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"∅"	"runaway"	"∅"	"technology"	"∅_∅"	"∅_runaway"	"runaway_technology"	"∅_∅_∅"	"∅_∅_runaway"	"∅_runaway_technology"	"runaway_technology_can"	"ε"	"ε"	"ε"	"VB"	"JJ"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"runaway"	"technology"	"can"	"be"	"do"	"only"	"by"	"assure"	"a"	"humane"	"society"	"and"	"for"	"this"	"human_being"	"must"	"be"	"firmly"	"in"	"control"	"of"	"the"	"economics"	"on"	"which"	"our"	"society"	"rest"	"0"	
