"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:30:00::"	"trading"	"."	"as"	"∅"	"as_trading"	"trading_."	"._∅"	"soon_as_trading"	"as_trading_."	"trading_._∅"	"._∅_∅"	"RB"	"IN"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"measure"	"of"	"how"	"hot"	"the"	"stock"	"be"	"can"	"be"	"find"	"happen"	"to"	"it"	"on"	"the"	"market"	"as"	"soon"	"as"	"trading"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"continental_gin_co."	"operations"	"the"	"in"	"the_continental_gin_co."	"continental_gin_co._operations"	"operations_in"	"∅_the_continental_gin_co."	"the_continental_gin_co._operations"	"continental_gin_co._operations_in"	"operations_in_dallas"	"ε"	"DT"	"NNP"	"VB"	"NNS"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"continental_gin_co."	"begin"	"operations"	"in"	"dallas"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"company"	"operation"	"the"	"in"	"the_company"	"company_operation"	"operation_in"	"∅_the_company"	"the_company_operation"	"company_operation_in"	"operation_in_1900"	"ε"	"DT"	"NN"	"VB"	"NN"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"company"	"begin"	"operation"	"in"	"with"	"hardware"	"and"	"oil"	"mill"	"supplies"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"john_e._mitchell_co."	"work"	"the"	"in"	"the_john_e._mitchell_co."	"john_e._mitchell_co._work"	"work_in"	"∅_the_john_e._mitchell_co."	"the_john_e._mitchell_co._work"	"john_e._mitchell_co._work_in"	"work_in_dallas"	"ε"	"DT"	"NNP"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"john_e._mitchell_co."	"begin"	"work"	"in"	"dallas"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"firm"	"operations"	"the"	"back"	"the_firm"	"firm_operations"	"operations_back"	"∅_the_firm"	"the_firm_operations"	"firm_operations_back"	"operations_back_in"	"ε"	"DT"	"NN"	"VB"	"NNS"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"firm"	"begin"	"operations"	"back"	"in"	"and"	"sell"	"equipment"	"in"	"the"	"central"	"cotton"	"belt"	"include"	"the"	"mississippi_delta"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"division"	"a"	"planning"	"one"	"planning_division"	"division_a"	"a_one"	"the_planning_division"	"planning_division_a"	"division_a_one"	"a_one_year"	"DT"	"NN"	"NN"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"aid"	"of"	"matching"	"federal"	"funds"	"available"	"under"	"section"	"the"	"housing_act"	"of"	"as"	"amended"	"the"	"planning"	"division"	"begin"	"a"	"one"	"year"	"program"	"july_1"	"to"	"complete"	"the"	"inventory"	"phase"	"of"	"the"	"state"	"planning"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"∅"	"with"	"∅"	"the"	"∅_∅"	"∅_with"	"with_the"	"∅_∅_∅"	"∅_∅_with"	"∅_with_the"	"with_the_october"	"ε"	"ε"	"ε"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"october"	"issue"	"of"	"the"	"journal"	"the"	"method"	"of"	"production"	"of"	"copy"	"for"	"photo-offset"	"reproduction"	"was"	"change"	"from"	"varityping"	"to"	"hot"	"typesetting"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"membership"	"immediately"	"church"	"after"	"church_membership"	"membership_immediately"	"immediately_after"	"for_church_membership"	"church_membership_immediately"	"membership_immediately_after"	"immediately_after_the"	"IN"	"NNP"	"NN"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"preparation"	"church"	"membership"	"begin"	"immediately"	"after"	"the"	"commitment"	"is_received"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"and"	"by"	"setup"	"appoint"	"setup_and"	"and_by"	"by_appoint"	"civil_defense_setup_and"	"setup_and_by"	"and_by_appoint"	"by_appoint_a"	"NN"	"NN"	"CC"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"east_providence"	"should"	"organize"	"civil_defense"	"setup"	"and"	"begin"	"by"	"appoint"	"a"	"full-time"	"director"	"raymond_h._hawksley"	"the"	"present"	"city"	"cd"	"head"	"believe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"russia"	"european"	"of"	"and"	"of_russia"	"russia_european"	"european_and"	"students_of_russia"	"of_russia_european"	"russia_european_and"	"european_and_asian"	"NNS"	"IN"	"NNP"	"VB"	"JJ"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"following"	"week"	"i"	"read"	"in"	"the"	"paper"	"that"	"the"	"students"	"of"	"russia"	"begin"	"european"	"and"	"asian"	"languages"	"in"	"the"	"seventh"	"grade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
