"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"
"2:30:05::"	"came_near"	","	"it"	"and"	"it_came_near"	"came_near_,"	",_and"	"several_times_it_came_near"	"it_came_near_,"	"came_near_,_and"	",_and_there"	"RB"	"PRP"	"VB"	"VB"	"ε"	"CC"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several_times"	"came_near"	"break"	"and"	"there"	"be"	"in_fact"	"some"	"lovely"	"peals"	"of"	"thunder"	"from"	"jerry_mulligan"	"big_band"	"which"	"be"	"about"	"as"	"fine"	"an"	"aggregation"	"as"	"has"	"come_along"	"in"	"the"	"jazz"	"business"	"since"	"john_hammond"	"find"	"count_basie"	"work"	"in"	"a"	"kansas_city"	"trap"	
"2:30:02::"	"and"	"the"	"liberals"	"conservative-liberal"	"liberals_and"	"and_the"	"the_conservative-liberal"	"additional_liberals_and"	"liberals_and_the"	"and_the_conservative-liberal"	"the_conservative-liberal_deadlock"	"JJ"	"NNS"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"two"	"methods"	"of"	"breach"	"the"	"conservative"	"barriers"	"around"	"rules_committee"	"to"	"pack"	"it"	"with"	"additional"	"liberals"	"and"	"break"	"the"	"conservative-liberal"	"deadlock"	"or"	"to"	"remove"	"one"	"of"	"the"	"conservatives"	"namely"	"mississippi"	"term"	"william_meyers_colmer"	"pronounce"	"calmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"not"	"their"	"do"	"parole"	"do_not"	"not_their"	"their_parole"	"they_do_not"	"do_not_their"	"not_their_parole"	"their_parole_and"	"PRP"	"VBP"	"RB"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"also"	"have"	"a_number_of"	"parolees"	"to"	"mother"	"watch"	"see"	"that"	"they"	"do"	"not"	"break"	"their"	"parole"	"and"	"that"	"they"	"also"	"learn"	"to"	"readjust"	"to"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:11::"	"after"	"into"	"sunday"	"the"	"sunday_after"	"after_into"	"into_the"	"arrest_sunday_after"	"sunday_after_into"	"after_into_the"	"into_the_home"	"VB"	"NNP"	"IN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year-old"	"atlanta"	"man"	"arrest"	"sunday"	"after"	"break"	"into"	"the"	"home"	"of"	"relatives"	"in"	"search"	"of"	"his"	"wife"	"hit"	"his"	"uncle"	"with"	"a"	"rock"	"and"	"assault"	"two"	"police_officers"	"who"	"try"	"to"	"subdue"	"him"	"police"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	","	"the"	"screen_door"	"latch"	"screen_door_,"	",_the"	"the_latch"	"a_screen_door_,"	"screen_door_,_the"	",_the_latch"	"the_latch_,"	"DT"	"NN"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"younger"	"thomas"	"a"	"screen_door"	"break"	"the"	"latch"	"and"	"after"	"an"	"argument"	"strike"	"his"	"uncle"	"with"	"a"	"rock"	"scratch"	"his"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"pulley"	"the"	"plump"	"language_barrier"	"plump_pulley"	"pulley_the"	"the_language_barrier"	"the_plump_pulley"	"plump_pulley_the"	"pulley_the_language_barrier"	"the_language_barrier_and"	"DT"	"JJ"	"NNP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"believer"	"in"	"the"	"traditional"	"devotion"	"royal"	"servitors"	"the"	"plump"	"pulley"	"break"	"the"	"language_barrier"	"and"	"lure"	"her"	"to"	"cairo"	"where"	"she"	"wait"	"for"	"nine"	"months"	"vainly"	"hope"	"to"	"see"	"farouk"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"was"	"remain"	","	"untold"	",_was"	"was_remain"	"remain_untold"	"months_,_was"	",_was_remain"	"was_remain_untold"	"remain_untold_."	"NNS"	"ε"	"VBD"	"VB"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"how"	"many"	"sub"	"secrets"	"were"	"being"	"hand_over"	"the"	"ring"	"watch"	"for"	"six"	"months"	"was"	"break"	"remain"	"untold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"be"	"."	"to"	"∅"	"to_be"	"be_."	"._∅"	"about_to_be"	"to_be_."	"be_._∅"	"._∅_∅"	"VB"	"TO"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"palmer"	"know"	"as"	"did"	"everybody"	"else"	"at"	"that"	"his"	"streak"	"be"	"about"	"to"	"be"	"break"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"to"	"the"	"∅"	"monotony"	"∅_to"	"to_the"	"the_monotony"	"∅_∅_to"	"∅_to_the"	"to_the_monotony"	"the_monotony_it"	"ε"	"ε"	"TO"	"VB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"break"	"the"	"monotony"	"it"	"may"	"be"	"necessary"	"to"	"invent"	"task"	"that"	"will"	"keep"	"the"	"family"	"busy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:10::"	"been"	"."	"had"	"∅"	"had_been"	"been_."	"._∅"	"seal_had_been"	"had_been_."	"been_._∅"	"._∅_∅"	"NN"	"VBD"	"VBN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"before"	"she"	"leave"	"her"	"room"	"she"	"dig_into"	"her"	"big"	"moire"	"bag"	"the"	"envelope"	"hold"	"her"	"marriage_contract"	"and"	"the"	"wax"	"seal"	"had"	"been"	"break"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
