"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"
"2:35:00::"	"shade"	"a"	"and"	"glitter"	"and_shade"	"shade_a"	"a_glitter"	"light_and_shade"	"and_shade_a"	"shade_a_glitter"	"a_glitter_from"	"NN"	"CC"	"NN"	"VB"	"DT"	"NN"	"IN"	"colonnaded"	"cedar-roofed"	"southern"	"mansion"	"be"	"directly"	"traceable"	"via"	"the"	"grey"	"and"	"buff"	"stone"	"of"	"grey-skied"	"england"	"to"	"the"	"golden"	"stucco"	"of"	"one"	"particular"	"part"	"of"	"the_blue"	"south"	"the"	"palladian"	"orbit"	"stretch"	"out"	"from"	"vicenza"	"the"	"old"	"mind"	"of"	"andrea_palladio"	"still"	"smile"	"from"	"behind"	"many_an"	"old"	"rocking_chair"	"on"	"a"	"southern"	"porch"	"the"	"deep"	"friezes"	"of"	"his"	"architectonic"	"music"	"rise"	"firm"	"above"	"the"	"shallower"	"freeze"	"in"	"the"	"kitchen"	"feeling"	"for"	"light"	"and"	"shade"	"a"	"glitter"	"from"	"a"	"tall"	"mint_julep"	"his"	"sense"	"of"	"columns"	"frame"	"the"	"warm"	"velvet"	"night"	"has"	"bring_together"	"a_million"	"couple"	"of"	"mating"	"lips"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"it"	"its"	"before"	"long"	"before_it"	"it_its"	"its_long"	"performances_before_it"	"before_it_its"	"it_its_long"	"its_long_american"	"NNS"	"IN"	"PRP"	"VB"	"PRP$"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"moiseyev_dance_company"	"drop_in"	"at"	"madison_square_garden"	"last"	"night"	"the"	"first"	"of"	"four"	"farewell"	"performances"	"before"	"it"	"bring"	"its"	"long"	"american"	"tour"	"to"	"a"	"close"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"has"	"back"	"but"	"many_of"	"but_has"	"has_back"	"back_many_of"	",_but_has"	"but_has_back"	"has_back_many_of"	"back_many_of_the"	"ε"	"CC"	"VBZ"	"VB"	"RB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"not"	"simply"	"give"	"a"	"repetition"	"of"	"the"	"program"	"give"	"during"	"its"	"new_york"	"engagement"	"earlier"	"this"	"season"	"but"	"has"	"bring"	"back"	"many_of"	"the"	"numbers"	"that"	"be"	"on"	"the"	"bill"	"when"	"it"	"pay"	"us"	"its"	"first"	"visit"	"and"	"win"	"everybody"	"heart"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"advertising_campaign"	"a"	"1960"	"total"	"1960_advertising_campaign"	"advertising_campaign_a"	"a_total"	"the_1960_advertising_campaign"	"1960_advertising_campaign_a"	"advertising_campaign_a_total"	"a_total_of"	"DT"	"CD"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bring"	"a"	"total"	"of"	"inquiries"	"from"	"media"	"and"	"from"	"direct"	"mail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"his"	"member"	"pledge"	"member_to"	"to_his"	"his_pledge"	"new_member_to"	"member_to_his"	"to_his_pledge"	"his_pledge_of"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ask"	"each"	"member"	"to"	"bring"	"his"	"pledge"	"of"	"loyalty"	"to"	"the"	"reception"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"to"	"persons"	"enough"	"to"	"enough_to"	"to_persons"	"persons_to"	"not_enough_to"	"enough_to_persons"	"to_persons_to"	"persons_to_christian"	"RB"	"RB"	"TO"	"VB"	"NNS"	"TO"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"it"	"be"	"enough"	"to"	"bring"	"persons"	"to"	"christian"	"commitment"	"and"	"train"	"them"	"in"	"the"	"meaning"	"of"	"christian"	"discipleship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"bartender"	"rourke"	"the"	"'s"	"the_bartender"	"bartender_rourke"	"rourke_'s"	"∅_the_bartender"	"the_bartender_rourke"	"bartender_rourke_'s"	"rourke_'s_drink"	"ε"	"DT"	"NN"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bartender"	"bring"	"rourke"	"drink"	"and"	"shayne"	"lay"	"a"	"twenty-dollar"	"bill"	"on"	"the"	"bar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"could"	"moderate"	"which"	"inflation"	"which_could"	"could_moderate"	"moderate_inflation"	"government_which_could"	"which_could_moderate"	"could_moderate_inflation"	"moderate_inflation_''"	"NN"	"WDT"	"MD"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"caution"	"that"	"the"	"greater"	"danger"	"in_this"	"recovery"	"be"	"excessive"	"stimulation"	"by"	"government"	"which"	"could"	"bring"	"moderate"	"inflation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"the"	"like"	"bundles"	"like_to"	"to_the"	"the_bundles"	"would_like_to"	"like_to_the"	"to_the_bundles"	"the_bundles_on"	"VB"	"VB"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"besides"	"the"	"bundle"	"centers"	"where"	"contributions"	"may"	"be"	"make"	"there"	"be"	"facilities"	"at"	"philmont"	"country_club"	"for"	"those"	"who"	"would"	"like"	"to"	"bring"	"the"	"bundles"	"on"	"the"	"night"	"of"	"the"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:04::"	"-"	"the"	"use"	"psychiatric"	"use_-"	"-_the"	"the_psychiatric"	"professional_use_-"	"use_-_the"	"-_the_psychiatric"	"the_psychiatric_interview"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"a"	"minimum"	"recording"	"usually"	"on"	"tape"	"which"	"now"	"in"	"wide"	"professional"	"use"	"bring"	"the"	"psychiatric"	"interview"	"alive"	"so_that"	"the"	"full"	"range"	"of"	"emotion"	"and"	"meaning"	"can"	"be"	"explore"	"repeatedly"	"by"	"the"	"therapist"	"or"	"by"	"a_battery"	"of"	"therapists"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
